pole_01.dat                                                                     
poles     0  0  1
       phi     theta      int
    -5.000     0.810     1.020
     0.000     0.810     1.020
     5.000     0.810     1.020
    10.000     0.810     1.020
    15.000     0.810     1.020
    20.000     0.810     1.020
    25.000     0.810     1.020
    30.000     0.810     1.020
    35.000     0.810     1.020
    40.000     0.810     1.020
    45.000     0.810     1.020
    50.000     0.810     1.020
    55.000     0.810     1.020
    60.000     0.810     1.020
    65.000     0.810     1.020
    70.000     0.810     1.020
    75.000     0.810     1.020
    80.000     0.810     1.020
    85.000     0.810     1.020
    90.000     0.810     1.020
    95.000     0.810     1.020
   100.000     0.810     1.020
   105.000     0.810     1.020
   110.000     0.810     1.020
   115.000     0.810     1.020
   120.000     0.810     1.020
   125.000     0.810     1.020
   130.000     0.810     1.020
   135.000     0.810     1.020
   140.000     0.810     1.020
   145.000     0.810     1.020
   150.000     0.810     1.020
   155.000     0.810     1.020
   160.000     0.810     1.020
   165.000     0.810     1.020
   170.000     0.810     1.020
   175.000     0.810     1.020
   180.000     0.810     1.020
   185.000     0.810     1.020
  -170.000     0.810     1.020
  -165.000     0.810     1.020
  -160.000     0.810     1.020
  -155.000     0.810     1.020
  -150.000     0.810     1.020
  -145.000     0.810     1.020
  -140.000     0.810     1.020
  -135.000     0.810     1.020
  -130.000     0.810     1.020
  -125.000     0.810     1.020
  -120.000     0.810     1.020
  -115.000     0.810     1.020
  -110.000     0.810     1.020
  -105.000     0.810     1.020
  -100.000     0.810     1.020
   -95.000     0.810     1.020
   -90.000     0.810     1.020
   -85.000     0.810     1.020
   -80.000     0.810     1.020
   -75.000     0.810     1.020
   -70.000     0.810     1.020
   -65.000     0.810     1.020
   -60.000     0.810     1.020
   -55.000     0.810     1.020
   -50.000     0.810     1.020
   -45.000     0.810     1.020
   -40.000     0.810     1.020
   -35.000     0.810     1.020
   -30.000     0.810     1.020
   -25.000     0.810     1.020
   -20.000     0.810     1.020
   -15.000     0.810     1.020
   -10.000     0.810     1.020
    -5.000     0.810     1.020
     0.000     0.810     1.020
    -5.000     5.000     0.990
     0.000     5.000     0.990
     5.000     5.000     0.980
    10.000     5.000     0.980
    15.000     5.000     0.970
    20.000     5.000     0.970
    25.000     5.000     0.960
    30.000     5.000     0.950
    35.000     5.000     0.940
    40.000     5.000     0.940
    45.000     5.000     0.930
    50.000     5.000     0.920
    55.000     5.000     0.920
    60.000     5.000     0.910
    65.000     5.000     0.910
    70.000     5.000     0.900
    75.000     5.000     0.900
    80.000     5.000     0.900
    85.000     5.000     0.890
    90.000     5.000     0.890
    95.000     5.000     0.890
   100.000     5.000     0.900
   105.000     5.000     0.900
   110.000     5.000     0.900
   115.000     5.000     0.910
   120.000     5.000     0.910
   125.000     5.000     0.920
   130.000     5.000     0.930
   135.000     5.000     0.940
   140.000     5.000     0.950
   145.000     5.000     0.960
   150.000     5.000     0.970
   155.000     5.000     0.980
   160.000     5.000     0.990
   165.000     5.000     1.000
   170.000     5.000     1.010
   175.000     5.000     1.010
   180.000     5.000     1.020
   185.000     5.000     1.030
  -170.000     5.000     1.030
  -165.000     5.000     1.040
  -160.000     5.000     1.040
  -155.000     5.000     1.040
  -150.000     5.000     1.040
  -145.000     5.000     1.040
  -140.000     5.000     1.040
  -135.000     5.000     1.040
  -130.000     5.000     1.040
  -125.000     5.000     1.040
  -120.000     5.000     1.030
  -115.000     5.000     1.030
  -110.000     5.000     1.030
  -105.000     5.000     1.030
  -100.000     5.000     1.020
   -95.000     5.000     1.020
   -90.000     5.000     1.020
   -85.000     5.000     1.020
   -80.000     5.000     1.010
   -75.000     5.000     1.010
   -70.000     5.000     1.010
   -65.000     5.000     1.010
   -60.000     5.000     1.010
   -55.000     5.000     1.010
   -50.000     5.000     1.010
   -45.000     5.000     1.010
   -40.000     5.000     1.010
   -35.000     5.000     1.010
   -30.000     5.000     1.000
   -25.000     5.000     1.000
   -20.000     5.000     1.000
   -15.000     5.000     1.000
