        EPSvm          Svm        SDEV1    SDEV2    SDEV3    SDEV4    SDEV5    SDEV6        DDEV1    DDEV2    DDEV3    DDEV4    DDEV5    DDEV6
  0.10702E+01  0.25504E+01        0.175    0.113    0.216    0.291    0.187    0.000        0.148    0.017    0.083    0.068    0.155    0.000
  0.10928E+01  0.25495E+01        0.176    0.113    0.218    0.294    0.187    0.000        0.146    0.017    0.083    0.066    0.153    0.000
  0.11154E+01  0.25486E+01        0.177    0.113    0.220    0.298    0.187    0.000        0.145    0.016    0.082    0.064    0.151    0.000
  0.11380E+01  0.25475E+01        0.177    0.112    0.222    0.301    0.188    0.000        0.144    0.015    0.081    0.063    0.150    0.000
        EPSvm          Svm        SDEV1    SDEV2    SDEV3    SDEV4    SDEV5    SDEV6        DDEV1    DDEV2    DDEV3    DDEV4    DDEV5    DDEV6
  0.11380E+01  0.25475E+01        0.177    0.112    0.301    0.222    0.188    0.000        0.144    0.015    0.063    0.081    0.150    0.000
  0.11606E+01  0.25484E+01        0.177    0.112    0.298    0.220    0.187    0.000        0.145    0.016    0.064    0.082    0.151    0.000
  0.11833E+01  0.25495E+01        0.176    0.113    0.295    0.218    0.187    0.000        0.146    0.017    0.066    0.083    0.153    0.000
  0.12059E+01  0.25504E+01        0.175    0.113    0.291    0.216    0.187    0.000        0.148    0.017    0.068    0.084    0.154    0.000
  0.12285E+01  0.25515E+01        0.175    0.113    0.288    0.215    0.187    0.000        0.149    0.018    0.069    0.084    0.156    0.000
  0.12511E+01  0.25525E+01        0.174    0.113    0.285    0.213    0.187    0.000        0.151    0.018    0.071    0.085    0.157    0.000
  0.12737E+01  0.25530E+01        0.173    0.113    0.282    0.212    0.187    0.000        0.153    0.019    0.072    0.086    0.159    0.000
  0.12963E+01  0.25534E+01        0.172    0.112    0.279    0.210    0.187    0.000        0.155    0.019    0.074    0.087    0.160    0.000
  0.13189E+01  0.25534E+01        0.172    0.112    0.277    0.209    0.187    0.000        0.157    0.020    0.075    0.088    0.161    0.000
  0.13414E+01  0.25532E+01        0.171    0.111    0.274    0.207    0.187    0.000        0.159    0.020    0.077    0.088    0.162    0.000
  0.13640E+01  0.25530E+01        0.171    0.111    0.272    0.206    0.186    0.000        0.160    0.021    0.079    0.089    0.163    0.000
  0.13866E+01  0.25523E+01        0.171    0.112    0.269    0.204    0.185    0.000        0.163    0.021    0.080    0.089    0.164    0.000
  0.14092E+01  0.25515E+01        0.171    0.112    0.267    0.202    0.185    0.000        0.164    0.022    0.081    0.089    0.164    0.000
  0.14318E+01  0.25505E+01        0.170    0.113    0.264    0.201    0.184    0.000        0.166    0.022    0.083    0.089    0.164    0.000
  0.14544E+01  0.25494E+01        0.170    0.113    0.262    0.199    0.183    0.000        0.168    0.023    0.084    0.089    0.165    0.000
  0.14770E+01  0.25477E+01        0.170    0.114    0.259    0.198    0.182    0.000        0.171    0.023    0.086    0.089    0.166    0.000
  0.14996E+01  0.25463E+01        0.170    0.114    0.256    0.196    0.181    0.000        0.172    0.024    0.087    0.089    0.167    0.000
  0.15222E+01  0.25443E+01        0.170    0.114    0.254    0.195    0.181    0.000        0.174    0.024    0.088    0.089    0.167    0.000
  0.15448E+01  0.25422E+01        0.170    0.115    0.251    0.193    0.180    0.000        0.176    0.025    0.089    0.089    0.168    0.000
  0.15674E+01  0.25400E+01        0.169    0.115    0.249    0.191    0.180    0.000        0.178    0.025    0.090    0.088    0.169    0.000
  0.15900E+01  0.25376E+01        0.169    0.114    0.246    0.189    0.179    0.000        0.181    0.026    0.091    0.088    0.170    0.000
  0.16126E+01  0.25351E+01        0.168    0.114    0.243    0.187    0.178    0.000        0.186    0.026    0.092    0.087    0.171    0.000
