   STRAIN    AVACS    MODE1
   0.0000   3.4618   1.0000
   0.0200   3.4772   1.0000
   0.0400   3.4649   1.0000
   0.0600   3.4713   1.0000
   0.0800   3.5019   1.0000
   0.1000   3.5156   1.0000
   0.1200   3.5276   1.0000
   0.1400   3.5480   1.0000
   0.1600   3.5396   1.0000
   0.1800   3.5506   1.0000
   0.2000   3.5522   1.0000
   0.2200   3.5547   1.0000
   0.2400   3.5622   1.0000
   0.2600   3.5302   1.0000
   0.2800   3.5446   1.0000
   0.3000   3.5200   1.0000
   0.3200   3.5160   1.0000
   0.3400   3.4862   1.0000
   0.3600   3.4905   1.0000
   0.3800   3.4799   1.0000
   0.4000   3.4682   1.0000
   0.4200   3.4652   1.0000
   0.4400   3.4535   1.0000
   0.4600   3.4511   1.0000
   0.4800   3.4069   1.0000
   0.5000   3.3826   1.0000
   0.5200   3.3523   1.0000
   0.5400   3.3391   1.0000
   0.5600   3.3196   1.0000
   0.5800   3.2961   1.0000
   0.6000   3.2950   1.0000
   0.6200   3.2742   1.0000
   0.6400   3.2435   1.0000
   0.6600   3.2116   1.0000
   0.6800   3.2040   1.0000
   0.7000   3.1860   1.0000
   0.7200   3.1649   1.0000
   0.7400   3.1329   1.0000
   0.7600   3.1270   1.0000
   0.7800   3.1134   1.0000
   0.8000   3.0984   1.0000
   0.8200   3.0757   1.0000
   0.8400   3.0290   1.0000
   0.8600   3.0038   1.0000
   0.8800   2.9756   1.0000
   0.9000   2.9582   1.0000
   0.9200   2.9355   1.0000
   0.9400   2.9187   1.0000
   0.9600   2.9103   1.0000
   0.9800   2.9199   1.0000
   1.0000   2.9159   1.0000
   STRAIN    AVACS    MODE1
   1.0000   2.9181   1.0000
   1.0200   2.9161   1.0000
   1.0400   2.9103   1.0000
   1.0600   2.9226   1.0000
   1.0800   2.9378   1.0000
   1.1000   2.9522   1.0000
   1.1200   2.9716   1.0000
   1.1400   2.9979   1.0000
   1.1600   3.0339   1.0000
   1.1800   3.0530   1.0000
   1.2000   3.0895   1.0000
   1.2200   3.1140   1.0000
   1.2400   3.1230   1.0000
   1.2600   3.1217   1.0000
   1.2800   3.1437   1.0000
   1.3000   3.1611   1.0000
   1.3200   3.1712   1.0000
   1.3400   3.1788   1.0000
   1.3600   3.1989   1.0000
   1.3800   3.1976   1.0000
   1.4000   3.1823   1.0000
   1.4200   3.2068   1.0000
   1.4400   3.2141   1.0000
   1.4600   3.2182   1.0000
   1.4800   3.2345   1.0000
   1.5000   3.2634   1.0000
   1.5200   3.3021   1.0000
   1.5400   3.3090   1.0000
   1.5600   3.3415   1.0000
   1.5800   3.3856   1.0000
   1.6000   3.3774   1.0000
   1.6200   3.4129   1.0000
   1.6400   3.4104   1.0000
   1.6600   3.3981   1.0000
   1.6800   3.4099   1.0000
   1.7000   3.4234   1.0000
   1.7200   3.4229   1.0000
   1.7400   3.4360   1.0000
   1.7600   3.4368   1.0000
   1.7800   3.4275   1.0000
   1.8000   3.4251   1.0000
   1.8200   3.4409   1.0000
   1.8400   3.4532   1.0000
   1.8600   3.4856   1.0000
   1.8800   3.4639   1.0000
   1.9000   3.4571   1.0000
   1.9200   3.4828   1.0000
   1.9400   3.4711   1.0000
   1.9600   3.4899   1.0000
   1.9800   3.4607   1.0000
   2.0000   3.4787   1.0000
