   STRAIN    AVACS    MODE1
   0.0000   3.8284   1.0000
   0.0100   3.7881   1.0000
   0.0200   3.7632   1.0000
   0.0300   3.7175   1.0000
   0.0400   3.6854   1.0000
   0.0500   3.6404   1.0000
   0.0600   3.5968   1.0000
   0.0700   3.5478   1.0000
   0.0800   3.5335   1.0000
   0.0900   3.4953   1.0000
   0.1000   3.4281   1.0000
   0.1100   3.3959   1.0000
   0.1200   3.3923   1.0000
   0.1300   3.3635   1.0000
   0.1400   3.3333   1.0000
   0.1500   3.3078   1.0000
   0.1600   3.3116   1.0000
   0.1700   3.2981   1.0000
   0.1800   3.2722   1.0000
   0.1900   3.2428   1.0000
   0.2000   3.2016   1.0000
   0.2100   3.1844   1.0000
   0.2200   3.1661   1.0000
   0.2300   3.2044   1.0000
   0.2400   3.2513   1.0000
   0.2500   3.2487   1.0000
   0.2600   3.2327   1.0000
   0.2700   3.2411   1.0000
   0.2800   3.2243   1.0000
   0.2900   3.2218   1.0000
   0.3000   3.2331   1.0000
