    EPSACU     EPSVM   EPSctrl    RHOforest     RHOreverse      RHOtotal       RHOmod1       RHOmod2
    0.0950    0.0950    0.0950    0.3264E+12    0.5184E+14    0.5217E+14    0.2236E+14    0.2976E+14    0.4213E+11
    0.1000    0.1000    0.1000    0.3734E+12    0.5440E+14    0.5478E+14    0.2387E+14    0.3086E+14    0.4375E+11
    0.1050    0.1050    0.1050    0.3770E+12    0.5644E+14    0.5682E+14    0.2452E+14    0.3226E+14    0.4198E+11
    0.1100    0.1100    0.1100    0.4212E+12    0.5683E+14    0.5725E+14    0.2440E+14    0.3281E+14    0.4102E+11
    0.1150    0.1150    0.1150    0.4611E+12    0.5820E+14    0.5866E+14    0.2470E+14    0.3392E+14    0.3923E+11
    0.1200    0.1200    0.1200    0.5074E+12    0.5989E+14    0.6039E+14    0.2524E+14    0.3511E+14    0.3865E+11
    0.1250    0.1250    0.1250    0.5635E+12    0.6176E+14    0.6233E+14    0.2597E+14    0.3632E+14    0.3786E+11
    0.1300    0.1300    0.1300    0.6330E+12    0.6373E+14    0.6436E+14    0.2683E+14    0.3750E+14    0.3775E+11
    0.1350    0.1350    0.1350    0.7188E+12    0.6574E+14    0.6646E+14    0.2778E+14    0.3864E+14    0.3628E+11
    0.1400    0.1400    0.1400    0.8240E+12    0.6774E+14    0.6856E+14    0.2880E+14    0.3973E+14    0.3573E+11
    0.1450    0.1450    0.1450    0.9515E+12    0.6974E+14    0.7069E+14    0.2990E+14    0.4076E+14    0.3441E+11
    0.1500    0.1500    0.1500    0.1103E+13    0.7169E+14    0.7279E+14    0.3100E+14    0.4175E+14    0.3317E+11
    0.1550    0.1550    0.1550    0.1279E+13    0.7355E+14    0.7483E+14    0.3210E+14    0.4270E+14    0.3202E+11
    0.1600    0.1600    0.1600    0.1478E+13    0.7532E+14    0.7680E+14    0.3316E+14    0.4361E+14    0.3177E+11
    0.1650    0.1650    0.1650    0.1705E+13    0.7706E+14    0.7877E+14    0.3428E+14    0.4446E+14    0.3072E+11
    0.1700    0.1700    0.1700    0.1964E+13    0.7880E+14    0.8077E+14    0.3547E+14    0.4526E+14    0.2978E+11
    0.1750    0.1750    0.1750    0.2255E+13    0.8050E+14    0.8275E+14    0.3671E+14    0.4601E+14    0.2891E+11
    0.1800    0.1800    0.1800    0.2580E+13    0.8214E+14    0.8472E+14    0.3797E+14    0.4672E+14    0.2938E+11
    0.1850    0.1850    0.1850    0.2939E+13    0.8372E+14    0.8666E+14    0.3925E+14    0.4738E+14    0.2860E+11
    0.1900    0.1900    0.1900    0.3335E+13    0.8524E+14    0.8858E+14    0.4055E+14    0.4800E+14    0.2788E+11
    0.1950    0.1950    0.1950    0.3769E+13    0.8671E+14    0.9048E+14    0.4188E+14    0.4858E+14    0.2859E+11
    0.2000    0.2000    0.2000    0.4238E+13    0.8811E+14    0.9235E+14    0.4320E+14    0.4912E+14    0.2794E+11
    0.2050    0.2050    0.2050    0.4746E+13    0.8945E+14    0.9420E+14    0.4454E+14    0.4963E+14    0.2737E+11
    0.2100    0.2100    0.2100    0.5294E+13    0.9073E+14    0.9602E+14    0.4589E+14    0.5011E+14    0.2681E+11
    0.2150    0.2150    0.2150    0.5879E+13    0.9194E+14    0.9782E+14    0.4724E+14    0.5055E+14    0.2758E+11
    0.2200    0.2200    0.2200    0.6503E+13    0.9308E+14    0.9958E+14    0.4859E+14    0.5096E+14    0.2714E+11
    0.2250    0.2250    0.2250    0.7164E+13    0.9416E+14    0.1013E+15    0.4995E+14    0.5134E+14    0.2811E+11
    0.2300    0.2300    0.2300    0.7860E+13    0.9516E+14    0.1030E+15    0.5130E+14    0.5169E+14    0.2769E+11
    0.2350    0.2350    0.2350    0.8594E+13    0.9610E+14    0.1047E+15    0.5266E+14    0.5201E+14    0.2732E+11
    0.2400    0.2400    0.2400    0.9365E+13    0.9698E+14    0.1063E+15    0.5402E+14    0.5230E+14    0.2699E+11
    0.2450    0.2450    0.2450    0.1017E+14    0.9780E+14    0.1080E+15    0.5537E+14    0.5257E+14    0.2789E+11
    0.2500    0.2500    0.2500    0.1101E+14    0.9856E+14    0.1096E+15    0.5672E+14    0.5281E+14    0.2783E+11
    0.2550    0.2550    0.2550    0.1188E+14    0.9926E+14    0.1111E+15    0.5807E+14    0.5303E+14    0.2752E+11
    0.2600    0.2600    0.2600    0.1277E+14    0.9990E+14    0.1127E+15    0.5941E+14    0.5323E+14    0.2723E+11
    0.2650    0.2650    0.2650    0.1370E+14    0.1005E+15    0.1142E+15    0.6075E+14    0.5341E+14    0.2786E+11
    0.2700    0.2700    0.2700    0.1466E+14    0.1010E+15    0.1157E+15    0.6208E+14    0.5357E+14    0.3046E+11
    0.2750    0.2750    0.2750    0.1564E+14    0.1015E+15    0.1172E+15    0.6341E+14    0.5371E+14    0.3008E+11
    0.2800    0.2800    0.2800    0.1664E+14    0.1020E+15    0.1186E+15    0.6473E+14    0.5383E+14    0.2972E+11
    0.2850    0.2850    0.2850    0.1767E+14    0.1023E+15    0.1200E+15    0.6604E+14    0.5394E+14    0.2940E+11
    0.2900    0.2900    0.2900    0.1871E+14    0.1027E+15    0.1214E+15    0.6731E+14    0.5403E+14    0.2907E+11
    0.2950    0.2950    0.2950    0.1977E+14    0.1030E+15    0.1227E+15    0.6859E+14    0.5411E+14    0.2878E+11
    0.3000    0.3000    0.3000    0.2083E+14    0.1032E+15    0.1240E+15    0.6981E+14    0.5417E+14    0.2850E+11
