   STRAIN    AVACS    PRITW    SECTW    MODE1    MODE2    MODE3    MODE4    TWFR4    EFFR4
   0.2150   3.1698   0.0000   0.0000   0.5201   0.4488   0.0003   0.0308   0.1107   0.0000
   0.2200   3.1811   0.0000   0.0000   0.5248   0.4441   0.0007   0.0304   0.1137   0.0000
   0.2250   3.1986   0.0000   0.0000   0.5301   0.4398   0.0003   0.0299   0.1167   0.0000
   0.2300   3.2007   0.0000   0.0000   0.5353   0.4348   0.0003   0.0296   0.1196   0.0000
   0.2350   3.2004   0.0000   0.0000   0.5396   0.4309   0.0003   0.0292   0.1226   0.0000
   0.2400   3.2093   0.0000   0.0000   0.5440   0.4265   0.0006   0.0288   0.1254   0.0000
   0.2450   3.2072   0.0000   0.0000   0.5483   0.4230   0.0004   0.0284   0.1283   0.0000
   0.2500   3.2032   0.0000   0.0000   0.5519   0.4200   0.0003   0.0279   0.1310   0.0000
   0.2550   3.1969   0.0000   0.0000   0.5558   0.4165   0.0003   0.0274   0.1338   0.0000
   0.2600   3.1919   0.0000   0.0000   0.5603   0.4121   0.0005   0.0270   0.1365   0.0000
   0.2650   3.1824   0.0000   0.0000   0.5633   0.4090   0.0012   0.0265   0.1391   0.0000
   0.2700   3.1733   0.0000   0.0000   0.5684   0.4053   0.0003   0.0260   0.1417   0.0000
   0.2750   3.1535   0.0000   0.0000   0.5722   0.4019   0.0003   0.0255   0.1443   0.0000
   0.2800   3.1484   0.0000   0.0000   0.5761   0.3985   0.0003   0.0250   0.1468   0.0000
   0.2850   3.1554   0.0000   0.0000   0.5799   0.3955   0.0003   0.0244   0.1493   0.0000
   0.2900   3.1561   0.0000   0.0000   0.5837   0.3922   0.0003   0.0239   0.1517   0.0000
   0.2950   3.1711   0.0000   0.0000   0.5877   0.3888   0.0003   0.0232   0.1540   0.0000
   0.3000   3.1706   0.0000   0.0000   0.5913   0.3854   0.0007   0.0227   0.1563   0.0000
