   STRAIN    AVACS    MODE1    MODE2
   0.0000   1.7790   1.0000   0.0000
   0.0100   4.8671   0.6057   0.3943
   0.0200   5.0954   0.5698   0.4302
   0.0300   5.1020   0.5744   0.4256
   0.0400   5.0904   0.5775   0.4225
   0.0500   5.0893   0.5792   0.4208
   0.0600   5.0783   0.5802   0.4198
   0.0700   5.0717   0.5801   0.4199
   0.0800   5.0740   0.5797   0.4203
   0.0900   5.0693   0.5791   0.4209
   0.1000   5.0650   0.5789   0.4211
   0.1100   5.0585   0.5785   0.4215
   0.1200   5.0440   0.5782   0.4218
   0.1300   5.0457   0.5783   0.4217
   0.1400   5.0312   0.5785   0.4215
   0.1500   5.0285   0.5787   0.4213
   0.1600   5.0125   0.5792   0.4208
   0.1700   4.9946   0.5798   0.4202
   0.1800   4.9829   0.5805   0.4195
   0.1900   4.7881   0.6116   0.3884
   0.2000   4.7840   0.6119   0.3881
   0.2100   4.3735   0.6709   0.3291
   0.2200   4.6770   0.6284   0.3716
   0.2300   3.8711   0.7472   0.2528
   0.2400   4.5728   0.6424   0.3576
   0.2500   3.4533   0.8027   0.1973
   0.2600   4.2486   0.6849   0.3151
   0.2700   3.3157   0.8200   0.1800
   0.2800   3.8280   0.7505   0.2495
   0.2900   3.2917   0.8217   0.1783
   0.3000   3.4125   0.8057   0.1943
