
*******   STEP   1      *** N_EFF FROM RDC CALCULATION         
   82   0.652E-04   0.952E-03   0.424E-04

*******   STEP   2      *** N_EFF FROM RDC CALCULATION         
   23   0.712E-03   0.538E-03   0.195E-03

*******   STEP   3      *** N_EFF FROM RDC CALCULATION         
   10   0.704E-03   0.192E-03   0.122E-03

*******   STEP   4      *** N_EFF FROM RDC CALCULATION         
    5   0.892E-03   0.861E-03   0.421E-03

*******   STEP   5      *** N_EFF FROM RDC CALCULATION         
    5   0.588E-03   0.853E-03   0.150E-03

*******   STEP   6      *** N_EFF FROM RDC CALCULATION         
    5   0.887E-03   0.925E-03   0.138E-03

*******   STEP   7      *** N_EFF FROM RDC CALCULATION         
    8   0.538E-03   0.449E-03   0.680E-03

*******   STEP   8      *** N_EFF FROM RDC CALCULATION         
    9   0.659E-03   0.617E-03   0.443E-03

*******   STEP   9      *** N_EFF FROM RDC CALCULATION         
    8   0.987E-03   0.910E-03   0.387E-03

*******   STEP  10      *** N_EFF FROM RDC CALCULATION         
    8   0.639E-03   0.866E-03   0.914E-03

*******   STEP  11      *** N_EFF FROM RDC CALCULATION         
    8   0.950E-03   0.579E-03   0.392E-03

*******   STEP  12      *** N_EFF FROM RDC CALCULATION         
    9   0.619E-03   0.569E-03   0.122E-03

*******   STEP  13      *** N_EFF FROM RDC CALCULATION         
    8   0.539E-03   0.459E-03   0.309E-03

*******   STEP  14      *** N_EFF FROM RDC CALCULATION         
    8   0.408E-03   0.422E-03   0.538E-03

*******   STEP  15      *** N_EFF FROM RDC CALCULATION         
    8   0.535E-03   0.810E-03   0.403E-03

*******   STEP  16      *** N_EFF FROM RDC CALCULATION         
    7   0.776E-03   0.805E-03   0.641E-03

*******   STEP  17      *** N_EFF FROM RDC CALCULATION         
    7   0.896E-03   0.950E-03   0.702E-03

*******   STEP  18      *** N_EFF FROM RDC CALCULATION         
    7   0.823E-03   0.890E-03   0.551E-03

*******   STEP  19      *** N_EFF FROM RDC CALCULATION         
    7   0.507E-03   0.871E-03   0.333E-03

*******   STEP  20      *** N_EFF FROM RDC CALCULATION         
    8   0.962E-03   0.664E-03   0.123E-03

*******   STEP  21      *** N_EFF FROM RDC CALCULATION         
    7   0.665E-03   0.773E-03   0.487E-03

*******   STEP  22      *** N_EFF FROM RDC CALCULATION         
   11   0.712E-03   0.326E-03   0.738E-03

*******   STEP  23      *** N_EFF FROM RDC CALCULATION         
   11   0.656E-03   0.430E-03   0.614E-04

*******   STEP  24      *** N_EFF FROM RDC CALCULATION         
   16   0.485E-03   0.749E-03   0.559E-03

*******   STEP  25      *** N_EFF FROM RDC CALCULATION         
   13   0.726E-03   0.517E-03   0.653E-04

*******   STEP  26      *** N_EFF FROM RDC CALCULATION         
   22   0.745E-03   0.699E-03   0.118E-03

*******   STEP  27      *** N_EFF FROM RDC CALCULATION         
   16   0.355E-03   0.769E-03   0.713E-03

*******   STEP  28      *** N_EFF FROM RDC CALCULATION         
   20   0.629E-03   0.889E-03   0.264E-03

*******   STEP  29      *** N_EFF FROM RDC CALCULATION         
   18   0.401E-03   0.550E-03   0.647E-03

*******   STEP  30      *** N_EFF FROM RDC CALCULATION         
   20   0.789E-03   0.810E-03   0.128E-03

*******   STEP  31      *** N_EFF FROM RDC CALCULATION         
   15   0.622E-03   0.552E-03   0.343E-03
