          S1          S2          D1          D2      angS      angD      angN
  0.5535E+00  0.8308E+01 -0.7330E-04  0.1204E+00     86.19     90.03     83.87
  0.8097E+00  0.8270E+01  0.1044E-01  0.1199E+00     84.41     85.02     79.53
  0.1080E+01  0.8209E+01  0.2095E-01  0.1191E+00     82.50     80.02     75.39
  0.1384E+01  0.8117E+01  0.3148E-01  0.1178E+00     80.32     75.04     71.64
  0.1749E+01  0.7983E+01  0.4216E-01  0.1160E+00     77.64     70.03     68.78
  0.2272E+01  0.7764E+01  0.5281E-01  0.1133E+00     73.69     65.02     66.40
  0.3848E+01  0.6984E+01  0.6271E-01  0.1086E+00     61.15     60.00     61.57
  0.6703E+01  0.5149E+01  0.7114E-01  0.1016E+00     37.53     55.00     49.24
  0.7279E+01  0.4620E+01  0.7823E-01  0.9320E-01     32.41     49.99     43.19
  0.7549E+01  0.4309E+01  0.8433E-01  0.8433E-01     29.72     45.00     38.09
  0.7730E+01  0.4059E+01  0.8979E-01  0.7537E-01     27.71     40.01     33.64
  0.7867E+01  0.3838E+01  0.9473E-01  0.6637E-01     26.01     35.02     29.73
  0.7977E+01  0.3630E+01  0.9924E-01  0.5739E-01     24.47     30.04     26.09
  0.8070E+01  0.3425E+01  0.1034E+00  0.4832E-01     23.00     25.04     22.68
  0.8150E+01  0.3217E+01  0.1073E+00  0.3910E-01     21.54     20.03     19.46
  0.8221E+01  0.2996E+01  0.1108E+00  0.2974E-01     20.03     15.03     16.36
  0.8285E+01  0.2751E+01  0.1140E+00  0.2013E-01     18.37     10.01     13.24
  0.8345E+01  0.2460E+01  0.1168E+00  0.1022E-01     16.42      5.00     10.10
  0.8401E+01  0.2070E+01  0.1190E+00 -0.1188E-04     13.84     -0.01      7.07
  0.8463E+01  0.1345E+01  0.1198E+00 -0.1053E-01      9.03     -5.02      3.62
  0.8443E+01 -0.9820E+00  0.1161E+00 -0.2046E-01     -6.63    -10.00     -6.07
  0.8211E+01 -0.2377E+01  0.1130E+00 -0.3028E-01    -16.14    -15.00    -17.88
  0.7891E+01 -0.3140E+01  0.1107E+00 -0.4027E-01    -21.70    -19.99    -26.45
  0.7604E+01 -0.3655E+01  0.1074E+00 -0.5009E-01    -25.67    -25.00    -31.90
  0.7344E+01 -0.4039E+01  0.1034E+00 -0.5960E-01    -28.81    -29.96    -36.06
  0.7073E+01 -0.4387E+01  0.9863E-01 -0.6894E-01    -31.81    -34.95    -39.85
  0.6769E+01 -0.4725E+01  0.9323E-01 -0.7807E-01    -34.92    -39.94    -43.84
  0.6412E+01 -0.5071E+01  0.8715E-01 -0.8701E-01    -38.34    -44.95    -47.52
  0.5998E+01 -0.5428E+01  0.8029E-01 -0.9552E-01    -42.14    -49.95    -50.18
  0.5474E+01 -0.5846E+01  0.7240E-01 -0.1033E+00    -46.88    -54.96    -52.40
  0.4480E+01 -0.6563E+01  0.6313E-01 -0.1093E+00    -55.68    -59.98    -57.19
  0.2692E+01 -0.7510E+01  0.5324E-01 -0.1141E+00    -70.28    -64.98    -65.50
  0.1292E+01 -0.8073E+01  0.4263E-01 -0.1171E+00    -80.91    -69.99    -73.94
  0.4189E+00 -0.8269E+01  0.3207E-01 -0.1193E+00    -87.10    -74.96    -81.44
  0.7576E-02 -0.8317E+01  0.2125E-01 -0.1202E+00    -89.95    -79.98    -86.30
 -0.2907E+00 -0.8325E+01  0.1061E-01 -0.1205E+00    -92.00    -84.97    -91.29
 -0.5535E+00 -0.8308E+01  0.7330E-04 -0.1204E+00    -93.81    -89.97    -96.13
