          S1          S2          D1          D2      angS      angD      angN
 -0.8097E+00 -0.8270E+01 -0.1044E-01 -0.1199E+00    -95.59    -94.98   -100.47
 -0.1080E+01 -0.8209E+01 -0.2095E-01 -0.1191E+00    -97.50    -99.98   -104.61
 -0.1384E+01 -0.8117E+01 -0.3148E-01 -0.1178E+00    -99.68   -104.96   -108.36
 -0.1749E+01 -0.7983E+01 -0.4216E-01 -0.1160E+00   -102.36   -109.97   -111.22
 -0.2272E+01 -0.7764E+01 -0.5281E-01 -0.1133E+00   -106.31   -114.98   -113.60
 -0.3848E+01 -0.6984E+01 -0.6271E-01 -0.1086E+00   -118.85   -120.00   -118.43
 -0.6703E+01 -0.5149E+01 -0.7114E-01 -0.1016E+00   -142.47   -125.00   -130.76
 -0.7279E+01 -0.4620E+01 -0.7823E-01 -0.9320E-01   -147.59   -130.01   -136.81
 -0.7549E+01 -0.4309E+01 -0.8433E-01 -0.8433E-01   -150.28   -135.00   -141.91
 -0.7730E+01 -0.4059E+01 -0.8979E-01 -0.7537E-01   -152.29   -139.99   -146.36
 -0.7867E+01 -0.3838E+01 -0.9473E-01 -0.6637E-01   -153.99   -144.98   -150.27
 -0.7977E+01 -0.3630E+01 -0.9924E-01 -0.5739E-01   -155.53   -149.96   -153.91
 -0.8070E+01 -0.3425E+01 -0.1034E+00 -0.4832E-01   -157.00   -154.96   -157.32
 -0.8150E+01 -0.3217E+01 -0.1073E+00 -0.3910E-01   -158.46   -159.97   -160.54
 -0.8221E+01 -0.2996E+01 -0.1108E+00 -0.2974E-01   -159.97   -164.97   -163.64
 -0.8285E+01 -0.2751E+01 -0.1140E+00 -0.2013E-01   -161.63   -169.99   -166.76
 -0.8345E+01 -0.2460E+01 -0.1168E+00 -0.1022E-01   -163.58   -175.00   -169.90
 -0.8401E+01 -0.2070E+01 -0.1190E+00  0.1188E-04   -166.16    179.99   -172.93
 -0.8463E+01 -0.1345E+01 -0.1198E+00  0.1053E-01   -170.97    174.98   -177.60
 -0.8443E+01  0.9820E+00 -0.1161E+00  0.2046E-01    173.37    170.00    175.36
 -0.8211E+01  0.2377E+01 -0.1130E+00  0.3028E-01    163.86    165.00    162.12
 -0.7891E+01  0.3140E+01 -0.1107E+00  0.4027E-01    158.30    160.01    153.55
 -0.7604E+01  0.3655E+01 -0.1074E+00  0.5009E-01    154.33    155.00    148.10
 -0.7344E+01  0.4039E+01 -0.1034E+00  0.5960E-01    151.19    150.04    143.94
 -0.7073E+01  0.4387E+01 -0.9863E-01  0.6894E-01    148.19    145.05    140.15
 -0.6769E+01  0.4725E+01 -0.9323E-01  0.7807E-01    145.08    140.06    136.16
 -0.6412E+01  0.5071E+01 -0.8715E-01  0.8701E-01    141.66    135.05    132.48
 -0.5998E+01  0.5428E+01 -0.8029E-01  0.9552E-01    137.86    130.05    129.82
 -0.5474E+01  0.5846E+01 -0.7240E-01  0.1033E+00    133.12    125.04    127.60
 -0.4480E+01  0.6563E+01 -0.6313E-01  0.1093E+00    124.32    120.02    122.81
 -0.2692E+01  0.7510E+01 -0.5324E-01  0.1141E+00    109.72    115.02    114.50
 -0.1292E+01  0.8073E+01 -0.4263E-01  0.1171E+00     99.09    110.01    106.06
 -0.4189E+00  0.8269E+01 -0.3207E-01  0.1193E+00     92.90    105.04     98.56
 -0.7576E-02  0.8317E+01 -0.2125E-01  0.1202E+00     90.05    100.02     93.70
  0.2907E+00  0.8325E+01 -0.1061E-01  0.1205E+00     88.00     95.03     88.71
  0.5535E+00  0.8308E+01 -0.7330E-04  0.1204E+00     86.19     90.03     83.87
