        EPSvm          Svm        SDEV1    SDEV2    SDEV3    SDEV4    SDEV5    SDEV6        DDEV1    DDEV2    DDEV3    DDEV4    DDEV5    DDEV6
  0.00000E+00  0.26995E+01        0.114    0.159    0.193    0.196    0.190    0.000        0.097    0.158    0.125    0.177    0.124    0.000
  0.23091E-01  0.28489E+01        0.115    0.159    0.187    0.198    0.195    0.000        0.098    0.160    0.124    0.174    0.125    0.000
  0.46237E-01  0.30013E+01        0.117    0.158    0.184    0.197    0.200    0.000        0.097    0.159    0.122    0.173    0.126    0.000
  0.69544E-01  0.31574E+01        0.118    0.157    0.180    0.197    0.204    0.000        0.096    0.159    0.121    0.174    0.128    0.000
  0.93110E-01  0.33179E+01        0.118    0.156    0.175    0.197    0.207    0.000        0.096    0.160    0.119    0.178    0.129    0.000
  0.11701E+00  0.34830E+01        0.119    0.154    0.171    0.196    0.209    0.000        0.096    0.161    0.118    0.182    0.131    0.000
  0.14130E+00  0.36504E+01        0.121    0.152    0.166    0.194    0.210    0.000        0.096    0.164    0.117    0.186    0.133    0.000
  0.16601E+00  0.38198E+01        0.122    0.149    0.161    0.191    0.211    0.000        0.097    0.167    0.117    0.192    0.136    0.000
  0.19113E+00  0.39920E+01        0.123    0.147    0.157    0.187    0.212    0.000        0.098    0.168    0.116    0.196    0.137    0.000
  0.21663E+00  0.41673E+01        0.124    0.144    0.154    0.184    0.213    0.000        0.097    0.167    0.114    0.199    0.138    0.000
  0.24246E+00  0.43438E+01        0.126    0.142    0.150    0.181    0.214    0.000        0.096    0.167    0.113    0.202    0.139    0.000
  0.26854E+00  0.45214E+01        0.128    0.139    0.147    0.178    0.215    0.000        0.096    0.165    0.111    0.205    0.140    0.000
  0.29479E+00  0.46994E+01        0.129    0.137    0.143    0.174    0.216    0.000        0.095    0.164    0.109    0.209    0.142    0.000
  0.32112E+00  0.48758E+01        0.130    0.134    0.139    0.170    0.216    0.000        0.094    0.163    0.108    0.214    0.143    0.000
  0.34741E+00  0.50520E+01        0.132    0.131    0.134    0.166    0.216    0.000        0.094    0.161    0.106    0.218    0.145    0.000
  0.37356E+00  0.52268E+01        0.133    0.129    0.130    0.162    0.216    0.000        0.093    0.159    0.104    0.223    0.146    0.000
  0.39950E+00  0.53986E+01        0.135    0.126    0.126    0.157    0.217    0.000        0.093    0.157    0.101    0.228    0.148    0.000
  0.42512E+00  0.55668E+01        0.136    0.123    0.122    0.152    0.216    0.000        0.092    0.155    0.099    0.233    0.150    0.000
  0.45038E+00  0.57320E+01        0.138    0.121    0.118    0.147    0.216    0.000        0.092    0.153    0.097    0.238    0.152    0.000
  0.47523E+00  0.58934E+01        0.139    0.119    0.114    0.142    0.216    0.000        0.091    0.152    0.096    0.243    0.154    0.000
  0.49963E+00  0.60512E+01        0.140    0.117    0.111    0.138    0.216    0.000        0.091    0.150    0.094    0.247    0.157    0.000
  0.52359E+00  0.62058E+01        0.141    0.116    0.109    0.134    0.216    0.000        0.089    0.147    0.093    0.251    0.158    0.000
  0.54714E+00  0.63574E+01        0.142    0.115    0.108    0.131    0.217    0.000        0.088    0.144    0.093    0.255    0.159    0.000
  0.57031E+00  0.65070E+01        0.143    0.114    0.108    0.129    0.219    0.000        0.085    0.140    0.092    0.258    0.159    0.000
  0.59318E+00  0.66539E+01        0.144    0.114    0.109    0.128    0.222    0.000        0.082    0.135    0.091    0.260    0.157    0.000
  0.61584E+00  0.67996E+01        0.145    0.114    0.111    0.129    0.227    0.000        0.077    0.129    0.090    0.260    0.155    0.000
  0.63839E+00  0.69412E+01        0.146    0.115    0.115    0.131    0.232    0.000        0.073    0.123    0.090    0.260    0.151    0.000
