   STRAIN    AVACS    MODE1
   0.0000   3.4522   1.0000
   0.0231   3.4784   1.0000
   0.0462   3.4615   1.0000
   0.0695   3.4595   1.0000
   0.0931   3.4454   1.0000
   0.1170   3.4590   1.0000
   0.1413   3.4577   1.0000
   0.1660   3.4367   1.0000
   0.1911   3.4923   1.0000
   0.2166   3.5009   1.0000
   0.2425   3.5105   1.0000
   0.2685   3.5117   1.0000
   0.2948   3.5305   1.0000
   0.3211   3.5026   1.0000
   0.3474   3.5101   1.0000
   0.3736   3.5093   1.0000
   0.3995   3.5131   1.0000
   0.4251   3.5139   1.0000
   0.4504   3.5460   1.0000
   0.4752   3.5576   1.0000
   0.4996   3.5923   1.0000
   0.5236   3.6039   1.0000
   0.5471   3.6010   1.0000
   0.5703   3.5999   1.0000
   0.5932   3.5813   1.0000
   0.6158   3.5579   1.0000
   0.6384   3.5170   1.0000
   0.6609   3.4823   1.0000
   0.6836   3.4386   1.0000
   0.7066   3.3995   1.0000
   0.7299   3.3407   1.0000
   0.7536   3.2320   1.0000
   0.7779   3.1683   1.0000
   0.8026   3.1135   1.0000
   0.8279   3.1011   1.0000
   0.8536   3.1279   1.0000
   0.8795   3.2047   1.0000
   0.9057   3.2296   1.0000
   0.9320   3.2840   1.0000
   0.9583   3.2887   1.0000
   0.9845   3.3865   1.0000
   1.0105   3.4462   1.0000
   1.0363   3.4711   1.0000
   1.0619   3.4857   1.0000
   1.0870   3.4951   1.0000
   1.1118   3.5425   1.0000
   1.1362   3.5462   1.0000
   1.1602   3.5598   1.0000
   1.1839   3.5665   1.0000
   1.2072   3.5935   1.0000
   1.2303   3.5687   1.0000
    STEP   AVACS   MODE1
       1   4.214   1.000
       2   4.278   1.000
       3   4.252   1.000
       4   4.205   1.000
       5   4.167   1.000
       6   4.055   1.000
       7   3.576   1.000
       8   3.938   1.000
       9   4.552   1.000
      10   4.691   1.000
      11   4.712   1.000
      12   4.708   1.000
      13   4.645   1.000
      14   4.618   1.000
      15   4.574   1.000
      16   4.529   1.000
      17   4.279   1.000
      18   4.146   1.000
      19   4.052   1.000
      20   3.463   1.000
      21   3.198   1.000
      22   3.382   1.000
      23   3.552   1.000
      24   3.673   1.000
      25   3.776   1.000
      26   3.788   1.000
      27   3.807   1.000
      28   3.772   1.000
      29   3.762   1.000
      30   3.687   1.000
      31   3.496   1.000
      32   3.357   1.000
      33   3.502   1.000
      34   3.800   1.000
      35   3.849   1.000
      36   3.908   1.000
    STEP   AVACS   MODE1
       1   4.630   1.000
       2   4.600   1.000
       3   4.366   1.000
       4   4.124   1.000
       5   3.918   1.000
       6   3.775   1.000
       7   3.612   1.000
       8   3.591   1.000
       9   3.685   1.000
      10   3.778   1.000
