     Evm         C11  C22  C33  C23  C13  C12   C44  C55  C66                                                                   A1  A2  A3
     0.00000     0.2617E+03  0.2623E+03  0.2606E+03  0.1099E+03  0.1105E+03  0.1088E+03  0.7556E+02  0.7623E+02  0.7452E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.02309     0.2618E+03  0.2623E+03  0.2605E+03  0.1100E+03  0.1106E+03  0.1087E+03  0.7559E+02  0.7626E+02  0.7448E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.04625     0.2620E+03  0.2624E+03  0.2604E+03  0.1101E+03  0.1105E+03  0.1085E+03  0.7562E+02  0.7623E+02  0.7441E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.06961     0.2622E+03  0.2625E+03  0.2603E+03  0.1102E+03  0.1105E+03  0.1083E+03  0.7563E+02  0.7617E+02  0.7432E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.09330     0.2625E+03  0.2626E+03  0.2603E+03  0.1103E+03  0.1104E+03  0.1081E+03  0.7562E+02  0.7607E+02  0.7421E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.11741     0.2629E+03  0.2628E+03  0.2604E+03  0.1104E+03  0.1103E+03  0.1079E+03  0.7560E+02  0.7594E+02  0.7408E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.14200     0.2633E+03  0.2630E+03  0.2605E+03  0.1104E+03  0.1101E+03  0.1076E+03  0.7558E+02  0.7577E+02  0.7394E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.16712     0.2637E+03  0.2632E+03  0.2606E+03  0.1105E+03  0.1099E+03  0.1073E+03  0.7554E+02  0.7558E+02  0.7378E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.19274     0.2642E+03  0.2634E+03  0.2607E+03  0.1105E+03  0.1098E+03  0.1070E+03  0.7550E+02  0.7536E+02  0.7360E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.21885     0.2648E+03  0.2637E+03  0.2608E+03  0.1106E+03  0.1095E+03  0.1067E+03  0.7546E+02  0.7514E+02  0.7340E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.24536     0.2653E+03  0.2640E+03  0.2610E+03  0.1107E+03  0.1093E+03  0.1063E+03  0.7541E+02  0.7490E+02  0.7319E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.27219     0.2659E+03  0.2643E+03  0.2612E+03  0.1107E+03  0.1091E+03  0.1060E+03  0.7535E+02  0.7467E+02  0.7297E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.29924     0.2665E+03  0.2647E+03  0.2613E+03  0.1107E+03  0.1089E+03  0.1056E+03  0.7527E+02  0.7444E+02  0.7273E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.32639     0.2671E+03  0.2651E+03  0.2615E+03  0.1108E+03  0.1087E+03  0.1052E+03  0.7518E+02  0.7422E+02  0.7248E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.35352     0.2677E+03  0.2655E+03  0.2617E+03  0.1108E+03  0.1085E+03  0.1047E+03  0.7507E+02  0.7400E+02  0.7222E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.38052     0.2683E+03  0.2659E+03  0.2619E+03  0.1108E+03  0.1084E+03  0.1043E+03  0.7493E+02  0.7380E+02  0.7195E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.40728     0.2690E+03  0.2664E+03  0.2620E+03  0.1107E+03  0.1082E+03  0.1038E+03  0.7478E+02  0.7361E+02  0.7167E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.43371     0.2696E+03  0.2669E+03  0.2622E+03  0.1107E+03  0.1081E+03  0.1033E+03  0.7460E+02  0.7344E+02  0.7139E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.45973     0.2702E+03  0.2675E+03  0.2624E+03  0.1106E+03  0.1079E+03  0.1029E+03  0.7440E+02  0.7328E+02  0.7110E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.48530     0.2708E+03  0.2681E+03  0.2626E+03  0.1106E+03  0.1078E+03  0.1024E+03  0.7417E+02  0.7313E+02  0.7080E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.51037     0.2714E+03  0.2686E+03  0.2628E+03  0.1105E+03  0.1077E+03  0.1019E+03  0.7394E+02  0.7299E+02  0.7051E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.53496     0.2720E+03  0.2692E+03  0.2630E+03  0.1104E+03  0.1076E+03  0.1014E+03  0.7369E+02  0.7286E+02  0.7021E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.55907     0.2726E+03  0.2698E+03  0.2632E+03  0.1103E+03  0.1075E+03  0.1009E+03  0.7344E+02  0.7274E+02  0.6992E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.58276     0.2732E+03  0.2704E+03  0.2634E+03  0.1102E+03  0.1074E+03  0.1004E+03  0.7319E+02  0.7262E+02  0.6964E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.60608     0.2738E+03  0.2710E+03  0.2635E+03  0.1102E+03  0.1073E+03  0.9987E+02  0.7295E+02  0.7252E+02  0.6936E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.62912     0.2744E+03  0.2715E+03  0.2637E+03  0.1101E+03  0.1072E+03  0.9938E+02  0.7271E+02  0.7241E+02  0.6909E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.65200     0.2749E+03  0.2720E+03  0.2638E+03  0.1101E+03  0.1071E+03  0.9891E+02  0.7249E+02  0.7232E+02  0.6883E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.67482     0.2755E+03  0.2725E+03  0.2639E+03  0.1101E+03  0.1071E+03  0.9846E+02  0.7229E+02  0.7224E+02  0.6859E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.69772     0.2759E+03  0.2729E+03  0.2639E+03  0.1101E+03  0.1070E+03  0.9802E+02  0.7212E+02  0.7217E+02  0.6837E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.72083     0.2764E+03  0.2733E+03  0.2639E+03  0.1101E+03  0.1070E+03  0.9760E+02  0.7198E+02  0.7212E+02  0.6816E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.74431     0.2768E+03  0.2736E+03  0.2638E+03  0.1102E+03  0.1070E+03  0.9720E+02  0.7189E+02  0.7209E+02  0.6797E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.76830     0.2772E+03  0.2739E+03  0.2637E+03  0.1103E+03  0.1070E+03  0.9682E+02  0.7184E+02  0.7207E+02  0.6780E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.79292     0.2775E+03  0.2740E+03  0.2634E+03  0.1105E+03  0.1070E+03  0.9645E+02  0.7187E+02  0.7206E+02  0.6763E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.81825     0.2778E+03  0.2741E+03  0.2632E+03  0.1108E+03  0.1071E+03  0.9612E+02  0.7194E+02  0.7205E+02  0.6748E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.84419     0.2781E+03  0.2742E+03  0.2629E+03  0.1110E+03  0.1071E+03  0.9581E+02  0.7206E+02  0.7203E+02  0.6735E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.87062     0.2784E+03  0.2742E+03  0.2626E+03  0.1113E+03  0.1071E+03  0.9552E+02  0.7219E+02  0.7202E+02  0.6723E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.89737     0.2786E+03  0.2742E+03  0.2623E+03  0.1116E+03  0.1072E+03  0.9524E+02  0.7233E+02  0.7202E+02  0.6710E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.92428     0.2788E+03  0.2742E+03  0.2620E+03  0.1118E+03  0.1072E+03  0.9497E+02  0.7246E+02  0.7203E+02  0.6697E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.95113     0.2791E+03  0.2743E+03  0.2617E+03  0.1120E+03  0.1073E+03  0.9469E+02  0.7254E+02  0.7206E+02  0.6683E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.97778     0.2793E+03  0.2745E+03  0.2616E+03  0.1121E+03  0.1073E+03  0.9441E+02  0.7257E+02  0.7209E+02  0.6668E+02     0.0000E+00  0.0000E+00  0.0000E+00
     1.00418     0.2795E+03  0.2747E+03  0.2615E+03  0.1122E+03  0.1073E+03  0.9416E+02  0.7253E+02  0.7210E+02  0.6654E+02     0.0000E+00  0.0000E+00  0.0000E+00
     1.03029     0.2797E+03  0.2749E+03  0.2615E+03  0.1122E+03  0.1073E+03  0.9394E+02  0.7244E+02  0.7209E+02  0.6641E+02     0.0000E+00  0.0000E+00  0.0000E+00
     1.05608     0.2800E+03  0.2752E+03  0.2617E+03  0.1121E+03  0.1073E+03  0.9376E+02  0.7229E+02  0.7206E+02  0.6630E+02     0.0000E+00  0.0000E+00  0.0000E+00
     1.08153     0.2802E+03  0.2754E+03  0.2619E+03  0.1120E+03  0.1072E+03  0.9360E+02  0.7211E+02  0.7200E+02  0.6621E+02     0.0000E+00  0.0000E+00  0.0000E+00
     1.10661     0.2805E+03  0.2757E+03  0.2621E+03  0.1118E+03  0.1070E+03  0.9347E+02  0.7189E+02  0.7191E+02  0.6613E+02     0.0000E+00  0.0000E+00  0.0000E+00
