 ANGLE     YOUNG     LANKF       D(1,1)    D(2,2)    D(3,3)    D(1,2)       S(1,1)    S(1,2)
   0.0     229.4      0.31       0.8165   -0.1910   -0.6255    0.0000       11.644     0.118     2.795
  10.0     224.7      0.35       0.8165   -0.2133   -0.6032    0.0000       11.530    -0.610     2.791
  20.0     209.3      0.52       0.8165   -0.2778   -0.5387    0.0000       11.160    -1.094     2.756
  30.0     192.9      0.93       0.8165   -0.3944   -0.4221    0.0000       10.709    -1.016     2.689
  40.0     182.5      1.73       0.8165   -0.5171   -0.2994    0.0000       10.351    -0.499     2.569
  50.0     180.8      2.59       0.8165   -0.5894   -0.2271    0.0000       10.283     0.038     2.501
  60.0     188.2      2.35       0.8165   -0.5730   -0.2435    0.0000       10.578     0.510     2.587
  70.0     202.6      1.63       0.8165   -0.5059   -0.3106    0.0000       10.954     0.605     2.725
  80.0     218.4      1.20       0.8165   -0.4456   -0.3709    0.0000       11.243     0.451     2.819
  90.0     226.5      1.00       0.8165   -0.4093   -0.4072    0.0000       11.392     0.090     2.861
