    EPS    OTH     CU     BR      S    GOS    CUB AVMISO
 0.0000   80.6    2.6    4.4    8.4    1.0    3.0   22.0
 0.0231   78.0    3.2    4.8    9.8    1.2    3.0   21.5
 0.0462   77.2    3.4    5.6    9.6    1.2    3.0   21.1
 0.0695   76.0    3.8    5.8   10.0    1.4    3.0   20.6
 0.0931   73.0    4.8    6.2   11.6    1.4    3.0   20.1
 0.1170   70.0    5.4    7.2   12.6    1.8    3.0   19.7
 0.1413   67.0    6.0    8.2   14.0    1.8    3.0   19.2
 0.1660   66.4    6.4    8.2   14.6    1.8    2.6   18.8
 0.1911   64.6    6.6    8.8   15.6    2.2    2.2   18.4
 0.2166   62.2    7.0    9.8   16.0    2.6    2.4   18.0
 0.2425   60.6    7.8   10.2   16.2    2.8    2.4   17.6
 0.2685   57.0    8.6   10.4   18.6    2.8    2.6   17.2
 0.2948   55.4    9.0   11.0   19.2    2.8    2.6   16.9
 0.3211   53.4    9.2   11.4   20.2    3.2    2.6   16.5
 0.3474   51.0   10.2   11.2   21.4    3.6    2.6   16.2
 0.3736   48.2   11.4   11.8   22.4    3.4    2.8   15.9
 0.3995   46.4   12.2   11.8   23.4    3.2    3.0   15.6
 0.4251   44.0   13.0   11.6   25.2    3.2    3.0   15.3
 0.4504   42.8   13.6   12.0   25.2    3.4    3.0   15.0
 0.4752   41.4   14.4   12.0   25.4    3.8    3.0   14.7
 0.4996   39.8   15.2   12.0   26.4    3.8    2.8   14.4
 0.5236   38.4   15.4   12.0   27.2    4.2    2.8   14.1
 0.5471   36.0   16.0   12.8   28.4    4.2    2.6   13.8
 0.5703   34.4   16.4   13.6   28.8    4.2    2.6   13.5
 0.5932   33.4   16.4   13.2   30.2    4.2    2.6   13.3
 0.6158   32.4   16.6   12.8   31.2    4.6    2.4   13.0
 0.6384   31.8   16.8   13.2   31.4    4.6    2.2   12.8
 0.6609   30.6   17.6   13.4   31.4    4.8    2.2   12.7
 0.6836   29.4   18.2   13.4   32.0    4.8    2.2   12.5
 0.7066   29.4   18.2   13.8   31.6    4.6    2.4   12.4
 0.7299   28.8   18.4   13.8   31.8    4.6    2.6   12.3
 0.7536   28.6   18.6   13.6   32.0    4.6    2.6   12.3
 0.7779   27.6   18.4   14.2   32.6    4.6    2.6   12.3
 0.8026   27.6   19.0   13.8   32.4    4.6    2.6   12.4
 0.8279   27.4   19.0   13.6   32.8    4.4    2.8   12.4
 0.8536   27.8   19.2   14.0   32.0    4.2    2.8   12.5
 0.8795   28.0   19.2   13.4   32.6    4.0    2.8   12.6
 0.9057   28.2   19.4   13.6   32.2    3.8    2.8   12.6
 0.9320   27.6   20.2   13.4   32.2    3.8    2.8   12.7
 0.9583   27.6   20.8   13.0   32.6    3.4    2.6   12.8
 0.9845   27.2   21.4   13.2   32.4    3.4    2.4   12.8
 1.0105   27.2   21.4   13.2   32.4    3.4    2.4   12.8
 1.0363   27.0   21.6   13.4   32.2    3.4    2.4   12.8
 1.0619   26.4   21.8   13.4   32.4    3.6    2.4   12.8
 1.0870   26.2   22.2   13.4   32.4    3.4    2.4   12.7
 1.1118   24.6   22.6   13.8   33.2    3.4    2.4   12.5
 1.1362   24.0   22.6   14.0   33.6    3.4    2.4   12.4
 1.1602   22.2   22.6   14.4   35.0    3.4    2.4   12.2
 1.1839   21.6   23.0   14.4   35.4    3.4    2.2   11.9
 1.2072   20.6   23.2   14.4   36.2    3.4    2.2   11.7
 1.2303   20.2   23.4   14.4   36.2    3.4    2.4   11.4
