text_01.dat                                                                     
poles     0  0  1
       phi     theta      int
  -182.500     0.810     0.000
  -177.500     0.810     0.000
  -172.500     0.810     0.000
  -167.500     0.810     0.000
  -162.500     0.810     0.000
  -157.500     0.810     0.000
  -152.500     0.810     0.000
  -147.500     0.810     0.000
  -142.500     0.810     0.000
  -137.500     0.810     0.000
  -132.500     0.810     0.000
  -127.500     0.810     0.000
  -122.500     0.810     0.000
  -117.500     0.810     0.000
  -112.500     0.810     0.000
  -107.500     0.810     0.000
  -102.500     0.810     0.000
   -97.500     0.810     0.000
   -92.500     0.810     0.000
   -87.500     0.810     0.000
   -82.500     0.810     0.000
   -77.500     0.810     0.000
   -72.500     0.810     0.000
   -67.500     0.810     0.000
   -62.500     0.810     0.000
   -57.500     0.810     0.000
   -52.500     0.810     0.000
   -47.500     0.810     0.000
   -42.500     0.810     0.000
   -37.500     0.810     0.000
   -32.500     0.810     0.000
   -27.500     0.810     0.000
   -22.500     0.810     0.000
   -17.500     0.810     0.000
   -12.500     0.810     0.000
    -7.500     0.810     0.000
    -2.500     0.810     0.000
     2.500     0.810     0.000
     7.500     0.810     0.000
    12.500     0.810     0.000
    17.500     0.810     0.000
    22.500     0.810     0.000
    27.500     0.810     0.000
    32.500     0.810     0.000
    37.500     0.810     0.000
    42.500     0.810     0.000
    47.500     0.810     0.000
    52.500     0.810     0.000
    57.500     0.810     0.000
    62.500     0.810     0.000
    67.500     0.810     0.000
    72.500     0.810     0.000
    77.500     0.810     0.000
    82.500     0.810     0.000
    87.500     0.810     0.000
    92.500     0.810     0.000
    97.500     0.810     0.000
   102.500     0.810     0.000
   107.500     0.810     0.000
   112.500     0.810     0.000
   117.500     0.810     0.000
   122.500     0.810     0.000
   127.500     0.810     0.000
   132.500     0.810     0.000
   137.500     0.810     0.000
   142.500     0.810     0.000
   147.500     0.810     0.000
   152.500     0.810     0.000
   157.500     0.810     0.000
   162.500     0.810     0.000
   167.500     0.810     0.000
   172.500     0.810     0.000
   177.500     0.810     0.000
   182.500     0.810     0.000
  -182.500     7.729     0.000
  -177.500     7.729     0.000
  -172.500     7.729     0.000
  -167.500     7.729     0.000
  -162.500     7.729     0.000
  -157.500     7.729     0.000
  -152.500     7.729     0.000
  -147.500     7.729     0.000
  -142.500     7.729     0.000
  -137.500     7.729     0.000
  -132.500     7.729     0.000
  -127.500     7.729     0.000
  -122.500     7.729     0.000
  -117.500     7.729     0.000
  -112.500     7.729     0.000
  -107.500     7.729     0.000
  -102.500     7.729     0.000
   -97.500     7.729     0.000
   -92.500     7.729     0.000
   -87.500     7.729     0.000
   -82.500     7.729     0.000
   -77.500     7.729     0.000
   -72.500     7.729     0.000
   -67.500     7.729     0.000
   -62.500     7.729     0.000
   -57.500     7.729     0.000
   -52.500     7.729     0.000
   -47.500     7.729     0.000
   -42.500     7.729     0.000
   -37.500     7.729     0.000
   -32.500     7.729     0.000
   -27.500     7.729     0.000
   -22.500     7.729     0.000
   -17.500     7.729     0.000
   -12.500     7.729     0.000
    -7.500     7.729     0.000
    -2.500     7.729     0.000
     2.500     7.729     0.000
     7.500     7.729     0.000
    12.500     7.729     0.000
    17.500     7.729     0.000
    22.500     7.729     0.000
    27.500     7.729     0.000
    32.500     7.729     0.000
    37.500     7.729     0.000
    42.500     7.729     0.000
    47.500     7.729     0.000
    52.500     7.729     0.000
    57.500     7.729     0.000
    62.500     7.729     0.000
    67.500     7.729     0.000
    72.500     7.729     0.000
    77.500     7.729     0.000
    82.500     7.729     0.000
    87.500     7.729     0.000
    92.500     7.729     0.000
    97.500     7.729     0.000
   102.500     7.729     0.000
   107.500     7.729     0.000
   112.500     7.729     0.000
   117.500     7.729     0.000
   122.500     7.729     0.000
   127.500     7.729     0.000
   132.500     7.729     0.000
   137.500     7.729     0.000
   142.500     7.729     0.000
   147.500     7.729     0.000
   152.500     7.729     0.000
   157.500     7.729     0.000
   162.500     7.729     0.000
   167.500     7.729     0.000
   172.500     7.729     0.000
   177.500     7.729     0.000
   182.500     7.729     0.000
  -182.500    12.308     0.000
  -177.500    12.308     0.000
  -172.500    12.308     0.000
  -167.500    12.308     0.000
  -162.500    12.308     0.000
  -157.500    12.308     0.000
  -152.500    12.308     0.000
  -147.500    12.308     0.000
  -142.500    12.308     0.000
  -137.500    12.308     0.000
  -132.500    12.308     0.000
  -127.500    12.308     0.000
  -122.500    12.308     0.000
  -117.500    12.308     0.000
  -112.500    12.308     0.000
  -107.500    12.308     0.000
  -102.500    12.308     0.000
   -97.500    12.308     0.000
   -92.500    12.308     0.000
   -87.500    12.308     0.000
   -82.500    12.308     0.000
   -77.500    12.308     0.000
   -72.500    12.308     0.000
   -67.500    12.308     0.000
   -62.500    12.308     0.000
   -57.500    12.308     0.000
   -52.500    12.308     0.000
   -47.500    12.308     0.000
   -42.500    12.308     0.000
   -37.500    12.308     0.000
   -32.500    12.308     0.000
   -27.500    12.308     0.000
   -22.500    12.308     0.000
   -17.500    12.308     0.000
   -12.500    12.308     0.000
    -7.500    12.308     0.000
    -2.500    12.308     0.000
     2.500    12.308     0.000
     7.500    12.308     0.000
    12.500    12.308     0.000
    17.500    12.308     0.000
    22.500    12.308     0.000
    27.500    12.308     0.000
    32.500    12.308     0.000
    37.500    12.308     0.000
    42.500    12.308     0.000
    47.500    12.308     0.000
    52.500    12.308     0.000
    57.500    12.308     0.000
    62.500    12.308     0.000
    67.500    12.308     0.000
    72.500    12.308     0.000
    77.500    12.308     0.000
    82.500    12.308     0.000
    87.500    12.308     0.000
    92.500    12.308     0.000
    97.500    12.308     0.000
   102.500    12.308     0.000
   107.500    12.308     0.000
   112.500    12.308     0.000
   117.500    12.308     0.000
   122.500    12.308     0.000
   127.500    12.308     0.000
   132.500    12.308     0.000
   137.500    12.308     0.000
   142.500    12.308     0.000
   147.500    12.308     0.000
   152.500    12.308     0.000
   157.500    12.308     0.000
   162.500    12.308     0.000
   167.500    12.308     0.000
