          S1          S2          D1          D2      angS      angD      angN
  0.4481E+01 -0.3449E+03 -0.1986E-07 -0.2899E-02    -89.26    -90.00    -87.45
 -0.1196E+01 -0.3450E+03 -0.2540E-03 -0.2898E-02    -90.20    -95.01    -91.78
 -0.6943E+01 -0.3446E+03 -0.5099E-03 -0.2892E-02    -91.15   -100.00    -95.80
 -0.1294E+02 -0.3438E+03 -0.7718E-03 -0.2880E-02    -92.16   -105.00    -99.78
 -0.1944E+02 -0.3424E+03 -0.1042E-02 -0.2862E-02    -93.25   -110.01   -105.90
 -0.2665E+02 -0.3398E+03 -0.1324E-02 -0.2839E-02    -94.48   -115.01   -113.60
 -0.3411E+02 -0.3359E+03 -0.1624E-02 -0.2812E-02    -95.80   -120.00   -120.84
 -0.4133E+02 -0.3310E+03 -0.1946E-02 -0.2778E-02    -97.12   -125.01   -127.42
 -0.4816E+02 -0.3251E+03 -0.2296E-02 -0.2736E-02    -98.43   -130.01   -134.05
 -0.5437E+02 -0.3184E+03 -0.2683E-02 -0.2683E-02    -99.69   -135.01   -139.61
 -0.6019E+02 -0.3110E+03 -0.3114E-02 -0.2613E-02   -100.95   -140.01   -144.07
 -0.6571E+02 -0.3027E+03 -0.3602E-02 -0.2522E-02   -102.25   -145.01   -148.62
 -0.7095E+02 -0.2933E+03 -0.4162E-02 -0.2403E-02   -103.60   -150.00   -152.33
 -0.7648E+02 -0.2820E+03 -0.4809E-02 -0.2242E-02   -105.18   -155.00   -155.28
 -0.8288E+02 -0.2668E+03 -0.5556E-02 -0.2022E-02   -107.25   -160.00   -159.53
 -0.9022E+02 -0.2425E+03 -0.6443E-02 -0.1727E-02   -110.41   -165.00   -165.56
 -0.9892E+02 -0.1866E+03 -0.7585E-02 -0.1338E-02   -117.94   -170.00   -174.24
 -0.1062E+03 -0.9484E+02 -0.8732E-02 -0.7643E-03   -138.24   -175.00    166.18
 -0.1100E+03  0.7198E+01 -0.9092E-02 -0.3052E-06    176.26   -180.00   -164.01
 -0.1043E+03  0.7981E+02 -0.8985E-02  0.7858E-03    142.58    175.00    164.89
 -0.9647E+02  0.1029E+03 -0.8725E-02  0.1538E-02    133.16    170.00    159.08
 -0.9098E+02  0.1162E+03 -0.8188E-02  0.2194E-02    128.05    165.00    157.07
 -0.8663E+02  0.1262E+03 -0.7543E-02  0.2746E-02    124.47    160.00    155.90
 -0.8279E+02  0.1346E+03 -0.6870E-02  0.3204E-02    121.60    154.99    155.23
 -0.7929E+02  0.1421E+03 -0.6198E-02  0.3579E-02    119.16    150.00    155.16
 -0.7596E+02  0.1493E+03 -0.5540E-02  0.3880E-02    116.97    145.00    155.30
 -0.7259E+02  0.1566E+03 -0.4902E-02  0.4113E-02    114.87    140.00    155.09
 -0.6887E+02  0.1645E+03 -0.4285E-02  0.4285E-02    112.71    135.00    154.15
 -0.6423E+02  0.1738E+03 -0.3686E-02  0.4392E-02    110.29    130.00    151.43
 -0.5743E+02  0.1851E+03 -0.3108E-02  0.4439E-02    107.24    125.00    144.90
 -0.4754E+02  0.1969E+03 -0.2574E-02  0.4458E-02    103.58    120.00    132.08
 -0.3587E+02  0.2047E+03 -0.2106E-02  0.4516E-02     99.94    115.00    115.33
