          S1          S2          D1          D2      angS      angD      angN
  0.3387E+00  0.8050E+01 -0.1939E-04  0.1242E+00     87.59     90.01     80.19
  0.5754E+00  0.7998E+01  0.1078E-01  0.1242E+00     85.89     85.04     75.89
  0.8382E+00  0.7922E+01  0.2185E-01  0.1239E+00     83.96     80.00     71.96
  0.1148E+01  0.7808E+01  0.3301E-01  0.1232E+00     81.63     75.00     68.70
  0.1515E+01  0.7655E+01  0.4425E-01  0.1219E+00     78.80     70.05     66.64
  0.2021E+01  0.7426E+01  0.5571E-01  0.1195E+00     74.77     65.00     65.12
  0.3396E+01  0.6748E+01  0.6629E-01  0.1148E+00     63.29     60.00     61.93
  0.6452E+01  0.4802E+01  0.7513E-01  0.1073E+00     36.66     55.00     49.56
  0.6979E+01  0.4327E+01  0.8241E-01  0.9819E-01     31.80     50.00     43.76
  0.7222E+01  0.4053E+01  0.8868E-01  0.8871E-01     29.30     45.01     38.82
  0.7384E+01  0.3837E+01  0.9430E-01  0.7916E-01     27.46     40.01     34.44
  0.7506E+01  0.3645E+01  0.9939E-01  0.6967E-01     25.90     35.03     30.48
  0.7604E+01  0.3466E+01  0.1041E+00  0.6018E-01     24.50     30.04     26.86
  0.7686E+01  0.3290E+01  0.1084E+00  0.5066E-01     23.17     25.04     23.50
  0.7758E+01  0.3112E+01  0.1125E+00  0.4099E-01     21.85     20.03     20.27
  0.7822E+01  0.2923E+01  0.1162E+00  0.3119E-01     20.49     15.03     17.12
  0.7879E+01  0.2715E+01  0.1196E+00  0.2112E-01     19.01     10.01     14.02
  0.7934E+01  0.2466E+01  0.1227E+00  0.1074E-01     17.27      5.00     10.91
  0.7987E+01  0.2130E+01  0.1252E+00 -0.1351E-04     14.93     -0.01      7.81
  0.8050E+01  0.1466E+01  0.1262E+00 -0.1109E-01     10.32     -5.02      4.26
  0.8012E+01 -0.1425E+01  0.1210E+00 -0.2137E-01    -10.08    -10.01     -7.32
  0.7805E+01 -0.2594E+01  0.1176E+00 -0.3151E-01    -18.39    -14.99    -17.18
  0.7474E+01 -0.3399E+01  0.1148E+00 -0.4171E-01    -24.46    -19.96    -28.88
  0.7191E+01 -0.3838E+01  0.1114E+00 -0.5185E-01    -28.09    -24.96    -34.99
  0.6931E+01 -0.4185E+01  0.1070E+00 -0.6171E-01    -31.12    -29.97    -38.18
  0.6674E+01 -0.4498E+01  0.1018E+00 -0.7122E-01    -33.98    -34.97    -41.08
  0.6393E+01 -0.4802E+01  0.9600E-01 -0.8044E-01    -36.91    -39.96    -44.16
  0.6080E+01 -0.5108E+01  0.8945E-01 -0.8931E-01    -40.03    -44.95    -46.72
  0.5714E+01 -0.5438E+01  0.8207E-01 -0.9765E-01    -43.59    -49.95    -49.05
  0.5239E+01 -0.5830E+01  0.7378E-01 -0.1052E+00    -48.06    -54.96    -51.65
  0.4467E+01 -0.6401E+01  0.6429E-01 -0.1114E+00    -55.09    -60.00    -56.28
  0.2821E+01 -0.7288E+01  0.5422E-01 -0.1162E+00    -68.84    -64.99    -65.07
  0.1666E+01 -0.7769E+01  0.4351E-01 -0.1194E+00    -77.90    -69.97    -71.60
  0.5556E+00 -0.8057E+01  0.3269E-01 -0.1219E+00    -86.06    -74.98    -82.98
  0.1681E+00 -0.8088E+01  0.2172E-01 -0.1232E+00    -88.81    -80.00    -89.07
 -0.9990E-01 -0.8081E+01  0.1083E-01 -0.1239E+00    -90.71    -85.00    -94.65
 -0.3387E+00 -0.8050E+01  0.1939E-04 -0.1242E+00    -92.41    -89.99    -99.81
 -0.5754E+00 -0.7998E+01 -0.1078E-01 -0.1242E+00    -94.11    -94.96   -104.11
 -0.8382E+00 -0.7922E+01 -0.2185E-01 -0.1239E+00    -96.04   -100.00   -108.04
 -0.1148E+01 -0.7808E+01 -0.3301E-01 -0.1232E+00    -98.37   -105.00   -111.30
 -0.1515E+01 -0.7655E+01 -0.4425E-01 -0.1219E+00   -101.20   -109.95   -113.36
 -0.2021E+01 -0.7426E+01 -0.5571E-01 -0.1195E+00   -105.23   -115.00   -114.88
 -0.3396E+01 -0.6748E+01 -0.6629E-01 -0.1148E+00   -116.71   -120.00   -118.07
 -0.6452E+01 -0.4802E+01 -0.7513E-01 -0.1073E+00   -143.34   -125.00   -130.44
 -0.6979E+01 -0.4327E+01 -0.8241E-01 -0.9819E-01   -148.20   -130.00   -136.24
 -0.7222E+01 -0.4053E+01 -0.8868E-01 -0.8871E-01   -150.70   -134.99   -141.18
 -0.7384E+01 -0.3837E+01 -0.9430E-01 -0.7916E-01   -152.54   -139.99   -145.56
 -0.7506E+01 -0.3645E+01 -0.9939E-01 -0.6967E-01   -154.10   -144.97   -149.52
 -0.7604E+01 -0.3466E+01 -0.1041E+00 -0.6018E-01   -155.50   -149.96   -153.14
 -0.7686E+01 -0.3290E+01 -0.1084E+00 -0.5066E-01   -156.83   -154.96   -156.50
 -0.7758E+01 -0.3112E+01 -0.1125E+00 -0.4099E-01   -158.15   -159.97   -159.73
 -0.7822E+01 -0.2923E+01 -0.1162E+00 -0.3119E-01   -159.51   -164.97   -162.88
 -0.7879E+01 -0.2715E+01 -0.1196E+00 -0.2112E-01   -160.99   -169.99   -165.98
 -0.7934E+01 -0.2466E+01 -0.1227E+00 -0.1074E-01   -162.73   -175.00   -169.09
 -0.7987E+01 -0.2130E+01 -0.1252E+00  0.1351E-04   -165.07   -180.01   -172.19
 -0.8050E+01 -0.1466E+01 -0.1262E+00  0.1109E-01   -169.68   -185.02   -177.00
 -0.8012E+01  0.1425E+01 -0.1210E+00  0.2137E-01    169.92    169.99    174.26
 -0.7805E+01  0.2594E+01 -0.1176E+00  0.3151E-01    161.61    165.01    162.82
 -0.7474E+01  0.3399E+01 -0.1148E+00  0.4171E-01    155.54    160.04    151.12
 -0.7191E+01  0.3838E+01 -0.1114E+00  0.5185E-01    151.91    155.04    145.01
 -0.6931E+01  0.4185E+01 -0.1070E+00  0.6171E-01    148.88    150.03    141.82
