        EPSvm          Svm        SDEV1    SDEV2    SDEV3    SDEV4    SDEV5    SDEV6        DDEV1    DDEV2    DDEV3    DDEV4    DDEV5    DDEV6
  0.10845E+01  0.99272E+01        0.174    0.108    0.087    0.078    0.244    0.000        0.052    0.081    0.079    0.366    0.164    0.000
  0.11076E+01  0.10090E+02        0.175    0.108    0.087    0.076    0.246    0.000        0.051    0.079    0.079    0.370    0.164    0.000
  0.11306E+01  0.10252E+02        0.176    0.108    0.086    0.074    0.247    0.000        0.050    0.076    0.079    0.374    0.164    0.000
  0.11537E+01  0.10417E+02        0.178    0.108    0.086    0.073    0.249    0.000        0.048    0.074    0.079    0.377    0.164    0.000
        EPSvm          Svm        SDEV1    SDEV2    SDEV3    SDEV4    SDEV5    SDEV6        DDEV1    DDEV2    DDEV3    DDEV4    DDEV5    DDEV6
  0.81563E+00  0.10953E+02        0.255    0.056    0.036    0.062    0.297    0.000        0.162    0.144    0.137    0.348    0.264    0.000
  0.81627E+00  0.10900E+02        0.245    0.055    0.036    0.063    0.288    0.000        0.147    0.110    0.127    0.377    0.264    0.000
  0.81442E+00  0.10823E+02        0.231    0.056    0.038    0.064    0.277    0.000        0.127    0.081    0.122    0.400    0.257    0.000
  0.81091E+00  0.10715E+02        0.211    0.061    0.042    0.065    0.264    0.000        0.106    0.064    0.122    0.415    0.244    0.000
  0.80682E+00  0.10585E+02        0.188    0.071    0.048    0.067    0.252    0.000        0.085    0.063    0.124    0.422    0.227    0.000
  0.80452E+00  0.10432E+02        0.164    0.086    0.059    0.068    0.241    0.000        0.064    0.075    0.122    0.417    0.204    0.000
  0.81492E+00  0.10238E+02        0.178    0.108    0.086    0.073    0.249    0.000        0.048    0.074    0.079    0.377    0.164    0.000
  0.77466E+00  0.10909E+02        0.164    0.084    0.055    0.053    0.257    0.000        0.065    0.071    0.115    0.287    0.192    0.000
  0.77543E+00  0.11148E+02        0.146    0.091    0.045    0.042    0.235    0.000        0.074    0.091    0.158    0.254    0.201    0.000
  0.78587E+00  0.11255E+02        0.138    0.094    0.042    0.035    0.219    0.000        0.079    0.109    0.182    0.223    0.200    0.000
  0.79688E+00  0.11318E+02        0.134    0.096    0.041    0.029    0.206    0.000        0.084    0.124    0.199    0.191    0.196    0.000
  0.80613E+00  0.11357E+02        0.130    0.098    0.040    0.024    0.196    0.000        0.088    0.135    0.212    0.161    0.190    0.000
  0.81267E+00  0.11379E+02        0.128    0.099    0.041    0.020    0.188    0.000        0.091    0.143    0.222    0.136    0.183    0.000
  0.81604E+00  0.11388E+02        0.126    0.099    0.041    0.019    0.182    0.000        0.093    0.147    0.229    0.125    0.177    0.000
  0.81604E+00  0.11384E+02        0.124    0.098    0.042    0.020    0.178    0.000        0.093    0.146    0.233    0.133    0.170    0.000
  0.81273E+00  0.11369E+02        0.123    0.097    0.043    0.025    0.176    0.000        0.092    0.141    0.234    0.158    0.164    0.000
