     Evm         C11  C22  C33  C23  C13  C12   C44  C55  C66                                                                   A1  A2  A3
     0.00000     0.2617E+03  0.2623E+03  0.2606E+03  0.1099E+03  0.1105E+03  0.1088E+03  0.7556E+02  0.7623E+02  0.7452E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.02309     0.2618E+03  0.2623E+03  0.2605E+03  0.1100E+03  0.1106E+03  0.1087E+03  0.7559E+02  0.7626E+02  0.7448E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.04618     0.2619E+03  0.2624E+03  0.2604E+03  0.1101E+03  0.1105E+03  0.1085E+03  0.7561E+02  0.7625E+02  0.7441E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.06927     0.2621E+03  0.2625E+03  0.2603E+03  0.1102E+03  0.1105E+03  0.1083E+03  0.7559E+02  0.7623E+02  0.7433E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.09236     0.2624E+03  0.2627E+03  0.2603E+03  0.1102E+03  0.1105E+03  0.1081E+03  0.7555E+02  0.7619E+02  0.7423E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.11545     0.2626E+03  0.2629E+03  0.2603E+03  0.1102E+03  0.1105E+03  0.1079E+03  0.7548E+02  0.7613E+02  0.7411E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.13854     0.2630E+03  0.2631E+03  0.2603E+03  0.1102E+03  0.1104E+03  0.1076E+03  0.7539E+02  0.7607E+02  0.7398E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.16163     0.2633E+03  0.2634E+03  0.2604E+03  0.1102E+03  0.1104E+03  0.1074E+03  0.7528E+02  0.7599E+02  0.7383E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.18471     0.2637E+03  0.2637E+03  0.2605E+03  0.1102E+03  0.1103E+03  0.1071E+03  0.7514E+02  0.7590E+02  0.7366E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.20779     0.2641E+03  0.2641E+03  0.2607E+03  0.1101E+03  0.1102E+03  0.1067E+03  0.7498E+02  0.7580E+02  0.7349E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.23088     0.2645E+03  0.2645E+03  0.2608E+03  0.1101E+03  0.1101E+03  0.1064E+03  0.7480E+02  0.7569E+02  0.7329E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.25396     0.2649E+03  0.2650E+03  0.2610E+03  0.1100E+03  0.1100E+03  0.1061E+03  0.7460E+02  0.7557E+02  0.7309E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.27704     0.2654E+03  0.2654E+03  0.2612E+03  0.1099E+03  0.1099E+03  0.1057E+03  0.7438E+02  0.7545E+02  0.7287E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.30012     0.2659E+03  0.2659E+03  0.2614E+03  0.1098E+03  0.1098E+03  0.1053E+03  0.7416E+02  0.7532E+02  0.7264E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.32319     0.2664E+03  0.2665E+03  0.2616E+03  0.1097E+03  0.1097E+03  0.1049E+03  0.7392E+02  0.7519E+02  0.7240E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.34627     0.2669E+03  0.2670E+03  0.2619E+03  0.1095E+03  0.1096E+03  0.1045E+03  0.7368E+02  0.7506E+02  0.7216E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.36935     0.2675E+03  0.2676E+03  0.2621E+03  0.1094E+03  0.1095E+03  0.1040E+03  0.7343E+02  0.7493E+02  0.7190E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.39242     0.2680E+03  0.2682E+03  0.2623E+03  0.1093E+03  0.1094E+03  0.1036E+03  0.7317E+02  0.7481E+02  0.7164E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.41550     0.2686E+03  0.2687E+03  0.2626E+03  0.1091E+03  0.1093E+03  0.1031E+03  0.7291E+02  0.7468E+02  0.7137E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.43857     0.2691E+03  0.2693E+03  0.2628E+03  0.1090E+03  0.1092E+03  0.1027E+03  0.7264E+02  0.7455E+02  0.7110E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.46164     0.2697E+03  0.2699E+03  0.2630E+03  0.1089E+03  0.1091E+03  0.1022E+03  0.7238E+02  0.7443E+02  0.7083E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.48472     0.2703E+03  0.2705E+03  0.2632E+03  0.1087E+03  0.1090E+03  0.1017E+03  0.7211E+02  0.7431E+02  0.7056E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.50779     0.2708E+03  0.2711E+03  0.2635E+03  0.1086E+03  0.1089E+03  0.1012E+03  0.7183E+02  0.7420E+02  0.7029E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.53086     0.2714E+03  0.2718E+03  0.2637E+03  0.1085E+03  0.1088E+03  0.1008E+03  0.7156E+02  0.7409E+02  0.7002E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.55393     0.2719E+03  0.2724E+03  0.2639E+03  0.1083E+03  0.1087E+03  0.1003E+03  0.7129E+02  0.7398E+02  0.6976E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.57700     0.2725E+03  0.2729E+03  0.2641E+03  0.1082E+03  0.1087E+03  0.9985E+02  0.7101E+02  0.7388E+02  0.6950E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.60008     0.2730E+03  0.2735E+03  0.2643E+03  0.1081E+03  0.1086E+03  0.9939E+02  0.7074E+02  0.7378E+02  0.6924E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.62315     0.2736E+03  0.2741E+03  0.2646E+03  0.1079E+03  0.1085E+03  0.9893E+02  0.7047E+02  0.7369E+02  0.6899E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.64622     0.2741E+03  0.2747E+03  0.2648E+03  0.1078E+03  0.1084E+03  0.9849E+02  0.7020E+02  0.7359E+02  0.6874E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.66930     0.2746E+03  0.2753E+03  0.2650E+03  0.1077E+03  0.1083E+03  0.9806E+02  0.6993E+02  0.7350E+02  0.6850E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.69237     0.2751E+03  0.2758E+03  0.2652E+03  0.1076E+03  0.1083E+03  0.9764E+02  0.6966E+02  0.7340E+02  0.6827E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.71544     0.2756E+03  0.2763E+03  0.2654E+03  0.1074E+03  0.1082E+03  0.9723E+02  0.6940E+02  0.7331E+02  0.6805E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.73851     0.2761E+03  0.2769E+03  0.2656E+03  0.1073E+03  0.1081E+03  0.9683E+02  0.6914E+02  0.7321E+02  0.6783E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.76159     0.2766E+03  0.2774E+03  0.2658E+03  0.1072E+03  0.1080E+03  0.9644E+02  0.6888E+02  0.7311E+02  0.6763E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.78466     0.2771E+03  0.2778E+03  0.2660E+03  0.1071E+03  0.1079E+03  0.9607E+02  0.6863E+02  0.7302E+02  0.6743E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.80773     0.2775E+03  0.2783E+03  0.2663E+03  0.1070E+03  0.1078E+03  0.9571E+02  0.6838E+02  0.7292E+02  0.6723E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.83080     0.2780E+03  0.2788E+03  0.2665E+03  0.1069E+03  0.1077E+03  0.9537E+02  0.6813E+02  0.7282E+02  0.6705E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.85387     0.2784E+03  0.2792E+03  0.2667E+03  0.1067E+03  0.1076E+03  0.9504E+02  0.6789E+02  0.7272E+02  0.6687E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.87694     0.2788E+03  0.2797E+03  0.2669E+03  0.1066E+03  0.1074E+03  0.9472E+02  0.6765E+02  0.7262E+02  0.6670E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.90001     0.2793E+03  0.2801E+03  0.2672E+03  0.1065E+03  0.1073E+03  0.9441E+02  0.6742E+02  0.7252E+02  0.6654E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.92308     0.2797E+03  0.2805E+03  0.2674E+03  0.1064E+03  0.1072E+03  0.9412E+02  0.6719E+02  0.7242E+02  0.6639E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.94614     0.2801E+03  0.2809E+03  0.2676E+03  0.1063E+03  0.1071E+03  0.9383E+02  0.6697E+02  0.7232E+02  0.6624E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.96921     0.2805E+03  0.2812E+03  0.2679E+03  0.1062E+03  0.1069E+03  0.9356E+02  0.6675E+02  0.7222E+02  0.6609E+02     0.0000E+00  0.0000E+00  0.0000E+00
     0.99228     0.2809E+03  0.2816E+03  0.2681E+03  0.1061E+03  0.1068E+03  0.9330E+02  0.6653E+02  0.7212E+02  0.6595E+02     0.0000E+00  0.0000E+00  0.0000E+00
     1.01534     0.2813E+03  0.2820E+03  0.2683E+03  0.1060E+03  0.1067E+03  0.9305E+02  0.6632E+02  0.7202E+02  0.6582E+02     0.0000E+00  0.0000E+00  0.0000E+00
