 ANGLE     YOUNG     LANKF       D(1,1)    D(2,2)    D(3,3)    D(1,2)       S(1,1)    S(1,2)
   0.0     231.3      0.32       0.8165   -0.1975   -0.6190    0.0000       11.249     0.112     2.831
  10.0     225.0      0.39       0.8165   -0.2292   -0.5873    0.0000       11.137    -0.572     2.836
  20.0     208.7      0.60       0.8165   -0.3069   -0.5096    0.0000       10.755    -1.080     2.796
  30.0     192.3      1.07       0.8165   -0.4225   -0.3940    0.0000       10.254    -1.094     2.693
  40.0     182.6      1.86       0.8165   -0.5312   -0.2853    0.0000        9.873    -0.531     2.555
  50.0     182.3      2.64       0.8165   -0.5919   -0.2246    0.0000        9.845     0.140     2.503
  60.0     191.3      2.52       0.8165   -0.5843   -0.2322    0.0000       10.200     0.593     2.600
  70.0     207.5      1.81       0.8165   -0.5258   -0.2907    0.0000       10.633     0.569     2.755
  80.0     224.3      1.33       0.8165   -0.4658   -0.3507    0.0000       10.912     0.436     2.857
  90.0     231.7      1.12       0.8165   -0.4322   -0.3842    0.0000       11.039     0.046     2.897
