    EPS    OTH     CU     BR      S    GOS    CUB AVMISO
 0.0000   80.6    2.6    4.4    8.4    1.0    3.0   22.0
 0.0200   78.0    3.2    4.8    9.8    1.2    3.0   21.5
 0.0400   77.0    3.6    5.6    9.6    1.2    3.0   21.1
 0.0600   75.6    3.8    5.8   10.4    1.4    3.0   20.6
 0.0800   73.4    4.6    6.6   11.0    1.4    3.0   20.1
 0.1000   70.4    5.2    7.6   12.4    1.4    3.0   19.7
 0.1200   67.6    5.8    7.8   14.0    1.8    3.0   19.2
 0.1400   65.6    6.2    8.4   14.6    2.2    3.0   18.8
 0.1600   62.4    6.8   10.2   15.4    2.4    2.8   18.3
 0.1800   60.8    7.0   10.8   16.4    2.2    2.8   17.9
 0.2000   59.4    7.2   10.4   17.4    2.8    2.8   17.5
 0.2200   57.0    8.0   10.8   18.2    3.0    3.0   17.1
 0.2400   55.2    8.4   10.8   19.2    3.4    3.0   16.7
 0.2600   53.0    9.2   11.0   20.2    3.6    3.0   16.3
 0.2800   50.0   10.2   11.4   21.6    4.0    2.8   16.0
 0.3000   47.0   11.6   12.2   22.4    4.0    2.8   15.6
 0.3200   46.4   12.2   12.0   22.8    4.0    2.6   15.3
 0.3400   45.0   13.0   12.0   23.2    4.2    2.6   15.0
 0.3600   44.0   13.4   12.4   23.6    4.2    2.4   14.7
 0.3800   43.2   14.0   12.6   23.8    4.0    2.4   14.5
 0.4000   41.6   14.6   12.6   24.6    4.4    2.2   14.2
 0.4200   40.6   15.2   12.6   25.2    4.4    2.0   14.0
 0.4400   38.8   16.2   12.4   26.2    4.6    1.8   13.7
 0.4600   37.2   16.6   12.6   27.4    4.4    1.8   13.5
 0.4800   35.6   16.6   13.0   28.2    4.8    1.8   13.2
 0.5000   34.6   16.8   13.8   28.6    4.6    1.6   13.0
 0.5200   33.2   17.2   14.0   29.4    4.6    1.6   12.8
 0.5400   32.8   17.4   14.2   29.2    4.6    1.8   12.6
 0.5600   32.0   17.8   14.4   29.4    4.6    1.8   12.4
 0.5800   31.4   17.8   14.4   29.8    4.8    1.8   12.2
 0.6000   30.0   18.6   14.8   29.6    5.2    1.8   12.1
 0.6200   27.8   19.8   15.0   30.0    5.4    2.0   11.9
 0.6400   27.0   20.4   14.8   30.6    5.2    2.0   11.7
 0.6600   26.6   20.4   15.0   30.8    5.2    2.0   11.5
 0.6800   26.0   21.0   15.0   30.8    5.2    2.0   11.4
 0.7000   25.0   21.2   15.6   30.8    5.4    2.0   11.2
 0.7200   24.4   21.8   15.8   31.0    5.2    1.8   11.1
 0.7400   23.8   22.2   15.8   31.4    5.2    1.6   11.0
 0.7600   22.6   22.6   16.2   32.0    5.2    1.4   10.8
 0.7800   21.8   22.8   16.0   32.6    5.4    1.4   10.7
 0.8000   20.6   23.0   16.4   33.2    5.4    1.4   10.6
 0.8200   19.4   23.8   16.8   33.2    5.4    1.4   10.4
 0.8400   18.6   23.8   17.0   33.8    5.4    1.4   10.3
 0.8600   18.4   23.8   17.0   34.2    5.2    1.4   10.2
 0.8800   18.2   23.8   17.2   34.2    5.2    1.4   10.1
 0.9000   17.6   24.0   17.2   34.6    5.2    1.4   10.0
 0.9200   17.4   23.8   17.6   34.8    5.2    1.2    9.9
 0.9400   17.6   24.2   17.4   34.6    5.0    1.2    9.8
 0.9600   17.4   24.2   17.4   34.8    5.0    1.2    9.7
 0.9800   17.4   24.2   17.2   35.0    5.0    1.2    9.6
 1.0000   16.8   24.2   17.0   35.8    5.0    1.2    9.5
