   STRAIN    AVACS    MODE1
   0.0000   2.4520   1.0000
   0.0200   2.4348   1.0000
   0.0400   2.4337   1.0000
   0.0600   2.4293   1.0000
   0.0800   2.4298   1.0000
   0.1000   2.4535   1.0000
   0.1200   2.4972   1.0000
   0.1400   2.5178   1.0000
   0.1600   2.5548   1.0000
   0.1800   2.5936   1.0000
   0.2000   2.6130   1.0000
   0.2200   2.6414   1.0000
   0.2400   2.6632   1.0000
   0.2600   2.6786   1.0000
   0.2800   2.6829   1.0000
   0.3000   2.7097   1.0000
   0.3200   2.7309   1.0000
   0.3400   2.7304   1.0000
   0.3600   2.7537   1.0000
   0.3800   2.7779   1.0000
   0.4000   2.7809   1.0000
   0.4200   2.8026   1.0000
   0.4400   2.8082   1.0000
   0.4600   2.8192   1.0000
   0.4800   2.8238   1.0000
   0.5000   2.8208   1.0000
   0.5200   2.8272   1.0000
   0.5400   2.8334   1.0000
   0.5600   2.8394   1.0000
   0.5800   2.8443   1.0000
   0.6000   2.8501   1.0000
   0.6200   2.8538   1.0000
   0.6400   2.8558   1.0000
   0.6600   2.8589   1.0000
   0.6800   2.8744   1.0000
   0.7000   2.8759   1.0000
   0.7200   2.8816   1.0000
   0.7400   2.8955   1.0000
   0.7600   2.9140   1.0000
   0.7800   2.9035   1.0000
   0.8000   2.9096   1.0000
   0.8200   2.9100   1.0000
   0.8400   2.9082   1.0000
   0.8600   2.9068   1.0000
   0.8800   2.9017   1.0000
   0.9000   2.8929   1.0000
   0.9200   2.8999   1.0000
   0.9400   2.9021   1.0000
   0.9600   2.9050   1.0000
   0.9800   2.9116   1.0000
   1.0000   2.9162   1.0000
   1.0200   2.9167   1.0000
   1.0400   2.9192   1.0000
   1.0600   2.9233   1.0000
   1.0800   2.9272   1.0000
   1.1000   2.9379   1.0000
   1.1200   2.9364   1.0000
   1.1400   2.9449   1.0000
   1.1600   2.9397   1.0000
   1.1800   2.9443   1.0000
   1.2000   2.9513   1.0000
   1.2200   2.9638   1.0000
   1.2400   2.9664   1.0000
   1.2600   2.9794   1.0000
   1.2800   2.9756   1.0000
   1.3000   2.9768   1.0000
   1.3200   2.9890   1.0000
   1.3400   2.9913   1.0000
   1.3600   2.9993   1.0000
   1.3800   3.0017   1.0000
   1.4000   3.0056   1.0000
   1.4200   3.0094   1.0000
   1.4400   3.0089   1.0000
   1.4600   3.0072   1.0000
   1.4800   3.0125   1.0000
   1.5000   3.0162   1.0000
   1.5200   3.0056   1.0000
   1.5400   3.0048   1.0000
   1.5600   3.0218   1.0000
   1.5800   3.0370   1.0000
   1.6000   3.0427   1.0000
   1.6200   3.0456   1.0000
   1.6400   3.0439   1.0000
   1.6600   3.0399   1.0000
   1.6800   3.0356   1.0000
   1.7000   3.0254   1.0000
   1.7200   3.0233   1.0000
   1.7400   3.0135   1.0000
   1.7600   3.0076   1.0000
   1.7800   3.0015   1.0000
   1.8000   2.9957   1.0000
   1.8200   2.9912   1.0000
   1.8400   2.9853   1.0000
   1.8600   2.9809   1.0000
   1.8800   2.9672   1.0000
   1.9000   2.9635   1.0000
   1.9200   2.9574   1.0000
   1.9400   2.9534   1.0000
   1.9600   2.9473   1.0000
   1.9800   2.9412   1.0000
   2.0000   2.9332   1.0000
