        EPSvm          Svm        SDEV1    SDEV2    SDEV3    SDEV4    SDEV5    SDEV6        DDEV1    DDEV2    DDEV3    DDEV4    DDEV5    DDEV6
  0.00000E+00  0.25102E+01        0.089    0.135    0.103    0.101    0.103    0.000        0.222    0.367    0.204    0.251    0.206    0.000
  0.23089E-01  0.25075E+01        0.090    0.135    0.100    0.102    0.106    0.000        0.225    0.371    0.203    0.246    0.207    0.000
  0.46179E-01  0.25083E+01        0.092    0.134    0.098    0.100    0.107    0.000        0.225    0.371    0.202    0.244    0.208    0.000
  0.69268E-01  0.25074E+01        0.094    0.133    0.096    0.098    0.108    0.000        0.226    0.373    0.200    0.242    0.209    0.000
  0.92357E-01  0.25109E+01        0.095    0.132    0.094    0.097    0.109    0.000        0.226    0.375    0.199    0.242    0.210    0.000
  0.11545E+00  0.25119E+01        0.096    0.130    0.091    0.095    0.109    0.000        0.227    0.377    0.197    0.244    0.211    0.000
  0.13854E+00  0.25162E+01        0.097    0.128    0.089    0.094    0.109    0.000        0.227    0.379    0.196    0.247    0.212    0.000
  0.16162E+00  0.25211E+01        0.098    0.126    0.086    0.092    0.109    0.000        0.228    0.381    0.194    0.251    0.213    0.000
  0.18471E+00  0.25264E+01        0.099    0.124    0.084    0.090    0.109    0.000        0.229    0.384    0.193    0.255    0.215    0.000
  0.20780E+00  0.25320E+01        0.099    0.122    0.081    0.087    0.108    0.000        0.230    0.386    0.191    0.258    0.217    0.000
  0.23089E+00  0.25379E+01        0.100    0.120    0.079    0.085    0.108    0.000        0.231    0.388    0.189    0.261    0.219    0.000
  0.25398E+00  0.25428E+01        0.101    0.118    0.076    0.082    0.108    0.000        0.231    0.389    0.188    0.262    0.221    0.000
  0.27707E+00  0.25483E+01        0.102    0.116    0.074    0.079    0.108    0.000        0.231    0.390    0.186    0.263    0.223    0.000
  0.30015E+00  0.25531E+01        0.102    0.114    0.072    0.076    0.108    0.000        0.231    0.391    0.185    0.264    0.225    0.000
  0.32324E+00  0.25567E+01        0.103    0.113    0.070    0.073    0.108    0.000        0.231    0.390    0.183    0.265    0.227    0.000
  0.34633E+00  0.25637E+01        0.105    0.112    0.068    0.071    0.108    0.000        0.230    0.389    0.181    0.266    0.229    0.000
  0.36942E+00  0.25668E+01        0.106    0.110    0.067    0.068    0.109    0.000        0.229    0.387    0.180    0.267    0.231    0.000
  0.39250E+00  0.25733E+01        0.107    0.109    0.065    0.066    0.109    0.000        0.228    0.384    0.179    0.269    0.233    0.000
  0.41559E+00  0.25755E+01        0.108    0.108    0.064    0.064    0.110    0.000        0.226    0.380    0.177    0.270    0.235    0.000
  0.43868E+00  0.25828E+01        0.110    0.108    0.063    0.062    0.111    0.000        0.224    0.376    0.176    0.272    0.237    0.000
  0.46176E+00  0.25867E+01        0.111    0.107    0.062    0.060    0.112    0.000        0.221    0.371    0.175    0.273    0.238    0.000
  0.48485E+00  0.25871E+01        0.112    0.106    0.061    0.058    0.113    0.000        0.219    0.366    0.173    0.274    0.240    0.000
  0.50794E+00  0.25903E+01        0.114    0.106    0.060    0.057    0.114    0.000        0.216    0.361    0.172    0.275    0.241    0.000
  0.53102E+00  0.25927E+01        0.116    0.105    0.059    0.055    0.115    0.000        0.213    0.355    0.170    0.276    0.242    0.000
  0.55411E+00  0.25947E+01        0.117    0.105    0.058    0.053    0.116    0.000        0.210    0.349    0.169    0.278    0.243    0.000
