     Evm         C11  C22  C33  C23  C13  C12   C44  C55  C66                                                                   A1  A2  A3
     0.00000     0.2702E+03  0.2708E+03  0.2693E+03  0.1110E+03  0.1116E+03  0.1101E+03  0.7933E+02  0.7992E+02  0.7842E+02     0.4956E-06  0.4956E-06  0.4956E-06
     0.02309     0.2705E+03  0.2708E+03  0.2691E+03  0.1112E+03  0.1116E+03  0.1098E+03  0.7945E+02  0.7992E+02  0.7830E+02     0.4953E-06  0.4956E-06  0.4960E-06
     0.04619     0.2707E+03  0.2709E+03  0.2690E+03  0.1113E+03  0.1115E+03  0.1096E+03  0.7951E+02  0.7989E+02  0.7814E+02     0.4950E-06  0.4955E-06  0.4963E-06
     0.06928     0.2711E+03  0.2712E+03  0.2689E+03  0.1114E+03  0.1115E+03  0.1093E+03  0.7952E+02  0.7984E+02  0.7795E+02     0.4948E-06  0.4954E-06  0.4967E-06
     0.09237     0.2715E+03  0.2714E+03  0.2689E+03  0.1115E+03  0.1115E+03  0.1089E+03  0.7948E+02  0.7976E+02  0.7772E+02     0.4946E-06  0.4952E-06  0.4971E-06
     0.11546     0.2720E+03  0.2718E+03  0.2689E+03  0.1115E+03  0.1114E+03  0.1085E+03  0.7940E+02  0.7966E+02  0.7747E+02     0.4944E-06  0.4950E-06  0.4974E-06
     0.13855     0.2725E+03  0.2723E+03  0.2690E+03  0.1115E+03  0.1113E+03  0.1081E+03  0.7927E+02  0.7956E+02  0.7719E+02     0.4943E-06  0.4948E-06  0.4977E-06
     0.16164     0.2730E+03  0.2728E+03  0.2691E+03  0.1115E+03  0.1112E+03  0.1076E+03  0.7911E+02  0.7945E+02  0.7689E+02     0.4943E-06  0.4945E-06  0.4980E-06
     0.18473     0.2736E+03  0.2733E+03  0.2692E+03  0.1114E+03  0.1112E+03  0.1071E+03  0.7891E+02  0.7933E+02  0.7658E+02     0.4943E-06  0.4943E-06  0.4983E-06
     0.20781     0.2742E+03  0.2739E+03  0.2694E+03  0.1114E+03  0.1111E+03  0.1066E+03  0.7870E+02  0.7922E+02  0.7626E+02     0.4943E-06  0.4940E-06  0.4985E-06
     0.23089     0.2747E+03  0.2745E+03  0.2695E+03  0.1113E+03  0.1110E+03  0.1061E+03  0.7847E+02  0.7911E+02  0.7594E+02     0.4944E-06  0.4937E-06  0.4987E-06
     0.25396     0.2753E+03  0.2751E+03  0.2697E+03  0.1112E+03  0.1109E+03  0.1056E+03  0.7824E+02  0.7900E+02  0.7562E+02     0.4946E-06  0.4934E-06  0.4989E-06
     0.27703     0.2759E+03  0.2756E+03  0.2698E+03  0.1111E+03  0.1109E+03  0.1051E+03  0.7801E+02  0.7889E+02  0.7531E+02     0.4947E-06  0.4931E-06  0.4991E-06
     0.30009     0.2764E+03  0.2762E+03  0.2700E+03  0.1111E+03  0.1108E+03  0.1046E+03  0.7777E+02  0.7878E+02  0.7501E+02     0.4949E-06  0.4928E-06  0.4992E-06
     0.32315     0.2770E+03  0.2767E+03  0.2701E+03  0.1110E+03  0.1107E+03  0.1041E+03  0.7754E+02  0.7868E+02  0.7472E+02     0.4951E-06  0.4925E-06  0.4993E-06
     0.34619     0.2775E+03  0.2772E+03  0.2702E+03  0.1110E+03  0.1106E+03  0.1037E+03  0.7732E+02  0.7857E+02  0.7445E+02     0.4953E-06  0.4922E-06  0.4994E-06
     0.36923     0.2780E+03  0.2777E+03  0.2703E+03  0.1109E+03  0.1106E+03  0.1033E+03  0.7710E+02  0.7846E+02  0.7419E+02     0.4955E-06  0.4919E-06  0.4995E-06
     0.39226     0.2785E+03  0.2781E+03  0.2705E+03  0.1109E+03  0.1105E+03  0.1029E+03  0.7690E+02  0.7835E+02  0.7395E+02     0.4957E-06  0.4916E-06  0.4996E-06
     0.41528     0.2790E+03  0.2785E+03  0.2706E+03  0.1109E+03  0.1104E+03  0.1025E+03  0.7670E+02  0.7824E+02  0.7373E+02     0.4959E-06  0.4913E-06  0.4996E-06
     0.43829     0.2794E+03  0.2789E+03  0.2707E+03  0.1108E+03  0.1103E+03  0.1022E+03  0.7651E+02  0.7813E+02  0.7353E+02     0.4962E-06  0.4911E-06  0.4996E-06
     0.46130     0.2799E+03  0.2792E+03  0.2709E+03  0.1108E+03  0.1101E+03  0.1018E+03  0.7632E+02  0.7802E+02  0.7335E+02     0.4964E-06  0.4909E-06  0.4996E-06
     0.48430     0.2803E+03  0.2795E+03  0.2710E+03  0.1108E+03  0.1100E+03  0.1015E+03  0.7615E+02  0.7791E+02  0.7318E+02     0.4966E-06  0.4907E-06  0.4995E-06
     0.50731     0.2807E+03  0.2798E+03  0.2711E+03  0.1108E+03  0.1099E+03  0.1013E+03  0.7599E+02  0.7779E+02  0.7302E+02     0.4969E-06  0.4905E-06  0.4995E-06
     0.53031     0.2810E+03  0.2801E+03  0.2713E+03  0.1108E+03  0.1098E+03  0.1010E+03  0.7583E+02  0.7768E+02  0.7288E+02     0.4971E-06  0.4903E-06  0.4994E-06
     0.55331     0.2814E+03  0.2802E+03  0.2713E+03  0.1109E+03  0.1096E+03  0.1008E+03  0.7561E+02  0.7749E+02  0.7272E+02     0.4973E-06  0.4901E-06  0.4995E-06
     0.57631     0.2818E+03  0.2804E+03  0.2715E+03  0.1109E+03  0.1095E+03  0.1006E+03  0.7546E+02  0.7735E+02  0.7259E+02     0.4976E-06  0.4900E-06  0.4994E-06
     0.59932     0.2821E+03  0.2806E+03  0.2716E+03  0.1109E+03  0.1093E+03  0.1004E+03  0.7531E+02  0.7721E+02  0.7248E+02     0.4978E-06  0.4899E-06  0.4992E-06
     0.62233     0.2824E+03  0.2807E+03  0.2718E+03  0.1109E+03  0.1091E+03  0.1003E+03  0.7518E+02  0.7708E+02  0.7237E+02     0.4980E-06  0.4898E-06  0.4991E-06
     0.64534     0.2828E+03  0.2809E+03  0.2720E+03  0.1109E+03  0.1090E+03  0.1001E+03  0.7505E+02  0.7694E+02  0.7227E+02     0.4982E-06  0.4897E-06  0.4989E-06
     0.66835     0.2831E+03  0.2810E+03  0.2721E+03  0.1109E+03  0.1088E+03  0.9997E+02  0.7493E+02  0.7681E+02  0.7218E+02     0.4984E-06  0.4897E-06  0.4988E-06
     0.69137     0.2834E+03  0.2811E+03  0.2723E+03  0.1109E+03  0.1086E+03  0.9985E+02  0.7483E+02  0.7668E+02  0.7210E+02     0.4986E-06  0.4896E-06  0.4986E-06
     0.71439     0.2837E+03  0.2813E+03  0.2725E+03  0.1109E+03  0.1084E+03  0.9973E+02  0.7473E+02  0.7655E+02  0.7202E+02     0.4988E-06  0.4896E-06  0.4984E-06
     0.73742     0.2840E+03  0.2814E+03  0.2727E+03  0.1109E+03  0.1082E+03  0.9962E+02  0.7463E+02  0.7643E+02  0.7195E+02     0.4990E-06  0.4896E-06  0.4982E-06
     0.76045     0.2842E+03  0.2815E+03  0.2729E+03  0.1109E+03  0.1081E+03  0.9952E+02  0.7455E+02  0.7631E+02  0.7189E+02     0.4992E-06  0.4896E-06  0.4980E-06
     0.78349     0.2845E+03  0.2816E+03  0.2731E+03  0.1109E+03  0.1079E+03  0.9943E+02  0.7447E+02  0.7620E+02  0.7182E+02     0.4993E-06  0.4896E-06  0.4979E-06
     0.80653     0.2848E+03  0.2817E+03  0.2733E+03  0.1109E+03  0.1077E+03  0.9934E+02  0.7439E+02  0.7609E+02  0.7176E+02     0.4995E-06  0.4896E-06  0.4977E-06
     0.82957     0.2850E+03  0.2816E+03  0.2733E+03  0.1110E+03  0.1075E+03  0.9927E+02  0.7423E+02  0.7589E+02  0.7166E+02     0.4996E-06  0.4894E-06  0.4978E-06
     0.85261     0.2853E+03  0.2816E+03  0.2735E+03  0.1110E+03  0.1073E+03  0.9921E+02  0.7412E+02  0.7574E+02  0.7159E+02     0.4997E-06  0.4894E-06  0.4977E-06
     0.87566     0.2855E+03  0.2817E+03  0.2736E+03  0.1111E+03  0.1071E+03  0.9916E+02  0.7401E+02  0.7558E+02  0.7153E+02     0.4999E-06  0.4893E-06  0.4977E-06
     0.89871     0.2858E+03  0.2817E+03  0.2738E+03  0.1111E+03  0.1069E+03  0.9912E+02  0.7389E+02  0.7543E+02  0.7146E+02     0.5000E-06  0.4892E-06  0.4976E-06
     0.92177     0.2860E+03  0.2817E+03  0.2739E+03  0.1111E+03  0.1068E+03  0.9908E+02  0.7378E+02  0.7528E+02  0.7140E+02     0.5002E-06  0.4892E-06  0.4976E-06
     0.94482     0.2862E+03  0.2817E+03  0.2741E+03  0.1111E+03  0.1066E+03  0.9905E+02  0.7371E+02  0.7518E+02  0.7136E+02     0.5003E-06  0.4892E-06  0.4974E-06
     0.96788     0.2864E+03  0.2817E+03  0.2743E+03  0.1112E+03  0.1064E+03  0.9901E+02  0.7360E+02  0.7505E+02  0.7130E+02     0.5004E-06  0.4891E-06  0.4973E-06
     0.99095     0.2866E+03  0.2818E+03  0.2745E+03  0.1111E+03  0.1062E+03  0.9898E+02  0.7355E+02  0.7497E+02  0.7127E+02     0.5006E-06  0.4892E-06  0.4971E-06
     1.01401     0.2868E+03  0.2818E+03  0.2746E+03  0.1111E+03  0.1061E+03  0.9896E+02  0.7344E+02  0.7485E+02  0.7121E+02     0.5007E-06  0.4891E-06  0.4971E-06
     1.03707     0.2869E+03  0.2819E+03  0.2748E+03  0.1111E+03  0.1059E+03  0.9893E+02  0.7337E+02  0.7476E+02  0.7117E+02     0.5008E-06  0.4890E-06  0.4970E-06
     1.06014     0.2871E+03  0.2819E+03  0.2749E+03  0.1111E+03  0.1058E+03  0.9891E+02  0.7326E+02  0.7465E+02  0.7111E+02     0.5010E-06  0.4889E-06  0.4970E-06
     1.08321     0.2872E+03  0.2819E+03  0.2751E+03  0.1111E+03  0.1057E+03  0.9890E+02  0.7320E+02  0.7457E+02  0.7106E+02     0.5011E-06  0.4890E-06  0.4968E-06
     1.10628     0.2874E+03  0.2820E+03  0.2753E+03  0.1110E+03  0.1056E+03  0.9889E+02  0.7314E+02  0.7450E+02  0.7102E+02     0.5012E-06  0.4890E-06  0.4967E-06
     1.12935     0.2875E+03  0.2822E+03  0.2755E+03  0.1109E+03  0.1055E+03  0.9886E+02  0.7308E+02  0.7444E+02  0.7096E+02     0.5012E-06  0.4891E-06  0.4966E-06
     1.15242     0.2876E+03  0.2823E+03  0.2756E+03  0.1108E+03  0.1054E+03  0.9882E+02  0.7302E+02  0.7439E+02  0.7091E+02     0.5013E-06  0.4891E-06  0.4965E-06
     1.15242     0.2876E+03  0.2823E+03  0.2756E+03  0.1108E+03  0.1054E+03  0.9882E+02  0.7302E+02  0.7439E+02  0.7091E+02     0.5013E-06  0.4891E-06  0.4965E-06
     1.15242     0.2876E+03  0.2823E+03  0.2756E+03  0.1108E+03  0.1054E+03  0.9882E+02  0.7302E+02  0.7439E+02  0.7091E+02     0.5013E-06  0.4891E-06  0.4965E-06
     1.15242     0.2850E+03  0.2799E+03  0.2756E+03  0.1107E+03  0.1055E+03  0.1013E+03  0.7318E+02  0.7422E+02  0.7336E+02     0.5016E-06  0.4888E-06  0.4965E-06
     1.15242     0.2782E+03  0.2738E+03  0.2756E+03  0.1103E+03  0.1059E+03  0.1078E+03  0.7341E+02  0.7399E+02  0.7985E+02     0.5011E-06  0.4893E-06  0.4965E-06
     1.15242     0.2700E+03  0.2670E+03  0.2756E+03  0.1097E+03  0.1065E+03  0.1152E+03  0.7368E+02  0.7372E+02  0.8733E+02     0.4999E-06  0.4905E-06  0.4965E-06
     1.15242     0.2642E+03  0.2628E+03  0.2756E+03  0.1088E+03  0.1074E+03  0.1202E+03  0.7395E+02  0.7346E+02  0.9231E+02     0.4981E-06  0.4922E-06  0.4965E-06
     1.15242     0.2632E+03  0.2636E+03  0.2756E+03  0.1079E+03  0.1083E+03  0.1204E+03  0.7419E+02  0.7322E+02  0.9246E+02     0.4960E-06  0.4944E-06  0.4965E-06
     1.15242     0.2670E+03  0.2692E+03  0.2756E+03  0.1070E+03  0.1092E+03  0.1156E+03  0.7437E+02  0.7304E+02  0.8770E+02     0.4938E-06  0.4966E-06  0.4965E-06
     1.15242     0.2737E+03  0.2774E+03  0.2756E+03  0.1062E+03  0.1100E+03  0.1082E+03  0.7446E+02  0.7294E+02  0.8027E+02     0.4917E-06  0.4986E-06  0.4965E-06
     1.15242     0.2798E+03  0.2846E+03  0.2756E+03  0.1057E+03  0.1106E+03  0.1015E+03  0.7447E+02  0.7293E+02  0.7364E+02     0.4901E-06  0.5003E-06  0.4965E-06
     1.15242     0.2823E+03  0.2876E+03  0.2756E+03  0.1054E+03  0.1108E+03  0.9882E+02  0.7439E+02  0.7302E+02  0.7091E+02     0.4891E-06  0.5013E-06  0.4965E-06
