 ANGLE     YOUNG     LANKF       D(1,1)    D(2,2)    D(3,3)    D(1,2)       S(1,1)    S(1,2)
   0.0     233.8      0.90       0.8165   -0.3857   -0.4308    0.0000        6.051     0.003     2.419
  10.0     228.8      0.93       0.8165   -0.3933   -0.4232    0.0000        6.004    -0.333     2.401
  20.0     216.1      1.08       0.8165   -0.4240   -0.3925    0.0000        5.913    -0.519     2.365
  30.0     202.8      1.29       0.8165   -0.4606   -0.3559    0.0000        5.814    -0.569     2.319
  40.0     194.3      1.46       0.8165   -0.4842   -0.3323    0.0000        5.817    -0.366     2.314
  50.0     193.0      1.34       0.8165   -0.4679   -0.3486    0.0000        5.831    -0.091     2.324
  60.0     198.8      0.83       0.8165   -0.3708   -0.4457    0.0000        5.787    -0.003     2.312
  70.0     209.4      0.52       0.8165   -0.2792   -0.5373    0.0000        5.787     0.003     2.277
  80.0     220.1      0.36       0.8165   -0.2168   -0.5997    0.0000        5.704     0.006     2.202
  90.0     224.8      0.29       0.8165   -0.1831   -0.6334    0.0000        5.633    -0.004     2.147
