   STRAIN    AVACS    MODE1
   0.0000   1.3852   0.0171
   0.0200   1.3867   0.0160
   0.0400   1.3855   0.0158
   0.0600   1.3758   0.0150
   0.0800   1.3761   0.0137
   0.1000   1.3815   0.0127
   0.1200   1.3835   0.0120
   0.1400   1.3855   0.0116
   0.1600   1.3892   0.0117
   0.1800   1.3980   0.0125
   0.2000   1.3964   0.0138
   0.2200   1.4056   0.0156
   0.2400   1.4192   0.0180
   0.2600   1.4259   0.0210
   0.2800   1.4449   0.0247
   0.3000   1.4581   0.0291
   0.3200   1.4858   0.0342
   0.3400   1.5288   0.0400
   0.3600   1.5699   0.0464
   0.3800   1.5945   0.0534
   0.4000   1.6287   0.0609
   0.4200   1.6585   0.0686
   0.4400   1.6892   0.0769
   0.4600   1.7078   0.0853
   0.4800   1.7432   0.0937
   0.5000   1.7879   0.1021
   0.5200   1.8161   0.1104
   0.5400   1.8587   0.1185
   0.5600   1.9172   0.1265
   0.5800   1.9629   0.1342
   0.6000   2.0007   0.1415
   0.6200   2.0150   0.1485
   0.6400   2.0406   0.1558
   0.6600   2.0544   0.1626
   0.6800   2.1090   0.1683
   0.7000   2.1425   0.1746
   0.7200   2.1905   0.1816
   0.7400   2.2342   0.1881
   0.7600   2.2672   0.1931
   0.7800   2.2901   0.1990
   0.8000   2.3256   0.2043
   0.8200   2.3519   0.2084
   0.8400   2.3832   0.2130
   0.8600   2.4011   0.2178
   0.8800   2.4259   0.2223
   0.9000   2.4336   0.2264
   0.9200   2.4667   0.2300
   0.9400   2.4807   0.2300
   0.9600   2.4933   0.2296
   0.9800   2.5031   0.2296
   1.0000   2.5194   0.2293
    STEP   AVACS   MODE1
       1   2.261   0.124
       2   2.259   0.138
       3   2.287   0.153
       4   2.295   0.169
       5   2.303   0.187
       6   2.366   0.208
       7   2.520   0.230
       8   2.713   0.242
       9   2.698   0.239
      10   2.584   0.236
      11   2.496   0.235
      12   2.393   0.235
      13   2.286   0.235
      14   2.135   0.237
      15   2.022   0.239
      16   1.943   0.241
      17   1.845   0.245
      18   1.733   0.249
      19   1.698   0.255
      20   1.728   0.264
      21   2.010   0.272
      22   2.240   0.271
      23   2.196   0.239
      24   2.194   0.210
      25   2.198   0.180
      26   2.184   0.150
      27   2.240   0.121
      28   2.266   0.094
      29   2.313   0.068
      30   2.168   0.041
      31   1.596   0.020
      32   2.877   0.031
      33   2.980   0.059
      34   2.921   0.095
      35   2.380   0.103
      36   2.274   0.112
    STEP   AVACS   MODE1
       1   2.330   0.235
       2   2.306   0.237
       3   2.355   0.242
       4   2.451   0.243
       5   2.611   0.248
       6   2.729   0.230
       7   2.598   0.177
       8   2.528   0.139
       9   2.439   0.100
      10   2.282   0.080
