   STRAIN    AVACS    MODE1
   0.0000   3.7381   0.9829
   0.0200   3.6984   0.9840
   0.0400   3.7021   0.9842
   0.0600   3.7139   0.9850
   0.0800   3.7184   0.9863
   0.1000   3.7501   0.9873
   0.1200   3.7678   0.9880
   0.1400   3.7855   0.9884
   0.1600   3.8028   0.9883
   0.1800   3.7849   0.9875
   0.2000   3.7697   0.9862
   0.2200   3.7830   0.9844
   0.2400   3.7703   0.9820
   0.2600   3.7634   0.9790
   0.2800   3.7777   0.9753
   0.3000   3.7770   0.9709
   0.3200   3.7695   0.9658
   0.3400   3.7991   0.9600
   0.3600   3.7995   0.9536
   0.3800   3.8074   0.9466
   0.4000   3.8151   0.9391
   0.4200   3.8340   0.9314
   0.4400   3.8127   0.9231
   0.4600   3.7910   0.9147
   0.4800   3.7908   0.9063
   0.5000   3.7787   0.8979
   0.5200   3.7636   0.8896
   0.5400   3.7609   0.8815
   0.5600   3.7559   0.8735
   0.5800   3.7561   0.8658
   0.6000   3.7446   0.8585
   0.6200   3.7429   0.8515
   0.6400   3.7432   0.8442
   0.6600   3.7495   0.8374
   0.6800   3.7601   0.8317
   0.7000   3.7676   0.8254
   0.7200   3.7503   0.8184
   0.7400   3.7487   0.8119
   0.7600   3.7394   0.8069
   0.7800   3.7393   0.8010
   0.8000   3.7415   0.7957
   0.8200   3.7542   0.7916
   0.8400   3.8075   0.7870
   0.8600   3.9072   0.7822
   0.8800   3.9275   0.7777
   0.9000   3.9452   0.7736
   0.9200   3.9504   0.7700
   0.9400   4.0284   0.7700
   0.9600   4.1312   0.7704
   0.9800   4.1981   0.7704
   1.0000   4.2463   0.7707
    STEP   AVACS   MODE1
       1   5.046   0.876
       2   5.090   0.862
       3   5.090   0.847
       4   5.049   0.831
       5   4.893   0.813
       6   4.790   0.792
       7   4.240   0.770
       8   3.849   0.758
       9   5.030   0.761
      10   5.330   0.764
      11   5.319   0.765
      12   5.303   0.765
      13   5.255   0.765
      14   5.221   0.763
      15   5.101   0.761
      16   4.986   0.759
      17   4.522   0.755
      18   4.334   0.751
      19   3.863   0.745
      20   3.389   0.736
      21   3.335   0.728
      22   3.321   0.729
      23   3.709   0.761
      24   3.773   0.790
      25   3.983   0.820
      26   3.986   0.850
      27   4.082   0.879
      28   4.121   0.906
      29   4.154   0.932
      30   4.208   0.959
      31   4.200   0.980
      32   4.085   0.969
      33   3.928   0.941
      34   4.110   0.905
      35   4.509   0.897
      36   4.632   0.888
    STEP   AVACS   MODE1
       1   5.305   0.765
       2   5.225   0.763
       3   4.823   0.758
       4   4.486   0.757
       5   3.897   0.752
       6   3.942   0.770
       7   4.069   0.823
       8   4.084   0.861
       9   4.227   0.900
      10   4.144   0.920
