          S1          S2          D1          D2      angS      angD      angN
  0.1133E+01  0.4301E+01  0.2422E-05  0.2325E+00     75.24     90.00     73.36
  0.1315E+01  0.4245E+01  0.2010E-01  0.2293E+00     72.79     84.99     72.50
  0.1485E+01  0.4190E+01  0.3962E-01  0.2246E+00     70.49     80.00     71.74
  0.1655E+01  0.4133E+01  0.5855E-01  0.2185E+00     68.18     75.00     71.03
  0.1837E+01  0.4069E+01  0.7684E-01  0.2111E+00     65.70     70.00     69.84
  0.2075E+01  0.3976E+01  0.9435E-01  0.2022E+00     62.44     64.99     67.48
  0.2434E+01  0.3814E+01  0.1107E+00  0.1916E+00     57.45     59.99     62.94
  0.3285E+01  0.3241E+01  0.1263E+00  0.1805E+00     44.61     55.01     46.43
  0.3604E+01  0.2887E+01  0.1420E+00  0.1691E+00     38.70     49.98     36.84
  0.3744E+01  0.2681E+01  0.1557E+00  0.1556E+00     35.60     44.99     32.44
  0.3842E+01  0.2519E+01  0.1680E+00  0.1409E+00     33.25     39.98     29.93
  0.3922E+01  0.2373E+01  0.1791E+00  0.1254E+00     31.18     34.98     27.71
  0.3991E+01  0.2235E+01  0.1894E+00  0.1093E+00     29.24     29.99     25.59
  0.4055E+01  0.2096E+01  0.1988E+00  0.9263E-01     27.34     24.99     23.70
  0.4115E+01  0.1952E+01  0.2072E+00  0.7539E-01     25.37     19.99     21.96
  0.4176E+01  0.1794E+01  0.2148E+00  0.5748E-01     23.24     14.98     20.28
  0.4240E+01  0.1613E+01  0.2210E+00  0.3894E-01     20.83      9.99     18.72
  0.4312E+01  0.1388E+01  0.2255E+00  0.1972E-01     17.84      5.00     17.03
  0.4413E+01  0.1031E+01  0.2266E+00  0.2233E-04     13.15      0.01     14.32
  0.4575E+01  0.2045E+00  0.2195E+00 -0.1918E-01      2.56     -5.00      8.12
  0.4649E+01 -0.6129E+00  0.2102E+00 -0.3705E-01     -7.51     -9.99     -0.88
  0.4606E+01 -0.1137E+01  0.2037E+00 -0.5455E-01    -13.87    -14.99    -22.65
  0.4460E+01 -0.1373E+01  0.2016E+00 -0.7337E-01    -17.11    -20.00    -33.52
  0.4341E+01 -0.1544E+01  0.1976E+00 -0.9207E-01    -19.57    -24.98    -38.75
  0.4221E+01 -0.1677E+01  0.1927E+00 -0.1112E+00    -21.67    -29.97    -44.45
  0.4096E+01 -0.1794E+01  0.1868E+00 -0.1309E+00    -23.66    -35.02    -47.76
  0.3964E+01 -0.1911E+01  0.1796E+00 -0.1508E+00    -25.74    -40.01    -48.88
  0.3810E+01 -0.2044E+01  0.1708E+00 -0.1708E+00    -28.21    -44.99    -49.34
  0.3604E+01 -0.2218E+01  0.1601E+00 -0.1907E+00    -31.61    -49.98    -51.44
  0.3274E+01 -0.2458E+01  0.1474E+00 -0.2105E+00    -36.89    -55.00    -55.02
  0.2191E+01 -0.3156E+01  0.1306E+00 -0.2262E+00    -55.24    -60.00    -58.88
  0.4769E+00 -0.4102E+01  0.1078E+00 -0.2312E+00    -83.37    -65.00    -64.58
  0.1675E-01 -0.4308E+01  0.8432E-01 -0.2318E+00    -89.78    -70.01    -62.40
 -0.2728E+00 -0.4468E+01  0.6109E-01 -0.2275E+00    -93.49    -74.97    -74.54
 -0.6745E+00 -0.4431E+01  0.4090E-01 -0.2319E+00    -98.66    -80.00   -101.49
 -0.9307E+00 -0.4360E+01  0.2040E-01 -0.2337E+00   -102.05    -85.01   -105.88
 -0.1133E+01 -0.4301E+01 -0.2422E-05 -0.2325E+00   -104.76    -90.00   -106.64
 -0.1315E+01 -0.4245E+01 -0.2010E-01 -0.2293E+00   -107.21    -95.01   -107.50
 -0.1485E+01 -0.4190E+01 -0.3962E-01 -0.2246E+00   -109.51   -100.00   -108.26
 -0.1655E+01 -0.4133E+01 -0.5855E-01 -0.2185E+00   -111.82   -105.00   -108.97
 -0.1837E+01 -0.4069E+01 -0.7684E-01 -0.2111E+00   -114.30   -110.00   -110.16
 -0.2075E+01 -0.3976E+01 -0.9435E-01 -0.2022E+00   -117.56   -115.01   -112.52
 -0.2434E+01 -0.3814E+01 -0.1107E+00 -0.1916E+00   -122.55   -120.01   -117.06
 -0.3285E+01 -0.3241E+01 -0.1263E+00 -0.1805E+00   -135.39   -124.99   -133.57
 -0.3604E+01 -0.2887E+01 -0.1420E+00 -0.1691E+00   -141.30   -130.02   -143.16
 -0.3744E+01 -0.2681E+01 -0.1557E+00 -0.1556E+00   -144.40   -135.01   -147.56
 -0.3842E+01 -0.2519E+01 -0.1680E+00 -0.1409E+00   -146.75   -140.02   -150.07
 -0.3922E+01 -0.2373E+01 -0.1791E+00 -0.1254E+00   -148.82   -145.02   -152.29
 -0.3991E+01 -0.2235E+01 -0.1894E+00 -0.1093E+00   -150.76   -150.01   -154.41
