          Evm          Svm          E11          E22          E33          E23          E13          E12             SCAU11       SCAU22       SCAU33       SCAU23       SCAU13       SCAU12      TEMP      TIME    TAYLAV      WORKAV
  0.00000E+00  0.64384E+02     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.00000E+00  0.00000E+00  0.00000E+00  0.37071E+02  0.26332E+01  0.76845E+00      298.      0.00     0.635  0.3445E+00
  0.11516E-01  0.68381E+02     0.22142E-02  0.59917E-03 -0.28134E-02  0.10000E-01  0.00000E+00  0.00000E+00     0.00000E+00  0.00000E+00  0.00000E+00  0.39354E+02  0.29553E+01  0.10675E+01      298.     20.00     0.578  0.7064E+00
  0.23026E-01  0.71989E+02     0.49887E-02  0.12851E-02 -0.62738E-02  0.20000E-01  0.00000E+00  0.00000E+00     0.00000E+00  0.00000E+00  0.00000E+00  0.41400E+02  0.34016E+01  0.13798E+01      298.     40.00     0.544  0.1078E+01
  0.34528E-01  0.75019E+02     0.81521E-02  0.21670E-02 -0.10319E-01  0.30000E-01  0.00000E+00  0.00000E+00     0.00000E+00  0.00000E+00  0.00000E+00  0.43126E+02  0.36936E+01  0.15526E+01      298.     60.00     0.520  0.1458E+01
  0.46025E-01  0.78424E+02     0.11624E-01  0.33525E-02 -0.14976E-01  0.40000E-01  0.00000E+00  0.00000E+00     0.00000E+00  0.00000E+00  0.00000E+00  0.45042E+02  0.41905E+01  0.19393E+01      298.     80.00     0.507  0.1846E+01
  0.57512E-01  0.81545E+02     0.15264E-01  0.49972E-02 -0.20261E-01  0.50000E-01  0.00000E+00  0.00000E+00     0.00000E+00  0.00000E+00  0.00000E+00  0.46787E+02  0.46985E+01  0.23437E+01      298.    100.00     0.496  0.2242E+01
  0.68987E-01  0.84394E+02     0.19154E-01  0.70407E-02 -0.26195E-01  0.60000E-01  0.00000E+00  0.00000E+00     0.00000E+00  0.00000E+00  0.00000E+00  0.48425E+02  0.48711E+01  0.23113E+01      298.    120.00     0.488  0.2649E+01
  0.80463E-01  0.87237E+02     0.23369E-01  0.94071E-02 -0.32776E-01  0.70000E-01  0.00000E+00  0.00000E+00     0.00000E+00  0.00000E+00  0.00000E+00  0.50060E+02  0.50435E+01  0.22972E+01      298.    140.00     0.479  0.3074E+01
  0.91940E-01  0.89981E+02     0.28119E-01  0.11967E-01 -0.40086E-01  0.80000E-01  0.00000E+00  0.00000E+00     0.00000E+00  0.00000E+00  0.00000E+00  0.51638E+02  0.51865E+01  0.23401E+01      298.    160.00     0.470  0.3520E+01
  0.10342E+00  0.93199E+02     0.33631E-01  0.14528E-01 -0.48159E-01  0.90000E-01  0.00000E+00  0.00000E+00     0.00000E+00  0.00000E+00  0.00000E+00  0.53495E+02  0.52992E+01  0.23593E+01      298.    180.00     0.461  0.3990E+01
  0.11490E+00  0.95951E+02     0.40024E-01  0.17022E-01 -0.57046E-01  0.10000E+00  0.00000E+00  0.00000E+00     0.00000E+00  0.00000E+00  0.00000E+00  0.55056E+02  0.55378E+01  0.26476E+01      298.    200.00     0.454  0.4484E+01
