     Evm         C11  C22  C33  C23  C13  C12   C44  C55  C66                                                                   A1  A2  A3
     0.00000     0.1476E+06  0.1458E+06  0.1428E+06  0.6991E+05  0.6934E+05  0.7163E+05  0.3437E+05  0.3406E+05  0.3735E+05     0.0000E+00  0.0000E+00  0.0000E+00
     0.01152     0.1476E+06  0.1457E+06  0.1427E+06  0.7003E+05  0.6935E+05  0.7160E+05  0.3449E+05  0.3408E+05  0.3730E+05     0.0000E+00  0.0000E+00  0.0000E+00
     0.02303     0.1475E+06  0.1455E+06  0.1426E+06  0.7020E+05  0.6937E+05  0.7156E+05  0.3468E+05  0.3411E+05  0.3724E+05     0.0000E+00  0.0000E+00  0.0000E+00
     0.03453     0.1472E+06  0.1453E+06  0.1425E+06  0.7041E+05  0.6944E+05  0.7155E+05  0.3492E+05  0.3416E+05  0.3720E+05     0.0000E+00  0.0000E+00  0.0000E+00
     0.04603     0.1467E+06  0.1451E+06  0.1424E+06  0.7072E+05  0.6955E+05  0.7159E+05  0.3530E+05  0.3424E+05  0.3719E+05     0.0000E+00  0.0000E+00  0.0000E+00
     0.05751     0.1462E+06  0.1448E+06  0.1422E+06  0.7104E+05  0.6966E+05  0.7160E+05  0.3569E+05  0.3432E+05  0.3714E+05     0.0000E+00  0.0000E+00  0.0000E+00
     0.06899     0.1457E+06  0.1445E+06  0.1421E+06  0.7135E+05  0.6977E+05  0.7163E+05  0.3607E+05  0.3441E+05  0.3712E+05     0.0000E+00  0.0000E+00  0.0000E+00
     0.08046     0.1454E+06  0.1443E+06  0.1420E+06  0.7165E+05  0.6986E+05  0.7162E+05  0.3642E+05  0.3450E+05  0.3706E+05     0.0000E+00  0.0000E+00  0.0000E+00
     0.09194     0.1452E+06  0.1440E+06  0.1418E+06  0.7191E+05  0.6993E+05  0.7159E+05  0.3671E+05  0.3458E+05  0.3699E+05     0.0000E+00  0.0000E+00  0.0000E+00
     0.10342     0.1450E+06  0.1437E+06  0.1416E+06  0.7220E+05  0.7003E+05  0.7155E+05  0.3705E+05  0.3468E+05  0.3691E+05     0.0000E+00  0.0000E+00  0.0000E+00
     0.11490     0.1448E+06  0.1434E+06  0.1415E+06  0.7247E+05  0.7011E+05  0.7154E+05  0.3736E+05  0.3477E+05  0.3684E+05     0.0000E+00  0.0000E+00  0.0000E+00
     0.12637     0.1446E+06  0.1431E+06  0.1414E+06  0.7273E+05  0.7019E+05  0.7150E+05  0.3766E+05  0.3486E+05  0.3675E+05     0.0000E+00  0.0000E+00  0.0000E+00
     0.13785     0.1444E+06  0.1428E+06  0.1413E+06  0.7298E+05  0.7027E+05  0.7145E+05  0.3796E+05  0.3495E+05  0.3666E+05     0.0000E+00  0.0000E+00  0.0000E+00
     0.14932     0.1441E+06  0.1425E+06  0.1412E+06  0.7323E+05  0.7037E+05  0.7140E+05  0.3826E+05  0.3505E+05  0.3656E+05     0.0000E+00  0.0000E+00  0.0000E+00
     0.16079     0.1439E+06  0.1423E+06  0.1411E+06  0.7348E+05  0.7046E+05  0.7134E+05  0.3856E+05  0.3515E+05  0.3645E+05     0.0000E+00  0.0000E+00  0.0000E+00
     0.17225     0.1436E+06  0.1422E+06  0.1410E+06  0.7372E+05  0.7056E+05  0.7128E+05  0.3887E+05  0.3524E+05  0.3633E+05     0.0000E+00  0.0000E+00  0.0000E+00
     0.18370     0.1434E+06  0.1420E+06  0.1410E+06  0.7394E+05  0.7063E+05  0.7122E+05  0.3916E+05  0.3531E+05  0.3622E+05     0.0000E+00  0.0000E+00  0.0000E+00
     0.19514     0.1432E+06  0.1418E+06  0.1410E+06  0.7415E+05  0.7069E+05  0.7116E+05  0.3944E+05  0.3537E+05  0.3611E+05     0.0000E+00  0.0000E+00  0.0000E+00
     0.20656     0.1430E+06  0.1416E+06  0.1410E+06  0.7434E+05  0.7073E+05  0.7112E+05  0.3969E+05  0.3541E+05  0.3600E+05     0.0000E+00  0.0000E+00  0.0000E+00
     0.21796     0.1428E+06  0.1415E+06  0.1411E+06  0.7453E+05  0.7075E+05  0.7106E+05  0.3996E+05  0.3544E+05  0.3589E+05     0.0000E+00  0.0000E+00  0.0000E+00
     0.22933     0.1426E+06  0.1413E+06  0.1412E+06  0.7471E+05  0.7076E+05  0.7101E+05  0.4020E+05  0.3544E+05  0.3579E+05     0.0000E+00  0.0000E+00  0.0000E+00
     0.24064     0.1424E+06  0.1412E+06  0.1413E+06  0.7487E+05  0.7075E+05  0.7097E+05  0.4044E+05  0.3543E+05  0.3569E+05     0.0000E+00  0.0000E+00  0.0000E+00
     0.25190     0.1423E+06  0.1411E+06  0.1413E+06  0.7505E+05  0.7071E+05  0.7090E+05  0.4069E+05  0.3540E+05  0.3559E+05     0.0000E+00  0.0000E+00  0.0000E+00
