        EPSvm          Svm        SDEV1    SDEV2    SDEV3    SDEV4    SDEV5    SDEV6        DDEV1    DDEV2    DDEV3    DDEV4    DDEV5    DDEV6
  0.00000E+00  0.64384E+02        0.123    0.140    0.354    0.315    0.105    0.005        0.229    0.248    0.704    0.590    0.187    0.000
  0.11516E-01  0.68381E+02        0.139    0.140    0.352    0.308    0.115    0.005        0.257    0.263    0.657    0.603    0.206    0.000
  0.23026E-01  0.71989E+02        0.148    0.147    0.341    0.303    0.122    0.005        0.282    0.288    0.648    0.604    0.224    0.000
  0.34528E-01  0.75019E+02        0.154    0.151    0.328    0.296    0.129    0.006        0.306    0.314    0.641    0.603    0.243    0.000
  0.46025E-01  0.78424E+02        0.158    0.156    0.313    0.287    0.134    0.006        0.329    0.348    0.641    0.603    0.263    0.000
  0.57512E-01  0.81545E+02        0.160    0.160    0.295    0.274    0.140    0.006        0.353    0.384    0.637    0.599    0.286    0.000
  0.68987E-01  0.84394E+02        0.162    0.162    0.274    0.261    0.145    0.006        0.378    0.417    0.624    0.595    0.312    0.000
  0.80463E-01  0.87237E+02        0.165    0.163    0.251    0.247    0.151    0.005        0.406    0.441    0.597    0.583    0.339    0.000
  0.91940E-01  0.89981E+02        0.168    0.161    0.228    0.231    0.156    0.005        0.436    0.454    0.559    0.567    0.368    0.000
  0.10342E+00  0.93199E+02        0.170    0.158    0.206    0.216    0.161    0.005        0.467    0.459    0.521    0.547    0.397    0.000
  0.11490E+00  0.95951E+02        0.169    0.157    0.183    0.197    0.163    0.005        0.498    0.470    0.485    0.528    0.428    0.000
  0.12637E+00  0.99457E+02        0.168    0.155    0.164    0.179    0.164    0.005        0.528    0.470    0.451    0.505    0.455    0.000
  0.13785E+00  0.10376E+03        0.168    0.151    0.148    0.162    0.166    0.005        0.558    0.460    0.424    0.478    0.482    0.000
  0.14932E+00  0.10854E+03        0.167    0.148    0.137    0.147    0.167    0.005        0.581    0.452    0.406    0.451    0.502    0.000
  0.16079E+00  0.11414E+03        0.166    0.144    0.128    0.132    0.168    0.005        0.601    0.444    0.399    0.429    0.519    0.000
  0.17225E+00  0.12023E+03        0.166    0.140    0.122    0.120    0.168    0.006        0.616    0.440    0.397    0.416    0.532    0.000
  0.18370E+00  0.12769E+03        0.165    0.137    0.118    0.109    0.168    0.006        0.628    0.441    0.400    0.414    0.544    0.000
  0.19514E+00  0.13601E+03        0.163    0.135    0.119    0.100    0.166    0.007        0.638    0.451    0.408    0.422    0.554    0.000
  0.20656E+00  0.14441E+03        0.161    0.134    0.126    0.092    0.162    0.008        0.646    0.469    0.420    0.440    0.562    0.000
  0.21796E+00  0.15408E+03        0.159    0.134    0.129    0.087    0.158    0.008        0.656    0.490    0.430    0.463    0.570    0.000
  0.22933E+00  0.16499E+03        0.156    0.133    0.135    0.084    0.153    0.009        0.663    0.510    0.442    0.495    0.578    0.000
  0.24064E+00  0.17604E+03        0.154    0.131    0.141    0.083    0.145    0.010        0.672    0.532    0.455    0.531    0.585    0.000
  0.25190E+00  0.18661E+03        0.149    0.127    0.139    0.082    0.136    0.010        0.682    0.549    0.464    0.575    0.595    0.000
  0.26308E+00  0.19750E+03        0.144    0.123    0.143    0.082    0.125    0.011        0.687    0.567    0.478    0.623    0.602    0.000
  0.27416E+00  0.20840E+03        0.137    0.117    0.138    0.083    0.114    0.011        0.686    0.580    0.483    0.675    0.609    0.000
  0.28516E+00  0.21891E+03        0.130    0.111    0.131    0.084    0.103    0.011        0.672    0.587    0.484    0.724    0.613    0.000
  0.29609E+00  0.22859E+03        0.121    0.105    0.123    0.085    0.093    0.011        0.644    0.586    0.481    0.762    0.611    0.000
  0.30699E+00  0.23679E+03        0.113    0.099    0.114    0.085    0.085    0.011        0.603    0.576    0.473    0.783    0.603    0.000
  0.31789E+00  0.24451E+03        0.107    0.094    0.103    0.084    0.080    0.011        0.560    0.568    0.458    0.782    0.588    0.000
  0.32883E+00  0.24940E+03        0.101    0.090    0.094    0.084    0.075    0.011        0.511    0.552    0.434    0.774    0.570    0.000
  0.33983E+00  0.25305E+03        0.096    0.087    0.086    0.084    0.072    0.011        0.462    0.531    0.404    0.754    0.545    0.000
  0.35089E+00  0.25599E+03        0.091    0.084    0.078    0.085    0.068    0.011        0.416    0.509    0.371    0.728    0.516    0.000
  0.36202E+00  0.25821E+03        0.088    0.083    0.071    0.086    0.065    0.011        0.375    0.487    0.338    0.699    0.485    0.000
  0.37322E+00  0.25987E+03        0.085    0.081    0.064    0.087    0.062    0.011        0.340    0.464    0.307    0.670    0.455    0.000
  0.38447E+00  0.26138E+03        0.082    0.079    0.058    0.088    0.059    0.010        0.309    0.442    0.279    0.638    0.426    0.000
  0.39578E+00  0.26269E+03        0.079    0.078    0.053    0.089    0.056    0.010        0.280    0.420    0.251    0.606    0.397    0.000
  0.40713E+00  0.26372E+03        0.077    0.077    0.049    0.090    0.054    0.010        0.254    0.400    0.226    0.573    0.368    0.000
  0.41853E+00  0.26449E+03        0.075    0.076    0.046    0.092    0.051    0.010        0.229    0.381    0.203    0.542    0.342    0.000
  0.42995E+00  0.26504E+03        0.073    0.075    0.043    0.093    0.048    0.010        0.208    0.364    0.182    0.515    0.319    0.000
  0.44141E+00  0.26547E+03        0.071    0.075    0.040    0.095    0.046    0.010        0.189    0.349    0.165    0.491    0.299    0.000
  0.45288E+00  0.26580E+03        0.069    0.075    0.038    0.096    0.044    0.010        0.174    0.336    0.149    0.470    0.282    0.000
