   STRAIN    AVACS    PRITW    SECTW    MODE1    MODE2    MODE3    MODE4    TWFR4    EFFR4
   0.0000   2.1369   0.0000   0.0000   0.0117   0.8825   0.0000   0.1058   0.0000   0.0000
   0.0100   2.1176   0.0054   0.0000   0.0102   0.8847   0.0000   0.1052   0.0231   0.0054
   0.0200   2.0431   0.0153   0.0000   0.0072   0.8960   0.0000   0.0968   0.0467   0.0153
   0.0300   2.0085   0.0287   0.0000   0.0050   0.9098   0.0000   0.0853   0.0688   0.0287
   0.0400   1.9488   0.0590   0.0000   0.0038   0.9298   0.0000   0.0664   0.0886   0.0590
   0.0500   1.8978   0.0864   0.0000   0.0028   0.9476   0.0000   0.0496   0.1044   0.0864
   0.0600   1.8732   0.1086   0.0000   0.0021   0.9628   0.0000   0.0351   0.1164   0.1086
   0.0700   1.8386   0.1236   0.0000   0.0016   0.9715   0.0000   0.0269   0.1252   0.1236
   0.0800   1.8215   0.1285   0.0000   0.0012   0.9756   0.0000   0.0232   0.1321   0.1285
   0.0900   1.8201   0.1385   0.0000   0.0010   0.9800   0.0000   0.0190   0.1384   0.1385
   0.1000   1.8108   0.1461   0.0000   0.0007   0.9838   0.0000   0.0155   0.1437   0.1461
   0.1100   1.8322   0.1505   0.0000   0.0006   0.9858   0.0000   0.0136   0.1482   0.1505
   0.1200   1.8356   0.1526   0.0000   0.0006   0.9855   0.0000   0.0139   0.1524   0.1526
   0.1300   1.8116   0.1583   0.0000   0.0006   0.9870   0.0000   0.0125   0.1569   0.1583
   0.1400   1.8039   0.1615   0.0000   0.0007   0.9875   0.0000   0.0118   0.1610   0.1615
   0.1500   1.8158   0.1670   0.0000   0.0007   0.9889   0.0000   0.0104   0.1651   0.1670
   0.1600   1.8107   0.1688   0.0000   0.0010   0.9886   0.0000   0.0104   0.1688   0.1688
   0.1700   1.7939   0.1728   0.0000   0.0015   0.9883   0.0001   0.0101   0.1726   0.1728
   0.1800   1.7477   0.1772   0.0000   0.0020   0.9894   0.0002   0.0084   0.1763   0.1772
   0.1900   1.7518   0.1809   0.0000   0.0031   0.9884   0.0003   0.0082   0.1795   0.1809
   0.2000   1.7448   0.1842   0.0000   0.0045   0.9881   0.0006   0.0068   0.1826   0.1842
   0.2100   1.7435   0.1885   0.0000   0.0057   0.9876   0.0012   0.0055   0.1853   0.1885
   0.2200   1.8122   0.1885   0.0000   0.0071   0.9860   0.0021   0.0048   0.1874   0.1885
   0.2300   1.8310   0.1921   0.0000   0.0084   0.9845   0.0042   0.0029   0.1894   0.1921
   0.2400   1.8942   0.1921   0.0000   0.0107   0.9789   0.0083   0.0020   0.1906   0.1921
   0.2500   1.9459   0.1921   0.0000   0.0142   0.9683   0.0164   0.0011   0.1915   0.1921
   0.2600   2.0484   0.1921   0.0000   0.0194   0.9502   0.0301   0.0003   0.1920   0.1921
   0.2700   2.2901   0.1921   0.0000   0.0254   0.9251   0.0494   0.0000   0.1921   0.1921
   0.2800   2.6391   0.1957   0.0000   0.0300   0.8898   0.0802   0.0000   0.1921   0.1957
   0.2900   2.8518   0.1957   0.0000   0.0330   0.8607   0.1063   0.0000   0.1921   0.1957
   0.3000   3.1197   0.1957   0.0000   0.0344   0.8356   0.1300   0.0000   0.1921   0.1957
   0.3100   3.3030   0.1957   0.0000   0.0346   0.8124   0.1530   0.0000   0.1921   0.1957
   0.3200   3.4657   0.1957   0.0000   0.0338   0.7942   0.1720   0.0000   0.1921   0.1957
   0.3300   3.5614   0.1957   0.0000   0.0327   0.7817   0.1856   0.0000   0.1921   0.1957
   0.3400   3.6456   0.1957   0.0000   0.0318   0.7672   0.2011   0.0000   0.1921   0.1957
   0.3500   3.7784   0.1957   0.0000   0.0309   0.7517   0.2174   0.0000   0.1921   0.1957
   0.3600   3.8527   0.1957   0.0000   0.0299   0.7381   0.2319   0.0000   0.1921   0.1957
   0.3700   3.8743   0.1957   0.0000   0.0288   0.7277   0.2435   0.0000   0.1921   0.1957
   0.3800   3.9078   0.1957   0.0000   0.0276   0.7203   0.2521   0.0000   0.1921   0.1957
   0.3900   3.9174   0.1957   0.0000   0.0264   0.7144   0.2592   0.0000   0.1921   0.1957
   0.4000   3.9489   0.1957   0.0000   0.0252   0.7101   0.2647   0.0000   0.1921   0.1957
