          S1          S2          D1          D2      angS      angD      angN
 -0.4437E+00  0.4526E+01  0.1438E-03  0.2210E+00     95.60     89.96     94.26
 -0.3692E+00  0.4529E+01  0.1934E-01  0.2224E+00     94.66     85.03     91.18
 -0.2850E+00  0.4528E+01  0.3929E-01  0.2233E+00     93.60     80.02     88.05
 -0.1816E+00  0.4522E+01  0.5984E-01  0.2236E+00     92.30     75.02     84.97
 -0.3184E-01  0.4503E+01  0.8101E-01  0.2226E+00     90.41     70.00     81.72
  0.2874E+00  0.4440E+01  0.1019E+00  0.2186E+00     86.30     65.00     76.72
  0.1872E+01  0.3700E+01  0.1208E+00  0.2092E+00     63.16     60.00     56.85
  0.2553E+01  0.3186E+01  0.1408E+00  0.2011E+00     51.29     55.00     50.57
  0.2760E+01  0.3011E+01  0.1575E+00  0.1877E+00     47.49     50.00     49.61
  0.2916E+01  0.2877E+01  0.1726E+00  0.1726E+00     44.61     45.00     48.98
  0.3057E+01  0.2753E+01  0.1863E+00  0.1564E+00     42.01     40.00     48.48
  0.3200E+01  0.2626E+01  0.1984E+00  0.1390E+00     39.38     35.02     48.12
  0.3356E+01  0.2484E+01  0.2087E+00  0.1205E+00     36.51     30.00     46.45
  0.3516E+01  0.2325E+01  0.2174E+00  0.1014E+00     33.48     25.02     42.77
  0.3667E+01  0.2148E+01  0.2247E+00  0.8190E-01     30.36     20.02     39.50
  0.3845E+01  0.1922E+01  0.2293E+00  0.6150E-01     26.55     15.01     34.45
  0.4057E+01  0.1534E+01  0.2311E+00  0.4080E-01     20.71     10.01     25.02
  0.4240E+01  0.1052E+01  0.2231E+00  0.2817E-01     13.93      7.20     16.02
  0.4107E+01 -0.1013E+01  0.2435E+00  0.2247E-04    -13.86      0.01     -9.35
  0.4031E+01 -0.1425E+01  0.2407E+00 -0.2092E-01    -19.47     -4.97    -12.11
  0.3976E+01 -0.1663E+01  0.2343E+00 -0.4116E-01    -22.70     -9.96    -14.07
  0.3928E+01 -0.1843E+01  0.2262E+00 -0.6046E-01    -25.13    -14.96    -15.44
  0.3882E+01 -0.2002E+01  0.2169E+00 -0.7883E-01    -27.28    -19.97    -17.43
  0.3832E+01 -0.2150E+01  0.2069E+00 -0.9629E-01    -29.30    -24.95    -20.32
  0.3772E+01 -0.2300E+01  0.1961E+00 -0.1131E+00    -31.38    -29.97    -23.58
  0.3695E+01 -0.2460E+01  0.1846E+00 -0.1292E+00    -33.66    -34.98    -27.59
  0.3588E+01 -0.2645E+01  0.1723E+00 -0.1444E+00    -36.40    -39.97    -33.84
  0.3405E+01 -0.2872E+01  0.1594E+00 -0.1592E+00    -40.14    -44.97    -42.78
  0.3118E+01 -0.3131E+01  0.1461E+00 -0.1739E+00    -45.12    -49.97    -50.22
  0.2599E+01 -0.3510E+01  0.1314E+00 -0.1876E+00    -53.48    -54.99    -55.85
  0.1125E+01 -0.4326E+01  0.1161E+00 -0.2010E+00    -75.42    -59.98    -67.10
  0.8923E+00 -0.4419E+01  0.9661E-01 -0.2068E+00    -78.59    -64.96    -70.17
  0.7698E+00 -0.4461E+01  0.7698E-01 -0.2109E+00    -80.21    -69.95    -73.03
  0.6747E+00 -0.4488E+01  0.5756E-01 -0.2142E+00    -81.45    -74.96    -76.03
  0.5930E+00 -0.4506E+01  0.3843E-01 -0.2169E+00    -82.50    -79.95    -79.16
  0.5175E+00 -0.4518E+01  0.1932E-01 -0.2191E+00    -83.47    -84.96    -82.48
  0.4437E+00 -0.4526E+01 -0.1438E-03 -0.2210E+00    -84.40    -90.04    -85.74
  0.3692E+00 -0.4529E+01 -0.1934E-01 -0.2224E+00    -85.34    -94.97    -88.82
  0.2850E+00 -0.4528E+01 -0.3929E-01 -0.2233E+00    -86.40    -99.98    -91.95
  0.1816E+00 -0.4522E+01 -0.5984E-01 -0.2236E+00    -87.70   -104.98    -95.03
  0.3184E-01 -0.4503E+01 -0.8101E-01 -0.2226E+00    -89.59   -110.00    -98.28
 -0.2874E+00 -0.4440E+01 -0.1019E+00 -0.2186E+00    -93.70   -115.00   -103.28
 -0.1872E+01 -0.3700E+01 -0.1208E+00 -0.2092E+00   -116.84   -120.00   -123.15
 -0.2553E+01 -0.3186E+01 -0.1408E+00 -0.2011E+00   -128.71   -125.00   -129.43
 -0.2760E+01 -0.3011E+01 -0.1575E+00 -0.1877E+00   -132.51   -130.00   -130.39
 -0.2916E+01 -0.2877E+01 -0.1726E+00 -0.1726E+00   -135.39   -135.00   -131.02
 -0.3057E+01 -0.2753E+01 -0.1863E+00 -0.1564E+00   -137.99   -140.00   -131.52
 -0.3200E+01 -0.2626E+01 -0.1984E+00 -0.1390E+00   -140.62   -144.98   -131.88
 -0.3356E+01 -0.2484E+01 -0.2087E+00 -0.1205E+00   -143.49   -150.00   -133.55
 -0.3516E+01 -0.2325E+01 -0.2174E+00 -0.1014E+00   -146.52   -154.98   -137.23
 -0.3667E+01 -0.2148E+01 -0.2247E+00 -0.8190E-01   -149.64   -159.98   -140.50
 -0.3845E+01 -0.1922E+01 -0.2293E+00 -0.6150E-01   -153.45   -164.99   -145.55
 -0.4057E+01 -0.1534E+01 -0.2311E+00 -0.4080E-01   -159.29   -169.99   -154.98
 -0.4240E+01 -0.1052E+01 -0.2231E+00 -0.2817E-01   -166.07   -172.80   -162.49
 -0.4107E+01  0.1013E+01 -0.2435E+00 -0.2247E-04    166.14    180.01    172.43
 -0.4031E+01  0.1425E+01 -0.2407E+00  0.2092E-01    160.53    175.03    167.89
 -0.3976E+01  0.1663E+01 -0.2343E+00  0.4116E-01    157.30    170.04    165.93
 -0.3928E+01  0.1843E+01 -0.2262E+00  0.6046E-01    154.87    165.04    164.56
 -0.3882E+01  0.2002E+01 -0.2169E+00  0.7883E-01    152.72    160.03    162.57
 -0.3832E+01  0.2150E+01 -0.2069E+00  0.9629E-01    150.70    155.05    159.68
 -0.3772E+01  0.2300E+01 -0.1961E+00  0.1131E+00    148.62    150.03    156.42
