 ANGLE     YOUNG     LANKF       D(1,1)    D(2,2)    D(3,3)    D(1,2)       S(1,1)    S(1,2)
   0.0     221.8      1.95       0.8165   -0.5396   -0.2769    0.0000        5.600    -0.056     2.753
  10.0     219.1      1.92       0.8165   -0.5370   -0.2795    0.0000        5.524    -0.183     2.717
  20.0     213.5      1.89       0.8165   -0.5335   -0.2830    0.0000        5.381    -0.216     2.649
  30.0     208.3      2.14       0.8165   -0.5564   -0.2601    0.0000        5.256    -0.188     2.572
  40.0     206.5      3.01       0.8165   -0.6127   -0.2038    0.0000        5.206     0.018     2.501
  50.0     209.6      3.54       0.8165   -0.6367   -0.1798    0.0000        5.228     0.372     2.488
  60.0     217.8      3.04       0.8165   -0.6144   -0.2021    0.0000        5.401     0.366     2.593
  70.0     228.8      2.02       0.8165   -0.5458   -0.2707    0.0000        5.590     0.246     2.744
  80.0     238.6      1.40       0.8165   -0.4764   -0.3401    0.0000        5.749     0.159     2.861
  90.0     242.5      1.22       0.8165   -0.4494   -0.3671    0.0000        5.807     0.033     2.898
