 STRAIN  AVACS  MODE1
   0.0000   3.4522   1.0000
   0.0200   3.4614   1.0000
   0.0400   3.4769   1.0000
   0.0600   3.4984   1.0000
   0.0800   3.5141   1.0000
   0.1000   3.5267   1.0000
   0.1200   3.5384   1.0000
   0.1400   3.5423   1.0000
   0.1600   3.5646   1.0000
   0.1800   3.5820   1.0000
   0.2000   3.5847   1.0000
   0.2200   3.5803   1.0000
   0.2400   3.5775   1.0000
   0.2600   3.5887   1.0000
   0.2800   3.5859   1.0000
   0.3000   3.5856   1.0000
   0.3200   3.5828   1.0000
   0.3400   3.5852   1.0000
   0.3600   3.5870   1.0000
   0.3800   3.5969   1.0000
   0.4000   3.5900   1.0000
   0.4200   3.5898   1.0000
   0.4400   3.5745   1.0000
   0.4600   3.5697   1.0000
   0.4800   3.5667   1.0000
   0.5000   3.5587   1.0000
   0.5200   3.5544   1.0000
   0.5400   3.5454   1.0000
   0.5600   3.5386   1.0000
   0.5800   3.5322   1.0000
   0.6000   3.5267   1.0000
   0.6200   3.5335   1.0000
   0.6400   3.5264   1.0000
   0.6600   3.5393   1.0000
   0.6800   3.5342   1.0000
   0.7000   3.5519   1.0000
   0.7200   3.5505   1.0000
   0.7400   3.5665   1.0000
   0.7600   3.5778   1.0000
   0.7800   3.5784   1.0000
   0.8000   3.5793   1.0000
   0.8200   3.5822   1.0000
   0.8400   3.5773   1.0000
   0.8600   3.5720   1.0000
   0.8800   3.5770   1.0000
   0.9000   3.5822   1.0000
   0.9200   3.5826   1.0000
   0.9400   3.5770   1.0000
   0.9600   3.5640   1.0000
   0.9800   3.5717   1.0000
   1.0000   3.5717   1.0000
    STEP   AVACS   MODE1
       1   4.697   1.000
       2   4.669   1.000
       3   4.667   1.000
       4   4.625   1.000
       5   4.518   1.000
       6   3.910   1.000
       7   3.572   1.000
       8   4.274   1.000
       9   4.378   1.000
      10   4.432   1.000
      11   4.478   1.000
      12   4.457   1.000
      13   4.405   1.000
      14   4.378   1.000
      15   4.235   1.000
      16   3.525   1.000
      17   3.439   1.000
      18   4.641   1.000
      19   3.622   1.000
      20   3.753   1.000
      21   3.838   1.000
      22   3.873   1.000
      23   3.868   1.000
      24   3.830   1.000
      25   3.847   1.000
      26   3.800   1.000
      27   3.694   1.000
      28   3.611   1.000
      29   3.478   1.000
      30   3.222   1.000
      31   3.382   1.000
      32   4.287   1.000
      33   4.518   1.000
      34   4.645   1.000
      35   4.676   1.000
      36   4.691   1.000
    STEP   AVACS   MODE1
       1   4.159   1.000
       2   3.980   1.000
       3   3.797   1.000
       4   3.728   1.000
       5   3.541   1.000
       6   3.798   1.000
       7   3.917   1.000
       8   3.885   1.000
       9   3.826   1.000
      10   3.834   1.000
