    EPS    OTH     CU     BR      S    GOS    CUB AVMISO
 0.0000   80.6    2.6    4.4    8.4    1.0    3.0   22.0
 0.0200   83.2    2.2    4.0    7.4    0.6    2.6   22.5
 0.0400   84.4    2.2    3.8    6.6    0.4    2.6   22.9
 0.0600   86.0    2.0    3.0    6.2    0.4    2.4   23.4
 0.0800   87.8    1.8    2.8    5.0    0.4    2.2   23.8
 0.1000   89.2    1.6    2.6    4.0    0.4    2.2   24.2
 0.1200   90.6    1.4    2.6    3.0    0.2    2.2   24.6
 0.1400   91.4    1.2    2.4    2.6    0.2    2.2   24.9
 0.1600   92.8    1.2    1.8    1.8    0.2    2.2   25.2
 0.1800   93.2    1.0    1.6    1.8    0.2    2.2   25.5
 0.2000   93.4    1.0    1.6    1.6    0.2    2.2   25.7
 0.2200   94.6    0.8    1.0    1.2    0.2    2.2   26.0
 0.2400   95.0    0.4    1.0    1.0    0.2    2.4   26.2
 0.2600   95.2    0.4    0.8    1.0    0.2    2.4   26.3
 0.2800   95.2    0.2    0.8    1.0    0.2    2.6   26.5
 0.3000   95.2    0.2    0.8    1.0    0.0    2.8   26.7
 0.3200   95.2    0.2    0.8    0.8    0.0    3.0   26.8
 0.3400   95.2    0.2    0.8    0.8    0.0    3.0   26.9
 0.3600   95.6    0.2    0.6    0.6    0.0    3.0   26.9
 0.3800   95.8    0.0    0.6    0.6    0.0    3.0   27.0
 0.4000   96.0    0.0    0.6    0.4    0.0    3.0   27.1
 0.4200   96.0    0.0    0.6    0.4    0.0    3.0   27.1
 0.4400   96.2    0.0    0.4    0.4    0.0    3.0   27.2
 0.4600   96.2    0.0    0.4    0.4    0.0    3.0   27.2
 0.4800   96.8    0.0    0.4    0.2    0.0    2.6   27.2
 0.5000   97.2    0.0    0.2    0.2    0.0    2.4   27.2
 0.5200   97.2    0.0    0.2    0.2    0.0    2.4   27.2
 0.5400   97.2    0.0    0.2    0.2    0.0    2.4   27.2
 0.5600   97.4    0.0    0.2    0.0    0.0    2.4   27.2
 0.5800   97.4    0.0    0.2    0.0    0.0    2.4   27.1
 0.6000   97.4    0.0    0.2    0.0    0.0    2.4   27.1
 0.6200   97.6    0.0    0.2    0.0    0.0    2.2   27.0
 0.6400   97.8    0.0    0.0    0.0    0.0    2.2   27.0
 0.6600   97.6    0.0    0.0    0.0    0.0    2.4   27.0
 0.6800   97.6    0.0    0.0    0.0    0.0    2.4   26.9
 0.7000   97.8    0.0    0.0    0.0    0.0    2.2   26.8
 0.7200   97.8    0.0    0.0    0.0    0.0    2.2   26.8
 0.7400   97.8    0.0    0.0    0.0    0.0    2.2   26.7
 0.7600   98.0    0.0    0.0    0.0    0.0    2.0   26.7
 0.7800   98.0    0.0    0.0    0.0    0.0    2.0   26.6
 0.8000   98.0    0.0    0.0    0.0    0.0    2.0   26.6
 0.8200   98.0    0.0    0.0    0.0    0.0    2.0   26.5
 0.8400   97.8    0.0    0.0    0.0    0.0    2.2   26.4
 0.8600   97.8    0.0    0.0    0.0    0.0    2.2   26.4
 0.8800   97.8    0.0    0.0    0.0    0.0    2.2   26.3
 0.9000   97.8    0.0    0.0    0.0    0.0    2.2   26.3
 0.9200   97.6    0.0    0.0    0.0    0.0    2.4   26.2
 0.9400   97.8    0.0    0.0    0.0    0.0    2.2   26.2
 0.9600   97.8    0.0    0.0    0.0    0.0    2.2   26.1
 0.9800   97.8    0.0    0.0    0.0    0.0    2.2   26.0
 1.0000   97.8    0.0    0.0    0.0    0.0    2.2   26.0
