        EPSvm          Svm        SDEV1    SDEV2    SDEV3    SDEV4    SDEV5    SDEV6        DDEV1    DDEV2    DDEV3    DDEV4    DDEV5    DDEV6
  0.00000E+00  0.26038E+01        0.198    0.083    0.185    0.180    0.174    0.000        0.179    0.045    0.127    0.124    0.195    0.000
  0.28863E-01  0.27827E+01        0.196    0.083    0.181    0.180    0.172    0.005        0.183    0.046    0.129    0.125    0.186    0.000
  0.57725E-01  0.29614E+01        0.193    0.083    0.178    0.180    0.170    0.010        0.185    0.046    0.129    0.127    0.190    0.000
  0.86588E-01  0.31401E+01        0.192    0.084    0.175    0.181    0.169    0.015        0.187    0.047    0.128    0.128    0.192    0.000
  0.11545E+00  0.33184E+01        0.190    0.086    0.171    0.183    0.168    0.020        0.188    0.047    0.125    0.129    0.194    0.000
  0.14432E+00  0.34945E+01        0.188    0.087    0.167    0.185    0.168    0.024        0.189    0.048    0.122    0.131    0.198    0.000
  0.17318E+00  0.36710E+01        0.188    0.088    0.163    0.189    0.167    0.029        0.189    0.047    0.118    0.131    0.199    0.000
  0.20204E+00  0.38471E+01        0.188    0.089    0.162    0.193    0.166    0.034        0.187    0.046    0.114    0.131    0.197    0.000
  0.23090E+00  0.40228E+01        0.189    0.090    0.161    0.198    0.165    0.038        0.186    0.045    0.110    0.130    0.195    0.000
  0.25977E+00  0.41967E+01        0.190    0.091    0.160    0.202    0.164    0.042        0.187    0.044    0.108    0.131    0.193    0.000
  0.28863E+00  0.43717E+01        0.192    0.092    0.159    0.206    0.163    0.046        0.187    0.044    0.105    0.130    0.190    0.000
  0.31749E+00  0.45458E+01        0.195    0.093    0.158    0.211    0.162    0.050        0.188    0.043    0.101    0.130    0.188    0.000
  0.34635E+00  0.47185E+01        0.196    0.094    0.157    0.216    0.162    0.054        0.188    0.042    0.097    0.130    0.186    0.000
  0.37521E+00  0.48913E+01        0.197    0.096    0.155    0.222    0.163    0.058        0.187    0.041    0.093    0.130    0.183    0.000
  0.40407E+00  0.50641E+01        0.198    0.097    0.154    0.227    0.163    0.061        0.187    0.040    0.090    0.130    0.180    0.000
  0.43293E+00  0.52356E+01        0.199    0.099    0.153    0.233    0.163    0.065        0.187    0.039    0.087    0.130    0.177    0.000
  0.46178E+00  0.54063E+01        0.199    0.100    0.153    0.238    0.164    0.068        0.185    0.038    0.084    0.129    0.174    0.000
  0.49064E+00  0.55759E+01        0.199    0.101    0.154    0.243    0.165    0.071        0.184    0.037    0.083    0.128    0.170    0.000
  0.51949E+00  0.57441E+01        0.198    0.102    0.155    0.248    0.166    0.074        0.182    0.036    0.081    0.127    0.167    0.000
  0.54835E+00  0.59115E+01        0.197    0.103    0.155    0.252    0.168    0.077        0.182    0.035    0.079    0.126    0.163    0.000
  0.57720E+00  0.60782E+01        0.197    0.103    0.155    0.256    0.170    0.080        0.181    0.034    0.077    0.125    0.159    0.000
  0.60606E+00  0.62445E+01        0.196    0.104    0.155    0.261    0.171    0.083        0.181    0.033    0.075    0.124    0.155    0.000
  0.63491E+00  0.64101E+01        0.196    0.104    0.156    0.265    0.173    0.085        0.180    0.032    0.074    0.123    0.150    0.000
