          S1          S5          D1          D5      angS      angD      angN
 -0.1476E+01  0.6975E+01  0.8190E-05  0.1434E+00    101.95     90.00     95.14
 -0.9033E+00  0.7005E+01  0.1263E-01  0.1444E+00     97.35     85.00     90.99
  0.2562E+00  0.6943E+01  0.2523E-01  0.1431E+00     87.89     80.00     83.66
  0.2733E+01  0.6349E+01  0.3783E-01  0.1412E+00     66.71     75.00     70.84
  0.3576E+01  0.6022E+01  0.4968E-01  0.1366E+00     59.29     70.01     65.66
  0.4014E+01  0.5808E+01  0.6069E-01  0.1302E+00     55.35     65.01     61.74
  0.4326E+01  0.5629E+01  0.7101E-01  0.1231E+00     52.46     60.02     58.36
  0.4587E+01  0.5458E+01  0.8071E-01  0.1154E+00     49.96     55.03     55.00
  0.4826E+01  0.5280E+01  0.8987E-01  0.1073E+00     47.57     50.04     51.40
  0.5058E+01  0.5082E+01  0.9855E-01  0.9870E-01     45.14     45.04     47.93
  0.5303E+01  0.4846E+01  0.1067E+00  0.8963E-01     42.43     40.04     44.22
  0.5579E+01  0.4539E+01  0.1141E+00  0.8006E-01     39.13     35.05     39.74
  0.5900E+01  0.4113E+01  0.1208E+00  0.6985E-01     34.88     30.03     34.62
  0.6291E+01  0.3467E+01  0.1264E+00  0.5901E-01     28.86     25.02     28.25
  0.6770E+01  0.2366E+01  0.1310E+00  0.4771E-01     19.27     20.01     20.36
  0.7254E+01  0.6327E+00  0.1347E+00  0.3609E-01      4.98     15.00      9.43
  0.7356E+01 -0.3079E+00  0.1369E+00  0.2422E-01     -2.40     10.03      2.21
  0.7359E+01 -0.7545E+00  0.1371E+00  0.1205E-01     -5.85      5.02     -1.82
  0.7342E+01 -0.1052E+01  0.1362E+00  0.8671E-04     -8.15      0.04     -5.04
  0.7314E+01 -0.1296E+01  0.1346E+00 -0.1168E-01    -10.05     -4.96     -8.19
  0.7276E+01 -0.1518E+01  0.1326E+00 -0.2328E-01    -11.78     -9.96    -11.37
  0.7226E+01 -0.1735E+01  0.1300E+00 -0.3475E-01    -13.50    -14.96    -14.51
  0.7160E+01 -0.1963E+01  0.1270E+00 -0.4618E-01    -15.33    -19.98    -17.38
  0.7072E+01 -0.2222E+01  0.1233E+00 -0.5748E-01    -17.44    -24.99    -20.18
  0.6936E+01 -0.2558E+01  0.1189E+00 -0.6860E-01    -20.24    -29.99    -23.67
  0.6674E+01 -0.3084E+01  0.1132E+00 -0.7926E-01    -24.80    -35.00    -28.96
  0.5966E+01 -0.4121E+01  0.1061E+00 -0.8904E-01    -34.63    -40.00    -38.03
  0.4689E+01 -0.5468E+01  0.9846E-01 -0.9846E-01    -49.39    -45.00    -49.07
  0.4000E+01 -0.6012E+01  0.8958E-01 -0.1067E+00    -56.36    -50.00    -54.38
  0.3592E+01 -0.6288E+01  0.7956E-01 -0.1136E+00    -60.26    -54.99    -58.15
