 EPS   PHASE      AVAX1   AVAX2   AVAX3      SDAX1   SDAX2   SDAX3
  0.00     1      1.000   1.000   1.000      0.000   0.000   0.000
  0.03     1      1.000   1.026   0.974      0.001   0.005   0.005
  0.05     1      1.000   1.053   0.950      0.002   0.009   0.010
  0.08     1      1.000   1.080   0.925      0.004   0.014   0.014
  0.10     1      1.000   1.109   0.902      0.005   0.018   0.019
  0.12     1      1.000   1.138   0.879      0.006   0.023   0.024
  0.15     1      1.000   1.167   0.857      0.007   0.027   0.029
  0.17     1      0.999   1.198   0.836      0.008   0.031   0.034
  0.20     1      0.999   1.228   0.816      0.009   0.036   0.039
  0.22     1      0.999   1.260   0.796      0.010   0.040   0.043
  0.25     1      0.998   1.292   0.776      0.011   0.044   0.048
  0.27     1      0.998   1.325   0.758      0.012   0.048   0.053
  0.30     1      0.998   1.358   0.740      0.013   0.052   0.057
  0.33     1      0.997   1.392   0.722      0.014   0.056   0.061
  0.35     1      0.997   1.426   0.706      0.014   0.060   0.066
  0.38     1      0.997   1.461   0.689      0.015   0.063   0.070
  0.40     1      0.997   1.496   0.673      0.016   0.067   0.074
  0.43     1      0.996   1.532   0.658      0.017   0.070   0.077
  0.45     1      0.996   1.568   0.643      0.017   0.073   0.081
  0.48     1      0.996   1.605   0.629      0.018   0.076   0.085
  0.50     1      0.995   1.642   0.615      0.018   0.079   0.088
  0.53     1      0.995   1.680   0.602      0.019   0.082   0.091
  0.55     1      0.995   1.718   0.589      0.020   0.085   0.094
  0.58     1      0.995   1.757   0.576      0.020   0.087   0.097
  0.60     1      0.994   1.796   0.564      0.021   0.090   0.100
  0.63     1      0.994   1.835   0.553      0.021   0.092   0.103
  0.65     1      0.994   1.875   0.541      0.022   0.094   0.105
  0.68     1      0.994   1.915   0.530      0.022   0.096   0.108
  0.70     1      0.994   1.956   0.519      0.023   0.098   0.110
  0.73     1      0.994   1.997   0.509      0.023   0.099   0.112
  0.75     1      0.993   2.038   0.499      0.023   0.101   0.114
  0.78     1      0.993   2.079   0.489      0.024   0.102   0.116
  0.80     1      0.993   2.121   0.480      0.024   0.104   0.117
  0.83     1      0.993   2.164   0.471      0.024   0.105   0.119
  0.85     1      0.993   2.206   0.462      0.025   0.106   0.121
  0.88     1      0.993   2.249   0.453      0.025   0.107   0.122
  0.90     1      0.993   2.293   0.445      0.025   0.108   0.123
  0.93     1      0.992   2.336   0.437      0.026   0.109   0.125
  0.95     1      0.992   2.380   0.429      0.026   0.110   0.126
  0.98     1      0.992   2.425   0.421      0.026   0.111   0.127
  1.00     1      0.992   2.470   0.413      0.027   0.112   0.128
 EPS   PHASE      AVAX1   AVAX2   AVAX3      SDAX1   SDAX2   SDAX3
  1.00     1      0.992   2.470   0.413      0.027   0.112   0.128
  1.03     1      0.992   2.515   0.406      0.027   0.113   0.129
  1.05     1      0.992   2.560   0.399      0.027   0.114   0.130
  1.08     1      0.992   2.606   0.392      0.027   0.114   0.131
  1.10     1      0.992   2.652   0.386      0.028   0.115   0.132
  1.12     1      0.991   2.698   0.379      0.028   0.116   0.133
  1.15     1      0.991   2.744   0.373      0.028   0.117   0.134
  1.17     1      0.991   2.791   0.367      0.028   0.118   0.135
  1.20     1      0.991   2.838   0.361      0.028   0.118   0.136
  1.22     1      0.991   2.885   0.355      0.029   0.119   0.136
  1.25     1      0.991   2.933   0.349      0.029   0.120   0.137
  1.27     1      0.991   2.981   0.344      0.029   0.120   0.138
  1.30     1      0.991   3.028   0.338      0.029   0.121   0.139
  1.32     1      0.991   3.077   0.333      0.029   0.122   0.139
  1.35     1      0.991   3.125   0.328      0.029   0.122   0.140
  1.37     1      0.991   3.174   0.323      0.030   0.123   0.141
  1.40     1      0.991   3.223   0.318      0.030   0.123   0.141
  1.42     1      0.991   3.272   0.313      0.030   0.124   0.142
  1.45     1      0.990   3.322   0.309      0.030   0.124   0.142
  1.47     1      0.990   3.371   0.304      0.030   0.125   0.143
  1.50     1      0.990   3.421   0.300      0.030   0.125   0.143
  1.52     1      0.990   3.472   0.296      0.030   0.126   0.144
  1.55     1      0.990   3.522   0.291      0.030   0.126   0.144
  1.57     1      0.990   3.573   0.287      0.031   0.127   0.145
  1.60     1      0.990   3.624   0.283      0.031   0.127   0.145
  1.62     1      0.990   3.676   0.279      0.031   0.127   0.145
  1.65     1      0.990   3.728   0.276      0.031   0.128   0.146
  1.67     1      0.990   3.780   0.272      0.031   0.128   0.146
  1.70     1      0.990   3.832   0.268      0.031   0.128   0.146
  1.72     1      0.990   3.885   0.264      0.031   0.129   0.147
  1.75     1      0.990   3.938   0.261      0.031   0.129   0.147
  1.77     1      0.990   3.991   0.258      0.031   0.130   0.148
  1.80     1      0.990   4.044   0.254      0.031   0.130   0.148
  1.82     1      0.990   4.098   0.251      0.031   0.130   0.148
  1.85     1      0.990   4.152   0.248      0.032   0.131   0.149
  1.87     1      0.990   4.206   0.244      0.032   0.131   0.149
  1.90     1      0.990   4.261   0.241      0.032   0.131   0.149
  1.92     1      0.990   4.315   0.238      0.032   0.132   0.150
  1.95     1      0.990   4.370   0.235      0.032   0.132   0.150
  1.97     1      0.990   4.426   0.232      0.032   0.132   0.150
  2.00     1      0.990   4.481   0.230      0.032   0.133   0.151
