          Evm          Svm          E11          E22          E33          E23          E13          E12             SCAU11       SCAU22       SCAU33       SCAU23       SCAU13       SCAU12      TEMP      TIME    TAYLAV      WORKAV
  0.00000E+00  0.26038E+01     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.00000E+00  0.00000E+00  0.00000E+00 -0.21403E-01  0.17512E-01  0.15030E+01      298.      0.00     2.125  0.6629E-01
  0.28863E-01  0.27827E+01    -0.47991E-03  0.36238E-03  0.11753E-03  0.00000E+00  0.00000E+00  0.25000E-01     0.00000E+00  0.00000E+00  0.00000E+00 -0.20855E-01  0.20562E-01  0.16064E+01      298.      0.05     2.126  0.1372E+00
  0.57725E-01  0.29614E+01    -0.99170E-03  0.79683E-03  0.19487E-03  0.00000E+00  0.00000E+00  0.50000E-01     0.00000E+00  0.00000E+00  0.00000E+00 -0.19833E-01  0.23412E-01  0.17095E+01      298.      0.10     2.126  0.2125E+00
  0.86588E-01  0.31401E+01    -0.16574E-02  0.14377E-02  0.21962E-03  0.00000E+00  0.00000E+00  0.75000E-01     0.00000E+00  0.00000E+00  0.00000E+00 -0.17903E-01  0.25582E-01  0.18127E+01      298.      0.15     2.127  0.2926E+00
  0.11545E+00  0.33184E+01    -0.25275E-02  0.23385E-02  0.18902E-03  0.00000E+00  0.00000E+00  0.10000E+00     0.00000E+00  0.00000E+00  0.00000E+00 -0.15135E-01  0.27665E-01  0.19156E+01      298.      0.20     2.126  0.3772E+00
  0.14432E+00  0.34945E+01    -0.36244E-02  0.35216E-02  0.10278E-03  0.00000E+00  0.00000E+00  0.12500E+00     0.00000E+00  0.00000E+00  0.00000E+00 -0.12267E-01  0.30565E-01  0.20173E+01      298.      0.25     2.123  0.4663E+00
  0.17318E+00  0.36710E+01    -0.49966E-02  0.50160E-02 -0.19438E-04  0.00000E+00  0.00000E+00  0.15000E+00     0.00000E+00  0.00000E+00  0.00000E+00 -0.98466E-02  0.35136E-01  0.21191E+01      298.      0.30     2.121  0.5600E+00
  0.20204E+00  0.38471E+01    -0.66948E-02  0.68543E-02 -0.15954E-03  0.00000E+00  0.00000E+00  0.17500E+00     0.00000E+00  0.00000E+00  0.00000E+00 -0.78889E-02  0.40658E-01  0.22207E+01      298.      0.35     2.118  0.6583E+00
  0.23090E+00  0.40228E+01    -0.87036E-02  0.90139E-02 -0.31028E-03  0.00000E+00  0.00000E+00  0.20000E+00     0.00000E+00  0.00000E+00  0.00000E+00 -0.54015E-02  0.45654E-01  0.23221E+01      298.      0.40     2.114  0.7611E+00
  0.25977E+00  0.41967E+01    -0.10985E-01  0.11459E-01 -0.47482E-03  0.00000E+00  0.00000E+00  0.22500E+00     0.00000E+00  0.00000E+00  0.00000E+00 -0.73302E-03  0.50203E-01  0.24225E+01      298.      0.45     2.110  0.8684E+00
  0.28863E+00  0.43717E+01    -0.13504E-01  0.14154E-01 -0.65022E-03  0.00000E+00  0.00000E+00  0.25000E+00     0.00000E+00  0.00000E+00  0.00000E+00  0.46839E-02  0.54419E-01  0.25234E+01      298.      0.50     2.107  0.9802E+00
  0.31749E+00  0.45458E+01    -0.16250E-01  0.17089E-01 -0.83951E-03  0.00000E+00  0.00000E+00  0.27500E+00     0.00000E+00  0.00000E+00  0.00000E+00  0.91309E-02  0.58925E-01  0.26238E+01      298.      0.55     2.103  0.1096E+01
  0.34635E+00  0.47185E+01    -0.19197E-01  0.20240E-01 -0.10429E-02  0.00000E+00  0.00000E+00  0.30000E+00     0.00000E+00  0.00000E+00  0.00000E+00  0.11554E-01  0.62971E-01  0.27235E+01      298.      0.60     2.099  0.1217E+01
