   STRAIN    AVACS    PRITW    SECTW    MODE1    MODE2    MODE3    MODE4    TWFR4    EFFR4
   0.2150   3.0609   0.0000   0.0000   0.4751   0.4899   0.0017   0.0333   0.0988   0.0000
   0.2200   3.0600   0.0000   0.0000   0.4836   0.4826   0.0006   0.0332   0.1021   0.0000
   0.2250   3.0457   0.0000   0.0000   0.4887   0.4775   0.0017   0.0321   0.1054   0.0000
   0.2300   3.0416   0.0000   0.0000   0.4939   0.4725   0.0017   0.0319   0.1085   0.0000
   0.2350   3.0522   0.0000   0.0000   0.4983   0.4690   0.0012   0.0315   0.1117   0.0000
   0.2400   3.0572   0.0000   0.0000   0.5045   0.4636   0.0007   0.0313   0.1148   0.0000
   0.2450   3.0664   0.0000   0.0000   0.5111   0.4572   0.0009   0.0309   0.1178   0.0000
   0.2500   3.0723   0.0000   0.0000   0.5154   0.4532   0.0011   0.0303   0.1208   0.0000
   0.2550   3.0851   0.0000   0.0000   0.5206   0.4488   0.0009   0.0297   0.1238   0.0000
   0.2600   3.0818   0.0000   0.0000   0.5230   0.4469   0.0011   0.0291   0.1267   0.0000
   0.2650   3.0975   0.0000   0.0000   0.5291   0.4418   0.0006   0.0285   0.1296   0.0000
   0.2700   3.0982   0.0000   0.0000   0.5351   0.4363   0.0006   0.0281   0.1323   0.0000
   0.2750   3.1052   0.0000   0.0000   0.5388   0.4327   0.0011   0.0274   0.1351   0.0000
   0.2800   3.1106   0.0000   0.0000   0.5435   0.4288   0.0008   0.0269   0.1378   0.0000
   0.2850   3.1130   0.0000   0.0000   0.5486   0.4242   0.0008   0.0264   0.1404   0.0000
   0.2900   3.1106   0.0000   0.0000   0.5514   0.4223   0.0005   0.0258   0.1430   0.0000
   0.2950   3.1032   0.0000   0.0000   0.5567   0.4173   0.0008   0.0252   0.1455   0.0000
   0.3000   3.1037   0.0000   0.0000   0.5588   0.4158   0.0008   0.0246   0.1480   0.0000
