   STRAIN    AVACS    PRITW    SECTW    MODE1    MODE2    MODE3    MODE4    TWFR4    EFFR4
   0.0000   2.3299   0.0000   0.0000   0.2140   0.7752   0.0013   0.0094   0.0000   0.0000
   0.0050   2.5244   0.0000   0.0000   0.2763   0.7071   0.0017   0.0149   0.0010   0.0000
   0.0100   2.5764   0.0000   0.0000   0.3047   0.6761   0.0018   0.0174   0.0025   0.0000
   0.0150   2.6365   0.0000   0.0000   0.3263   0.6527   0.0018   0.0191   0.0042   0.0000
   0.0200   2.6941   0.0000   0.0000   0.3444   0.6333   0.0018   0.0205   0.0061   0.0000
   0.0250   2.7427   0.0000   0.0000   0.3601   0.6166   0.0018   0.0215   0.0081   0.0000
   0.0300   2.7874   0.0000   0.0000   0.3741   0.6018   0.0018   0.0223   0.0103   0.0000
   0.0350   2.8290   0.0000   0.0000   0.3867   0.5885   0.0018   0.0230   0.0125   0.0000
   0.0400   2.8569   0.0000   0.0000   0.3982   0.5765   0.0018   0.0235   0.0148   0.0000
   0.0450   2.8907   0.0000   0.0000   0.4089   0.5655   0.0017   0.0239   0.0171   0.0000
   0.0500   2.9215   0.0000   0.0000   0.4190   0.5552   0.0017   0.0242   0.0195   0.0000
   0.0550   2.9359   0.0000   0.0000   0.4283   0.5457   0.0017   0.0244   0.0219   0.0000
   0.0600   2.9476   0.0000   0.0000   0.4370   0.5369   0.0016   0.0245   0.0243   0.0000
   0.0650   2.9663   0.0000   0.0000   0.4454   0.5284   0.0016   0.0245   0.0267   0.0000
   0.0700   2.9720   0.0000   0.0000   0.4532   0.5208   0.0015   0.0245   0.0291   0.0000
   0.0750   2.9827   0.0000   0.0000   0.4607   0.5133   0.0015   0.0245   0.0315   0.0000
   0.0800   2.9961   0.0000   0.0000   0.4681   0.5060   0.0015   0.0244   0.0339   0.0000
   0.0850   3.0057   0.0000   0.0000   0.4746   0.4997   0.0014   0.0243   0.0363   0.0000
   0.0900   3.0131   0.0000   0.0000   0.4813   0.4932   0.0014   0.0241   0.0387   0.0000
   0.0950   3.0119   0.0000   0.0000   0.4877   0.4870   0.0013   0.0239   0.0411   0.0000
   0.1000   3.0079   0.0000   0.0000   0.4939   0.4811   0.0013   0.0237   0.0434   0.0000
   STRAIN    AVACS    PRITW    SECTW    MODE1    MODE2    MODE3    MODE4    TWFR4    EFFR4
   0.1000   2.6971   0.0000   0.0000   0.2837   0.6756   0.0007   0.0400   0.0434   0.0000
   0.1050   1.9115   0.0000   0.0000   0.6299   0.3611   0.0090   0.0000   0.0474   0.0000
   0.1100   2.0622   0.0000   0.0000   0.6072   0.3918   0.0004   0.0006   0.0474   0.0000
   0.1150   2.2646   0.0000   0.0000   0.5502   0.4476   0.0000   0.0022   0.0475   0.0000
   0.1200   2.3550   0.0000   0.0000   0.5194   0.4740   0.0000   0.0065   0.0477   0.0000
   0.1250   2.5079   0.0000   0.0000   0.4898   0.4989   0.0002   0.0111   0.0483   0.0000
   0.1300   2.6172   0.0000   0.0000   0.4662   0.5180   0.0006   0.0152   0.0494   0.0000
   0.1350   2.7243   0.0000   0.0000   0.4546   0.5251   0.0010   0.0193   0.0509   0.0000
   0.1400   2.8004   0.0000   0.0000   0.4381   0.5384   0.0012   0.0223   0.0527   0.0000
   0.1450   2.8590   0.0000   0.0000   0.4358   0.5368   0.0020   0.0254   0.0549   0.0000
   0.1500   2.9147   0.0000   0.0000   0.4242   0.5461   0.0025   0.0273   0.0574   0.0000
   0.1550   2.9735   0.0000   0.0000   0.4255   0.5437   0.0020   0.0289   0.0601   0.0000
   0.1600   3.0011   0.0000   0.0000   0.4179   0.5497   0.0019   0.0304   0.0630   0.0000
   0.1650   3.0429   0.0000   0.0000   0.4266   0.5391   0.0021   0.0322   0.0660   0.0000
   0.1700   3.0748   0.0000   0.0000   0.4268   0.5387   0.0014   0.0331   0.0692   0.0000
   0.1750   3.0650   0.0000   0.0000   0.4277   0.5351   0.0051   0.0321   0.0725   0.0000
   0.1800   3.0735   0.0000   0.0000   0.4324   0.5307   0.0039   0.0330   0.0756   0.0000
   0.1850   3.0795   0.0000   0.0000   0.4406   0.5237   0.0016   0.0341   0.0789   0.0000
   0.1900   3.0536   0.0000   0.0000   0.4434   0.5190   0.0046   0.0330   0.0823   0.0000
   0.1950   3.0445   0.0000   0.0000   0.4472   0.5154   0.0047   0.0327   0.0855   0.0000
   0.2000   3.0515   0.0000   0.0000   0.4589   0.5060   0.0006   0.0345   0.0888   0.0000
   0.2050   3.0426   0.0000   0.0000   0.4638   0.5008   0.0013   0.0341   0.0922   0.0000
   0.2100   3.0507   0.0000   0.0000   0.4703   0.4948   0.0013   0.0337   0.0955   0.0000
