   STRAIN    AVACS    MODE1    MODE2
   0.0000   3.6521   0.6793   0.3207
   0.0010   3.4129   0.6973   0.3027
   0.0020   3.3024   0.7032   0.2968
   0.0030   3.2418   0.7070   0.2930
   0.0040   3.2179   0.7098   0.2902
   0.0050   3.1950   0.7121   0.2879
   0.0060   3.1790   0.7141   0.2859
   0.0070   3.1638   0.7157   0.2843
   0.0080   3.1465   0.7172   0.2828
   0.0090   3.1319   0.7185   0.2815
   0.0100   3.1203   0.7196   0.2804
   0.0110   3.1076   0.7206   0.2794
   0.0120   3.0956   0.7216   0.2784
   0.0130   3.0812   0.7225   0.2775
   0.0140   3.0710   0.7233   0.2767
   0.0150   3.0601   0.7241   0.2759
   0.0160   3.0549   0.7248   0.2752
   0.0170   3.0435   0.7255   0.2745
   0.0180   3.0300   0.7261   0.2739
   0.0190   3.0167   0.7267   0.2733
   0.0200   2.9967   0.7273   0.2727
   0.0210   2.9962   0.7278   0.2722
   0.0220   2.9894   0.7283   0.2717
   0.0230   2.9774   0.7288   0.2712
   0.0240   2.9704   0.7293   0.2707
   0.0250   2.9701   0.7297   0.2703
   0.0260   2.9568   0.7301   0.2699
   0.0270   2.9521   0.7305   0.2695
   0.0280   2.9477   0.7309   0.2691
   0.0290   2.9363   0.7313   0.2687
   0.0300   2.9279   0.7316   0.2684
   0.0310   2.9320   0.7319   0.2681
   0.0320   2.9295   0.7323   0.2677
   0.0330   2.9217   0.7326   0.2674
   0.0340   2.9212   0.7329   0.2671
   0.0350   2.9121   0.7331   0.2669
   0.0360   2.8996   0.7334   0.2666
   0.0370   2.9169   0.7337   0.2663
   0.0380   2.9049   0.7339   0.2661
   0.0390   2.9052   0.7342   0.2658
   0.0400   2.9041   0.7344   0.2656
   0.0410   2.8987   0.7346   0.2654
   0.0420   2.8973   0.7348   0.2652
   0.0430   2.8981   0.7350   0.2650
   0.0440   2.8969   0.7352   0.2648
   0.0450   2.9020   0.7354   0.2646
   0.0460   2.8911   0.7356   0.2644
   0.0470   2.8862   0.7357   0.2643
   0.0480   2.8853   0.7359   0.2641
   0.0490   2.8820   0.7361   0.2639
   0.0500   2.8794   0.7362   0.2638
   0.0510   2.8786   0.7364   0.2636
   0.0520   2.8665   0.7365   0.2635
   0.0530   2.8689   0.7366   0.2634
   0.0540   2.8699   0.7368   0.2632
   0.0550   2.8686   0.7369   0.2631
   0.0560   2.8859   0.7370   0.2630
   0.0570   2.8880   0.7372   0.2628
   0.0580   2.8778   0.7373   0.2627
   0.0590   2.8965   0.7374   0.2626
   0.0600   2.9010   0.7375   0.2625
   0.0610   2.8937   0.7376   0.2624
   0.0620   2.8944   0.7377   0.2623
   0.0630   2.9086   0.7378   0.2622
   0.0640   2.9069   0.7379   0.2621
   0.0650   2.8972   0.7380   0.2620
   0.0660   2.9004   0.7381   0.2619
   0.0670   2.9002   0.7382   0.2618
   0.0680   2.8894   0.7383   0.2617
   0.0690   2.8861   0.7384   0.2616
   0.0700   2.8828   0.7385   0.2615
   0.0710   2.8877   0.7385   0.2615
   0.0720   2.8639   0.7386   0.2614
   0.0730   2.8653   0.7387   0.2613
   0.0740   2.8533   0.7387   0.2613
   0.0750   2.8410   0.7388   0.2612
   0.0760   2.8261   0.7389   0.2611
   0.0770   2.8269   0.7390   0.2610
   0.0780   2.8259   0.7390   0.2610
   0.0790   2.8252   0.7391   0.2609
   0.0800   2.8297   0.7392   0.2608
   0.0810   2.8288   0.7393   0.2607
   0.0820   2.8265   0.7393   0.2607
   0.0830   2.8267   0.7394   0.2606
   0.0840   2.8257   0.7395   0.2605
   0.0850   2.8269   0.7395   0.2605
   0.0860   2.8205   0.7396   0.2604
   0.0870   2.8204   0.7396   0.2604
   0.0880   2.8214   0.7397   0.2603
   0.0890   2.8235   0.7398   0.2602
   0.0900   2.8216   0.7398   0.2602
   0.0910   2.8259   0.7399   0.2601
   0.0920   2.8263   0.7399   0.2601
   0.0930   2.8260   0.7400   0.2600
   0.0940   2.8292   0.7400   0.2600
   0.0950   2.8295   0.7400   0.2600
   0.0960   2.8301   0.7401   0.2599
   0.0970   2.8350   0.7401   0.2599
   0.0980   2.8234   0.7401   0.2599
   0.0990   2.8237   0.7402   0.2598
   0.1000   2.8240   0.7402   0.2598
   0.1010   2.8230   0.7402   0.2598
   0.1020   2.8197   0.7402   0.2598
   0.1030   2.8210   0.7403   0.2597
   0.1040   2.8223   0.7403   0.2597
   0.1050   2.8207   0.7403   0.2597
   0.1060   2.8251   0.7403   0.2597
   0.1070   2.8263   0.7403   0.2597
   0.1080   2.8159   0.7403   0.2597
   0.1090   2.8173   0.7403   0.2597
   0.1100   2.8171   0.7403   0.2597
   0.1110   2.8186   0.7403   0.2597
   0.1120   2.8164   0.7403   0.2597
   0.1130   2.8104   0.7403   0.2597
   0.1140   2.8074   0.7403   0.2597
   0.1150   2.8067   0.7403   0.2597
   0.1160   2.8061   0.7403   0.2597
   0.1170   2.8088   0.7403   0.2597
   0.1180   2.8093   0.7402   0.2598
   0.1190   2.8007   0.7402   0.2598
   0.1200   2.8166   0.7402   0.2598
   0.1210   2.8210   0.7402   0.2598
   0.1220   2.8238   0.7402   0.2598
   0.1230   2.8265   0.7402   0.2598
   0.1240   2.8374   0.7402   0.2598
   0.1250   2.8526   0.7402   0.2598
   0.1260   2.8503   0.7401   0.2599
   0.1270   2.8576   0.7401   0.2599
   0.1280   2.8575   0.7401   0.2599
   0.1290   2.8605   0.7401   0.2599
   0.1300   2.8657   0.7401   0.2599
   0.1310   2.8597   0.7401   0.2599
   0.1320   2.8661   0.7400   0.2600
   0.1330   2.8587   0.7400   0.2600
   0.1340   2.8631   0.7400   0.2600
   0.1350   2.8797   0.7400   0.2600
   0.1360   2.8920   0.7400   0.2600
   0.1370   2.8962   0.7400   0.2600
   0.1380   2.8984   0.7399   0.2601
   0.1390   2.9002   0.7400   0.2600
   0.1400   2.8945   0.7400   0.2600
   0.1410   2.8998   0.7399   0.2601
   0.1420   2.8974   0.7399   0.2601
   0.1430   2.8923   0.7399   0.2601
   0.1440   2.8918   0.7399   0.2601
   0.1450   2.8923   0.7399   0.2601
   0.1460   2.8838   0.7399   0.2601
   0.1470   2.8992   0.7399   0.2601
   0.1480   2.8831   0.7399   0.2601
   0.1490   2.8876   0.7399   0.2601
   0.1500   2.8816   0.7398   0.2602
   0.1510   2.8906   0.7399   0.2601
   0.1520   2.8900   0.7399   0.2601
   0.1530   2.8899   0.7398   0.2602
   0.1540   2.8876   0.7399   0.2601
   0.1550   2.8893   0.7399   0.2601
   0.1560   2.8900   0.7398   0.2602
   0.1570   2.8976   0.7398   0.2602
   0.1580   2.9006   0.7399   0.2601
   0.1590   2.9048   0.7398   0.2602
   0.1600   2.9140   0.7398   0.2602
   0.1610   2.9050   0.7399   0.2601
   0.1620   2.9065   0.7398   0.2602
   0.1630   2.9062   0.7398   0.2602
   0.1640   2.9063   0.7399   0.2601
   0.1650   2.9045   0.7398   0.2602
   0.1660   2.9079   0.7399   0.2601
   0.1670   2.9039   0.7399   0.2601
   0.1680   2.8993   0.7399   0.2601
   0.1690   2.8931   0.7399   0.2601
   0.1700   2.8904   0.7399   0.2601
   0.1710   2.8882   0.7399   0.2601
   0.1720   2.8876   0.7400   0.2600
   0.1730   2.8875   0.7399   0.2601
   0.1740   2.8848   0.7399   0.2601
   0.1750   2.8787   0.7399   0.2601
   0.1760   2.8842   0.7399   0.2601
   0.1770   2.8826   0.7400   0.2600
   0.1780   2.8818   0.7399   0.2601
   0.1790   2.8834   0.7399   0.2601
   0.1800   2.8860   0.7399   0.2601
   0.1810   2.8853   0.7400   0.2600
   0.1820   2.8858   0.7400   0.2600
   0.1830   2.8813   0.7400   0.2600
   0.1840   2.8835   0.7399   0.2601
   0.1850   2.8869   0.7400   0.2600
   0.1860   2.8903   0.7400   0.2600
   0.1870   2.8918   0.7399   0.2601
   0.1880   2.8869   0.7400   0.2600
   0.1890   2.8812   0.7400   0.2600
   0.1900   2.8799   0.7400   0.2600
   0.1910   2.8853   0.7400   0.2600
   0.1920   2.8869   0.7400   0.2600
   0.1930   2.8881   0.7400   0.2600
   0.1940   2.8876   0.7400   0.2600
   0.1950   2.8874   0.7400   0.2600
   0.1960   2.8862   0.7400   0.2600
   0.1970   2.8845   0.7400   0.2600
   0.1980   2.8903   0.7400   0.2600
   0.1990   2.8887   0.7400   0.2600
   0.2000   2.8963   0.7400   0.2600
   0.2010   2.8961   0.7400   0.2600
   0.2020   2.8970   0.7400   0.2600
   0.2030   2.8954   0.7400   0.2600
   0.2040   2.8756   0.7400   0.2600
   0.2050   2.8888   0.7400   0.2600
   0.2060   2.8873   0.7399   0.2601
   0.2070   2.9011   0.7399   0.2601
   0.2080   2.9037   0.7399   0.2601
   0.2090   2.9105   0.7399   0.2601
   0.2100   2.9098   0.7399   0.2601
   0.2110   2.9088   0.7398   0.2602
   0.2120   2.9224   0.7398   0.2602
   0.2130   2.9226   0.7398   0.2602
   0.2140   2.9223   0.7397   0.2603
   0.2150   2.9200   0.7397   0.2603
   0.2160   2.9191   0.7397   0.2603
   0.2170   2.9197   0.7396   0.2604
   0.2180   2.9200   0.7396   0.2604
   0.2190   2.9368   0.7396   0.2604
   0.2200   2.9381   0.7395   0.2605
   0.2210   2.9362   0.7395   0.2605
   0.2220   2.9373   0.7394   0.2606
   0.2230   2.9329   0.7394   0.2606
   0.2240   2.9314   0.7393   0.2607
   0.2250   2.9348   0.7393   0.2607
   0.2260   2.9351   0.7392   0.2608
   0.2270   2.9348   0.7391   0.2609
   0.2280   2.9378   0.7391   0.2609
   0.2290   2.9407   0.7390   0.2610
