    EPSACU     EPSVM   EPSctrl    RHOforest     RHOreverse      RHOtotal       RHOmod1       RHOmod2
    0.0240    0.0240    0.0240    0.2000E+11    0.7410E+13    0.7430E+13    0.3565E+13    0.3865E+13
    0.0250    0.0250    0.0250    0.2088E+11    0.7711E+13    0.7732E+13    0.3706E+13    0.4026E+13
    0.0260    0.0260    0.0260    0.2176E+11    0.8012E+13    0.8033E+13    0.3846E+13    0.4187E+13
    0.0270    0.0270    0.0270    0.2265E+11    0.8311E+13    0.8334E+13    0.3986E+13    0.4348E+13
    0.0280    0.0280    0.0280    0.2354E+11    0.8610E+13    0.8633E+13    0.4125E+13    0.4508E+13
    0.0290    0.0290    0.0290    0.2444E+11    0.8907E+13    0.8932E+13    0.4264E+13    0.4668E+13
    0.0300    0.0300    0.0300    0.2534E+11    0.9204E+13    0.9230E+13    0.4403E+13    0.4827E+13
    0.0310    0.0310    0.0310    0.2625E+11    0.9501E+13    0.9527E+13    0.4541E+13    0.4986E+13
    0.0320    0.0320    0.0320    0.2716E+11    0.9796E+13    0.9823E+13    0.4678E+13    0.5145E+13
    0.0330    0.0330    0.0330    0.2807E+11    0.1009E+14    0.1012E+14    0.4816E+13    0.5303E+13
    0.0340    0.0340    0.0340    0.2899E+11    0.1038E+14    0.1041E+14    0.4953E+13    0.5461E+13
    0.0350    0.0350    0.0350    0.2991E+11    0.1068E+14    0.1071E+14    0.5089E+13    0.5618E+13
    0.0360    0.0360    0.0360    0.3084E+11    0.1097E+14    0.1100E+14    0.5225E+13    0.5775E+13
    0.0370    0.0370    0.0370    0.3177E+11    0.1126E+14    0.1129E+14    0.5361E+13    0.5932E+13
    0.0380    0.0380    0.0380    0.3270E+11    0.1155E+14    0.1158E+14    0.5496E+13    0.6088E+13
    0.0390    0.0390    0.0390    0.3364E+11    0.1184E+14    0.1187E+14    0.5631E+13    0.6243E+13
    0.0400    0.0400    0.0400    0.3459E+11    0.1213E+14    0.1216E+14    0.5765E+13    0.6398E+13
    0.0410    0.0410    0.0410    0.3554E+11    0.1242E+14    0.1245E+14    0.5899E+13    0.6553E+13
    0.0420    0.0420    0.0420    0.3649E+11    0.1270E+14    0.1274E+14    0.6033E+13    0.6708E+13
    0.0430    0.0430    0.0430    0.3745E+11    0.1299E+14    0.1303E+14    0.6166E+13    0.6861E+13
    0.0440    0.0440    0.0440    0.3841E+11    0.1328E+14    0.1331E+14    0.6299E+13    0.7014E+13
    0.0450    0.0450    0.0450    0.3938E+11    0.1356E+14    0.1360E+14    0.6432E+13    0.7167E+13
    0.0460    0.0460    0.0460    0.4035E+11    0.1384E+14    0.1388E+14    0.6564E+13    0.7320E+13
    0.0470    0.0470    0.0470    0.4132E+11    0.1413E+14    0.1417E+14    0.6696E+13    0.7471E+13
    0.0480    0.0480    0.0480    0.4230E+11    0.1441E+14    0.1445E+14    0.6827E+13    0.7623E+13
    0.0490    0.0490    0.0490    0.4329E+11    0.1469E+14    0.1473E+14    0.6959E+13    0.7774E+13
    0.0500    0.0500    0.0500    0.4428E+11    0.1497E+14    0.1501E+14    0.7089E+13    0.7924E+13
    0.0510    0.0510    0.0510    0.4527E+11    0.1525E+14    0.1529E+14    0.7220E+13    0.8074E+13
    0.0520    0.0520    0.0520    0.4627E+11    0.1553E+14    0.1557E+14    0.7350E+13    0.8223E+13
    0.0530    0.0530    0.0530    0.4727E+11    0.1580E+14    0.1585E+14    0.7480E+13    0.8373E+13
    0.0540    0.0540    0.0540    0.4828E+11    0.1608E+14    0.1613E+14    0.7609E+13    0.8521E+13
    0.0550    0.0550    0.0550    0.4929E+11    0.1636E+14    0.1641E+14    0.7738E+13    0.8669E+13
    0.0560    0.0560    0.0560    0.5031E+11    0.1663E+14    0.1668E+14    0.7866E+13    0.8816E+13
    0.0570    0.0570    0.0570    0.5133E+11    0.1691E+14    0.1696E+14    0.7995E+13    0.8963E+13
    0.0580    0.0580    0.0580    0.5236E+11    0.1718E+14    0.1723E+14    0.8122E+13    0.9109E+13
    0.0590    0.0590    0.0590    0.5339E+11    0.1745E+14    0.1751E+14    0.8250E+13    0.9255E+13
    0.0600    0.0600    0.0600    0.5443E+11    0.1772E+14    0.1778E+14    0.8377E+13    0.9401E+13
    0.0610    0.0610    0.0610    0.5547E+11    0.1799E+14    0.1805E+14    0.8504E+13    0.9546E+13
    0.0620    0.0620    0.0620    0.5651E+11    0.1826E+14    0.1832E+14    0.8631E+13    0.9690E+13
    0.0630    0.0630    0.0630    0.5756E+11    0.1853E+14    0.1859E+14    0.8757E+13    0.9834E+13
    0.0640    0.0640    0.0640    0.5862E+11    0.1880E+14    0.1886E+14    0.8883E+13    0.9977E+13
    0.0650    0.0650    0.0650    0.5968E+11    0.1907E+14    0.1913E+14    0.9008E+13    0.1012E+14
    0.0660    0.0660    0.0660    0.6074E+11    0.1934E+14    0.1940E+14    0.9134E+13    0.1026E+14
    0.0670    0.0670    0.0670    0.6181E+11    0.1960E+14    0.1966E+14    0.9259E+13    0.1040E+14
    0.0680    0.0680    0.0680    0.6289E+11    0.1987E+14    0.1993E+14    0.9383E+13    0.1055E+14
    0.0690    0.0690    0.0690    0.6397E+11    0.2013E+14    0.2019E+14    0.9507E+13    0.1069E+14
    0.0700    0.0700    0.0700    0.6505E+11    0.2039E+14    0.2046E+14    0.9631E+13    0.1083E+14
    0.0710    0.0710    0.0710    0.6615E+11    0.2066E+14    0.2072E+14    0.9755E+13    0.1097E+14
    0.0720    0.0720    0.0720    0.6724E+11    0.2092E+14    0.2098E+14    0.9878E+13    0.1111E+14
    0.0730    0.0730    0.0730    0.6834E+11    0.2118E+14    0.2125E+14    0.1000E+14    0.1125E+14
    0.0740    0.0740    0.0740    0.6945E+11    0.2144E+14    0.2151E+14    0.1012E+14    0.1138E+14
    0.0750    0.0750    0.0750    0.7056E+11    0.2170E+14    0.2177E+14    0.1025E+14    0.1152E+14
    0.0760    0.0760    0.0760    0.7167E+11    0.2195E+14    0.2203E+14    0.1037E+14    0.1166E+14
    0.0770    0.0770    0.0770    0.7279E+11    0.2221E+14    0.2229E+14    0.1049E+14    0.1180E+14
    0.0780    0.0780    0.0780    0.7392E+11    0.2247E+14    0.2254E+14    0.1061E+14    0.1193E+14
    0.0790    0.0790    0.0790    0.7505E+11    0.2272E+14    0.2280E+14    0.1073E+14    0.1207E+14
    0.0800    0.0800    0.0800    0.7619E+11    0.2298E+14    0.2306E+14    0.1085E+14    0.1220E+14
    0.0810    0.0810    0.0810    0.7733E+11    0.2323E+14    0.2331E+14    0.1097E+14    0.1234E+14
    0.0820    0.0820    0.0820    0.7847E+11    0.2349E+14    0.2357E+14    0.1109E+14    0.1247E+14
    0.0830    0.0830    0.0830    0.7963E+11    0.2374E+14    0.2382E+14    0.1121E+14    0.1261E+14
    0.0840    0.0840    0.0840    0.8078E+11    0.2399E+14    0.2407E+14    0.1133E+14    0.1274E+14
    0.0850    0.0850    0.0850    0.8195E+11    0.2424E+14    0.2432E+14    0.1145E+14    0.1287E+14
    0.0860    0.0860    0.0860    0.8312E+11    0.2449E+14    0.2458E+14    0.1157E+14    0.1301E+14
    0.0870    0.0870    0.0870    0.8429E+11    0.2474E+14    0.2483E+14    0.1169E+14    0.1314E+14
    0.0880    0.0880    0.0880    0.8547E+11    0.2499E+14    0.2508E+14    0.1181E+14    0.1327E+14
    0.0890    0.0890    0.0890    0.8665E+11    0.2524E+14    0.2532E+14    0.1193E+14    0.1340E+14
    0.0900    0.0900    0.0900    0.8784E+11    0.2548E+14    0.2557E+14    0.1204E+14    0.1353E+14
    0.0910    0.0910    0.0910    0.8904E+11    0.2573E+14    0.2582E+14    0.1216E+14    0.1366E+14
    0.0920    0.0920    0.0920    0.9024E+11    0.2598E+14    0.2607E+14    0.1228E+14    0.1379E+14
    0.0930    0.0930    0.0930    0.9144E+11    0.2622E+14    0.2631E+14    0.1239E+14    0.1392E+14
    0.0940    0.0940    0.0940    0.9266E+11    0.2646E+14    0.2656E+14    0.1251E+14    0.1405E+14
    0.0950    0.0950    0.0950    0.9387E+11    0.2671E+14    0.2680E+14    0.1263E+14    0.1417E+14
    0.0960    0.0960    0.0960    0.9510E+11    0.2695E+14    0.2704E+14    0.1274E+14    0.1430E+14
    0.0970    0.0970    0.0970    0.9632E+11    0.2719E+14    0.2729E+14    0.1286E+14    0.1443E+14
    0.0980    0.0980    0.0980    0.9756E+11    0.2743E+14    0.2753E+14    0.1297E+14    0.1455E+14
    0.0990    0.0990    0.0990    0.9880E+11    0.2767E+14    0.2777E+14    0.1309E+14    0.1468E+14
    0.1000    0.1000    0.1000    0.1000E+12    0.2791E+14    0.2801E+14    0.1320E+14    0.1481E+14
    0.1010    0.1011   -0.0010    0.1006E+12    0.2817E+14    0.2827E+14    0.1342E+14    0.1485E+14
    0.1020    0.1022   -0.0020    0.1014E+12    0.2837E+14    0.2847E+14    0.1358E+14    0.1490E+14
    0.1030    0.1034   -0.0030    0.1022E+12    0.2862E+14    0.2872E+14    0.1378E+14    0.1494E+14
    0.1040    0.1045   -0.0040    0.1031E+12    0.2886E+14    0.2897E+14    0.1398E+14    0.1498E+14
    0.1050    0.1057   -0.0050    0.1040E+12    0.2912E+14    0.2922E+14    0.1419E+14    0.1503E+14
    0.1060    0.1068   -0.0060    0.1050E+12    0.2937E+14    0.2947E+14    0.1440E+14    0.1507E+14
    0.1070    0.1080   -0.0070    0.1061E+12    0.2962E+14    0.2973E+14    0.1462E+14    0.1511E+14
    0.1080    0.1092   -0.0080    0.1072E+12    0.2987E+14    0.2998E+14    0.1483E+14    0.1515E+14
    0.1090    0.1103   -0.0090    0.1084E+12    0.3013E+14    0.3024E+14    0.1504E+14    0.1519E+14
    0.1100    0.1115   -0.0100    0.1096E+12    0.3038E+14    0.3049E+14    0.1526E+14    0.1523E+14
    0.1110    0.1126   -0.0110    0.1108E+12    0.3063E+14    0.3074E+14    0.1547E+14    0.1527E+14
    0.1120    0.1138   -0.0120    0.1122E+12    0.3088E+14    0.3100E+14    0.1568E+14    0.1531E+14
    0.1130    0.1149   -0.0130    0.1135E+12    0.3114E+14    0.3125E+14    0.1590E+14    0.1535E+14
    0.1140    0.1161   -0.0140    0.1149E+12    0.3139E+14    0.3150E+14    0.1611E+14    0.1539E+14
    0.1150    0.1172   -0.0150    0.1164E+12    0.3164E+14    0.3176E+14    0.1633E+14    0.1543E+14
    0.1160    0.1184   -0.0160    0.1179E+12    0.3189E+14    0.3201E+14    0.1654E+14    0.1547E+14
    0.1170    0.1195   -0.0170    0.1195E+12    0.3214E+14    0.3226E+14    0.1675E+14    0.1550E+14
    0.1180    0.1207   -0.0180    0.1211E+12    0.3239E+14    0.3251E+14    0.1697E+14    0.1554E+14
    0.1190    0.1218   -0.0190    0.1227E+12    0.3264E+14    0.3276E+14    0.1718E+14    0.1558E+14
    0.1200    0.1230   -0.0200    0.1244E+12    0.3288E+14    0.3301E+14    0.1739E+14    0.1562E+14
    0.1210    0.1242   -0.0210    0.1262E+12    0.3313E+14    0.3325E+14    0.1760E+14    0.1565E+14
    0.1220    0.1253   -0.0220    0.1279E+12    0.3337E+14    0.3350E+14    0.1781E+14    0.1569E+14
    0.1230    0.1265   -0.0230    0.1298E+12    0.3362E+14    0.3375E+14    0.1802E+14    0.1572E+14
    0.1240    0.1276   -0.0240    0.1316E+12    0.3386E+14    0.3399E+14    0.1823E+14    0.1576E+14
    0.1250    0.1288   -0.0250    0.1336E+12    0.3411E+14    0.3424E+14    0.1844E+14    0.1579E+14
    0.1260    0.1299   -0.0260    0.1355E+12    0.3435E+14    0.3448E+14    0.1865E+14    0.1583E+14
    0.1270    0.1311   -0.0270    0.1375E+12    0.3459E+14    0.3473E+14    0.1886E+14    0.1586E+14
    0.1280    0.1322   -0.0280    0.1396E+12    0.3483E+14    0.3497E+14    0.1907E+14    0.1590E+14
    0.1290    0.1334   -0.0290    0.1417E+12    0.3507E+14    0.3521E+14    0.1928E+14    0.1593E+14
    0.1300    0.1345   -0.0300    0.1438E+12    0.3531E+14    0.3545E+14    0.1949E+14    0.1596E+14
    0.1310    0.1357   -0.0310    0.1460E+12    0.3555E+14    0.3569E+14    0.1970E+14    0.1600E+14
    0.1320    0.1369   -0.0320    0.1482E+12    0.3578E+14    0.3593E+14    0.1990E+14    0.1603E+14
    0.1330    0.1380   -0.0330    0.1505E+12    0.3602E+14    0.3617E+14    0.2011E+14    0.1606E+14
    0.1340    0.1392   -0.0340    0.1528E+12    0.3626E+14    0.3641E+14    0.2032E+14    0.1609E+14
    0.1350    0.1403   -0.0350    0.1551E+12    0.3649E+14    0.3665E+14    0.2052E+14    0.1613E+14
    0.1360    0.1415   -0.0360    0.1575E+12    0.3673E+14    0.3688E+14    0.2073E+14    0.1616E+14
    0.1370    0.1426   -0.0370    0.1600E+12    0.3696E+14    0.3712E+14    0.2093E+14    0.1619E+14
    0.1380    0.1438   -0.0380    0.1625E+12    0.3719E+14    0.3735E+14    0.2114E+14    0.1622E+14
    0.1390    0.1449   -0.0390    0.1650E+12    0.3742E+14    0.3759E+14    0.2134E+14    0.1625E+14
    0.1400    0.1461   -0.0400    0.1675E+12    0.3765E+14    0.3782E+14    0.2154E+14    0.1628E+14
    0.1410    0.1473   -0.0410    0.1701E+12    0.3788E+14    0.3805E+14    0.2174E+14    0.1631E+14
    0.1420    0.1484   -0.0420    0.1728E+12    0.3811E+14    0.3829E+14    0.2195E+14    0.1634E+14
    0.1430    0.1496   -0.0430    0.1755E+12    0.3834E+14    0.3852E+14    0.2215E+14    0.1637E+14
    0.1440    0.1507   -0.0440    0.1782E+12    0.3857E+14    0.3875E+14    0.2235E+14    0.1640E+14
    0.1450    0.1519   -0.0450    0.1810E+12    0.3880E+14    0.3898E+14    0.2255E+14    0.1643E+14
    0.1460    0.1530   -0.0460    0.1838E+12    0.3902E+14    0.3921E+14    0.2275E+14    0.1646E+14
    0.1470    0.1542   -0.0470    0.1867E+12    0.3925E+14    0.3943E+14    0.2295E+14    0.1648E+14
    0.1480    0.1553   -0.0480    0.1896E+12    0.3947E+14    0.3966E+14    0.2315E+14    0.1651E+14
    0.1490    0.1565   -0.0490    0.1925E+12    0.3969E+14    0.3989E+14    0.2334E+14    0.1654E+14
    0.1500    0.1576   -0.0500    0.1955E+12    0.3992E+14    0.4011E+14    0.2354E+14    0.1657E+14
    0.1510    0.1588   -0.0510    0.1985E+12    0.4014E+14    0.4034E+14    0.2374E+14    0.1660E+14
    0.1520    0.1599   -0.0520    0.2015E+12    0.4036E+14    0.4056E+14    0.2394E+14    0.1662E+14
    0.1530    0.1611   -0.0530    0.2046E+12    0.4058E+14    0.4078E+14    0.2413E+14    0.1665E+14
    0.1540    0.1623   -0.0540    0.2078E+12    0.4080E+14    0.4100E+14    0.2433E+14    0.1668E+14
    0.1550    0.1634   -0.0550    0.2109E+12    0.4101E+14    0.4122E+14    0.2452E+14    0.1670E+14
    0.1560    0.1646   -0.0560    0.2142E+12    0.4123E+14    0.4145E+14    0.2472E+14    0.1673E+14
    0.1570    0.1657   -0.0570    0.2174E+12    0.4145E+14    0.4166E+14    0.2491E+14    0.1676E+14
    0.1580    0.1669   -0.0580    0.2207E+12    0.4166E+14    0.4188E+14    0.2510E+14    0.1678E+14
    0.1590    0.1680   -0.0590    0.2240E+12    0.4188E+14    0.4210E+14    0.2529E+14    0.1681E+14
    0.1600    0.1692   -0.0600    0.2274E+12    0.4209E+14    0.4232E+14    0.2549E+14    0.1683E+14
    0.1610    0.1703   -0.0610    0.2308E+12    0.4230E+14    0.4253E+14    0.2568E+14    0.1686E+14
    0.1620    0.1715   -0.0620    0.2343E+12    0.4252E+14    0.4275E+14    0.2587E+14    0.1688E+14
    0.1630    0.1726   -0.0630    0.2377E+12    0.4273E+14    0.4296E+14    0.2606E+14    0.1691E+14
    0.1640    0.1738   -0.0640    0.2413E+12    0.4294E+14    0.4318E+14    0.2625E+14    0.1693E+14
    0.1650    0.1749   -0.0650    0.2448E+12    0.4315E+14    0.4339E+14    0.2643E+14    0.1696E+14
    0.1660    0.1761   -0.0660    0.2484E+12    0.4335E+14    0.4360E+14    0.2662E+14    0.1698E+14
    0.1670    0.1773   -0.0670    0.2521E+12    0.4356E+14    0.4381E+14    0.2681E+14    0.1701E+14
    0.1680    0.1784   -0.0680    0.2557E+12    0.4377E+14    0.4403E+14    0.2700E+14    0.1703E+14
    0.1690    0.1796   -0.0690    0.2594E+12    0.4398E+14    0.4424E+14    0.2718E+14    0.1705E+14
    0.1700    0.1807   -0.0700    0.2632E+12    0.4418E+14    0.4444E+14    0.2737E+14    0.1708E+14
    0.1710    0.1819   -0.0710    0.2670E+12    0.4439E+14    0.4465E+14    0.2755E+14    0.1710E+14
    0.1720    0.1830   -0.0720    0.2708E+12    0.4459E+14    0.4486E+14    0.2774E+14    0.1712E+14
    0.1730    0.1842   -0.0730    0.2747E+12    0.4479E+14    0.4507E+14    0.2792E+14    0.1715E+14
    0.1740    0.1853   -0.0740    0.2785E+12    0.4500E+14    0.4527E+14    0.2810E+14    0.1717E+14
    0.1750    0.1865   -0.0750    0.2825E+12    0.4520E+14    0.4548E+14    0.2829E+14    0.1719E+14
    0.1760    0.1876   -0.0760    0.2864E+12    0.4540E+14    0.4568E+14    0.2847E+14    0.1722E+14
    0.1770    0.1888   -0.0770    0.2904E+12    0.4560E+14    0.4589E+14    0.2865E+14    0.1724E+14
    0.1780    0.1899   -0.0780    0.2945E+12    0.4580E+14    0.4609E+14    0.2883E+14    0.1726E+14
    0.1790    0.1911   -0.0790    0.2985E+12    0.4599E+14    0.4629E+14    0.2901E+14    0.1728E+14
    0.1800    0.1922   -0.0800    0.3026E+12    0.4619E+14    0.4649E+14    0.2919E+14    0.1731E+14
    0.1810    0.1934   -0.0810    0.3068E+12    0.4639E+14    0.4670E+14    0.2937E+14    0.1733E+14
    0.1820    0.1946   -0.0820    0.3110E+12    0.4658E+14    0.4689E+14    0.2954E+14    0.1735E+14
    0.1830    0.1957   -0.0830    0.3152E+12    0.4678E+14    0.4709E+14    0.2972E+14    0.1737E+14
    0.1840    0.1969   -0.0840    0.3194E+12    0.4697E+14    0.4729E+14    0.2990E+14    0.1739E+14
    0.1850    0.1980   -0.0850    0.3237E+12    0.4717E+14    0.4749E+14    0.3007E+14    0.1742E+14
    0.1860    0.1992   -0.0860    0.3280E+12    0.4736E+14    0.4769E+14    0.3025E+14    0.1744E+14
    0.1870    0.2003   -0.0870    0.3323E+12    0.4755E+14    0.4788E+14    0.3042E+14    0.1746E+14
    0.1880    0.2015   -0.0880    0.3367E+12    0.4774E+14    0.4808E+14    0.3060E+14    0.1748E+14
    0.1890    0.2026   -0.0890    0.3411E+12    0.4793E+14    0.4827E+14    0.3077E+14    0.1750E+14
    0.1900    0.2038   -0.0900    0.3455E+12    0.4812E+14    0.4847E+14    0.3095E+14    0.1752E+14
    0.1910    0.2049   -0.0910    0.3500E+12    0.4831E+14    0.4866E+14    0.3112E+14    0.1754E+14
    0.1920    0.2061   -0.0920    0.3545E+12    0.4850E+14    0.4885E+14    0.3129E+14    0.1756E+14
    0.1930    0.2072   -0.0930    0.3591E+12    0.4869E+14    0.4904E+14    0.3146E+14    0.1758E+14
    0.1940    0.2084   -0.0940    0.3636E+12    0.4887E+14    0.4924E+14    0.3163E+14    0.1760E+14
    0.1950    0.2095   -0.0950    0.3682E+12    0.4906E+14    0.4943E+14    0.3180E+14    0.1763E+14
    0.1960    0.2107   -0.0960    0.3728E+12    0.4924E+14    0.4962E+14    0.3197E+14    0.1765E+14
    0.1970    0.2118   -0.0970    0.3775E+12    0.4943E+14    0.4980E+14    0.3214E+14    0.1767E+14
    0.1980    0.2130   -0.0980    0.3822E+12    0.4961E+14    0.4999E+14    0.3231E+14    0.1769E+14
    0.1990    0.2141   -0.0990    0.3869E+12    0.4979E+14    0.5018E+14    0.3247E+14    0.1771E+14
    0.2000    0.2153   -0.1000    0.3917E+12    0.4997E+14    0.5037E+14    0.3264E+14    0.1773E+14
    0.2010    0.2164   -0.1010    0.3965E+12    0.5016E+14    0.5055E+14    0.3281E+14    0.1775E+14
    0.2020    0.2176   -0.1020    0.4013E+12    0.5034E+14    0.5074E+14    0.3297E+14    0.1777E+14
    0.2030    0.2187   -0.1030    0.4061E+12    0.5052E+14    0.5092E+14    0.3314E+14    0.1779E+14
    0.2040    0.2199   -0.1040    0.4110E+12    0.5069E+14    0.5111E+14    0.3330E+14    0.1781E+14
    0.2050    0.2210   -0.1050    0.4159E+12    0.5087E+14    0.5129E+14    0.3346E+14    0.1782E+14
    0.2060    0.2222   -0.1060    0.4208E+12    0.5105E+14    0.5147E+14    0.3363E+14    0.1784E+14
    0.2070    0.2233   -0.1070    0.4258E+12    0.5123E+14    0.5165E+14    0.3379E+14    0.1786E+14
    0.2080    0.2245   -0.1080    0.4308E+12    0.5140E+14    0.5183E+14    0.3395E+14    0.1788E+14
    0.2090    0.2256   -0.1090    0.4358E+12    0.5158E+14    0.5201E+14    0.3411E+14    0.1790E+14
    0.2100    0.2268   -0.1100    0.4408E+12    0.5175E+14    0.5219E+14    0.3427E+14    0.1792E+14
    0.2110    0.2279   -0.1110    0.4459E+12    0.5193E+14    0.5237E+14    0.3443E+14    0.1794E+14
    0.2120    0.2291   -0.1120    0.4510E+12    0.5210E+14    0.5255E+14    0.3459E+14    0.1796E+14
    0.2130    0.2302   -0.1130    0.4561E+12    0.5227E+14    0.5273E+14    0.3475E+14    0.1798E+14
    0.2140    0.2314   -0.1140    0.4613E+12    0.5244E+14    0.5291E+14    0.3491E+14    0.1800E+14
    0.2150    0.2325   -0.1150    0.4665E+12    0.5262E+14    0.5308E+14    0.3507E+14    0.1802E+14
    0.2160    0.2337   -0.1160    0.4717E+12    0.5279E+14    0.5326E+14    0.3522E+14    0.1804E+14
    0.2170    0.2348   -0.1170    0.4769E+12    0.5296E+14    0.5343E+14    0.3538E+14    0.1805E+14
    0.2180    0.2360   -0.1180    0.4822E+12    0.5312E+14    0.5361E+14    0.3553E+14    0.1807E+14
    0.2190    0.2371   -0.1190    0.4875E+12    0.5329E+14    0.5378E+14    0.3569E+14    0.1809E+14
    0.2200    0.2383   -0.1200    0.4928E+12    0.5346E+14    0.5395E+14    0.3584E+14    0.1811E+14
    0.2210    0.2394   -0.1210    0.4982E+12    0.5363E+14    0.5413E+14    0.3600E+14    0.1813E+14
    0.2220    0.2406   -0.1220    0.5035E+12    0.5380E+14    0.5430E+14    0.3615E+14    0.1815E+14
    0.2230    0.2417   -0.1230    0.5089E+12    0.5396E+14    0.5447E+14    0.3630E+14    0.1817E+14
    0.2240    0.2429   -0.1240    0.5143E+12    0.5413E+14    0.5464E+14    0.3646E+14    0.1818E+14
    0.2250    0.2440   -0.1250    0.5198E+12    0.5429E+14    0.5481E+14    0.3661E+14    0.1820E+14
    0.2260    0.2452   -0.1260    0.5252E+12    0.5445E+14    0.5498E+14    0.3676E+14    0.1822E+14
    0.2270    0.2463   -0.1270    0.5307E+12    0.5462E+14    0.5515E+14    0.3691E+14    0.1824E+14
    0.2280    0.2475   -0.1280    0.5362E+12    0.5478E+14    0.5532E+14    0.3706E+14    0.1826E+14
    0.2290    0.2486   -0.1290    0.5418E+12    0.5494E+14    0.5548E+14    0.3721E+14    0.1828E+14
    0.2300    0.2497   -0.1300    0.5474E+12    0.5510E+14    0.5565E+14    0.3736E+14    0.1829E+14
    0.2310    0.2509   -0.1310    0.5529E+12    0.5526E+14    0.5582E+14    0.3751E+14    0.1831E+14
    0.2320    0.2520   -0.1320    0.5586E+12    0.5542E+14    0.5598E+14    0.3765E+14    0.1833E+14
    0.2330    0.2532   -0.1330    0.5642E+12    0.5558E+14    0.5615E+14    0.3780E+14    0.1835E+14
    0.2340    0.2543   -0.1340    0.5699E+12    0.5574E+14    0.5631E+14    0.3795E+14    0.1837E+14
    0.2350    0.2555   -0.1350    0.5755E+12    0.5590E+14    0.5648E+14    0.3809E+14    0.1838E+14
    0.2360    0.2566   -0.1360    0.5813E+12    0.5606E+14    0.5664E+14    0.3824E+14    0.1840E+14
    0.2370    0.2578   -0.1370    0.5870E+12    0.5621E+14    0.5680E+14    0.3838E+14    0.1842E+14
    0.2380    0.2589   -0.1380    0.5927E+12    0.5637E+14    0.5696E+14    0.3853E+14    0.1844E+14
    0.2390    0.2601   -0.1390    0.5985E+12    0.5653E+14    0.5712E+14    0.3867E+14    0.1845E+14
    0.2400    0.2612   -0.1400    0.6043E+12    0.5668E+14    0.5728E+14    0.3881E+14    0.1847E+14
    0.2410    0.2624   -0.1410    0.6101E+12    0.5683E+14    0.5744E+14    0.3896E+14    0.1849E+14
    0.2420    0.2635   -0.1420    0.6159E+12    0.5699E+14    0.5760E+14    0.3910E+14    0.1851E+14
    0.2430    0.2646   -0.1430    0.6218E+12    0.5714E+14    0.5776E+14    0.3924E+14    0.1852E+14
    0.2440    0.2658   -0.1440    0.6276E+12    0.5729E+14    0.5792E+14    0.3938E+14    0.1854E+14
    0.2450    0.2669   -0.1450    0.6335E+12    0.5745E+14    0.5808E+14    0.3952E+14    0.1856E+14
