 STRAIN  AVACS  MODE1
   0.0000   3.8284   1.0000
   0.0100   3.7959   1.0000
   0.0200   3.7800   1.0000
   0.0300   3.7328   1.0000
   0.0400   3.7093   1.0000
   0.0500   3.6623   1.0000
   0.0600   3.5882   1.0000
   0.0700   3.5472   1.0000
   0.0800   3.5415   1.0000
   0.0900   3.4971   1.0000
   0.1000   3.4680   1.0000
   0.1100   3.4107   1.0000
   0.1200   3.3929   1.0000
   0.1300   3.3852   1.0000
   0.1400   3.3349   1.0000
   0.1500   3.3040   1.0000
   0.1600   3.2967   1.0000
   0.1700   3.2763   1.0000
   0.1800   3.2400   1.0000
   0.1900   3.1952   1.0000
   0.2000   3.1812   1.0000
   0.2100   3.1654   1.0000
   0.2200   3.1603   1.0000
   0.2300   3.1851   1.0000
   0.2400   3.2226   1.0000
   0.2500   3.2285   1.0000
   0.2600   3.2053   1.0000
   0.2700   3.2108   1.0000
   0.2800   3.2094   1.0000
   0.2900   3.2013   1.0000
   0.3000   3.2034   1.0000
