        EPSvm          Svm        SDEV1    SDEV2    SDEV3    SDEV4    SDEV5    SDEV6        DDEV1    DDEV2    DDEV3    DDEV4    DDEV5    DDEV6
  0.00000E+00  0.64309E+02        0.095    0.088    0.100    0.077    0.120    0.000        0.177    0.210    0.192    0.176    0.214    0.000
  0.99997E-02  0.74251E+02        0.090    0.087    0.103    0.079    0.120    0.000        0.163    0.201    0.193    0.177    0.212    0.000
  0.19999E-01  0.77874E+02        0.090    0.089    0.106    0.080    0.120    0.001        0.162    0.202    0.194    0.177    0.209    0.000
  0.29999E-01  0.79639E+02        0.091    0.092    0.109    0.081    0.119    0.001        0.160    0.202    0.194    0.177    0.206    0.000
  0.39999E-01  0.80699E+02        0.091    0.094    0.112    0.082    0.119    0.001        0.158    0.202    0.195    0.177    0.203    0.000
  0.49999E-01  0.81308E+02        0.091    0.096    0.115    0.083    0.119    0.001        0.155    0.201    0.196    0.176    0.199    0.000
  0.59999E-01  0.81698E+02        0.091    0.099    0.118    0.084    0.118    0.002        0.153    0.201    0.198    0.175    0.196    0.000
  0.69999E-01  0.81963E+02        0.091    0.101    0.121    0.084    0.118    0.002        0.150    0.200    0.199    0.174    0.193    0.000
  0.79998E-01  0.82092E+02        0.091    0.104    0.125    0.085    0.117    0.002        0.147    0.200    0.200    0.173    0.190    0.000
  0.89998E-01  0.82222E+02        0.091    0.106    0.129    0.085    0.117    0.002        0.144    0.199    0.201    0.171    0.187    0.000
  0.99998E-01  0.82286E+02        0.091    0.109    0.132    0.085    0.116    0.003        0.141    0.199    0.202    0.169    0.183    0.000
  0.11000E+00  0.82312E+02        0.091    0.112    0.136    0.085    0.115    0.003        0.139    0.198    0.203    0.167    0.180    0.000
  0.12000E+00  0.82312E+02        0.091    0.115    0.140    0.085    0.114    0.003        0.136    0.197    0.204    0.165    0.177    0.000
  0.13000E+00  0.82296E+02        0.091    0.118    0.144    0.085    0.113    0.003        0.133    0.197    0.205    0.163    0.174    0.000
  0.14000E+00  0.82268E+02        0.091    0.121    0.148    0.084    0.112    0.003        0.130    0.196    0.206    0.160    0.171    0.000
  0.15000E+00  0.82233E+02        0.091    0.124    0.153    0.084    0.111    0.004        0.128    0.195    0.208    0.158    0.167    0.000
  0.16000E+00  0.82195E+02        0.091    0.127    0.157    0.084    0.110    0.004        0.125    0.195    0.209    0.155    0.164    0.000
  0.17000E+00  0.82158E+02        0.091    0.131    0.161    0.083    0.109    0.004        0.123    0.194    0.210    0.152    0.161    0.000
  0.18000E+00  0.82122E+02        0.091    0.134    0.166    0.082    0.107    0.004        0.121    0.193    0.211    0.150    0.158    0.000
  0.19000E+00  0.82071E+02        0.091    0.137    0.170    0.081    0.106    0.005        0.119    0.192    0.213    0.148    0.156    0.000
  0.20000E+00  0.82071E+02        0.091    0.139    0.174    0.081    0.104    0.005        0.117    0.192    0.215    0.145    0.153    0.000
  0.21000E+00  0.82062E+02        0.091    0.142    0.179    0.080    0.103    0.005        0.116    0.191    0.216    0.144    0.151    0.000
  0.22000E+00  0.82009E+02        0.091    0.144    0.183    0.079    0.101    0.005        0.115    0.190    0.218    0.142    0.149    0.000
  0.23000E+00  0.82014E+02        0.091    0.147    0.187    0.079    0.099    0.005        0.114    0.189    0.220    0.141    0.146    0.000
  0.24000E+00  0.82057E+02        0.091    0.149    0.191    0.079    0.098    0.005        0.113    0.189    0.221    0.140    0.144    0.000
  0.25000E+00  0.82081E+02        0.092    0.152    0.195    0.078    0.096    0.006        0.112    0.188    0.223    0.140    0.143    0.000
  0.26000E+00  0.82102E+02        0.092    0.154    0.198    0.078    0.094    0.006        0.112    0.188    0.225    0.140    0.141    0.000
  0.27000E+00  0.82073E+02        0.092    0.155    0.202    0.077    0.093    0.006        0.112    0.188    0.226    0.140    0.140    0.000
  0.27999E+00  0.82179E+02        0.092    0.157    0.205    0.077    0.091    0.006        0.112    0.187    0.228    0.141    0.138    0.000
  0.28999E+00  0.82241E+02        0.092    0.159    0.208    0.077    0.089    0.006        0.112    0.187    0.230    0.141    0.137    0.000
  0.29999E+00  0.82287E+02        0.093    0.161    0.211    0.077    0.088    0.006        0.112    0.187    0.232    0.142    0.136    0.000
