text_01.dat                                                                     
poles     1  1  1
       phi     theta      int
  -185.000     0.810     0.000
  -175.000     0.810     0.000
  -165.000     0.810     0.000
  -155.000     0.810     0.000
  -145.000     0.810     0.000
  -135.000     0.810     0.000
  -125.000     0.810     0.000
  -115.000     0.810     0.000
  -105.000     0.810     0.000
   -95.000     0.810     0.000
   -85.000     0.810     0.000
   -75.000     0.810     0.000
   -65.000     0.810     0.000
   -55.000     0.810     0.000
   -45.000     0.810     0.000
   -35.000     0.810     0.000
   -25.000     0.810     0.000
   -15.000     0.810     0.000
    -5.000     0.810     0.000
     5.000     0.810     0.000
    15.000     0.810     0.000
    25.000     0.810     0.000
    35.000     0.810     0.000
    45.000     0.810     0.000
    55.000     0.810     0.000
    65.000     0.810     0.000
    75.000     0.810     0.000
    85.000     0.810     0.000
    95.000     0.810     0.000
   105.000     0.810     0.000
   115.000     0.810     0.000
   125.000     0.810     0.000
   135.000     0.810     0.000
   145.000     0.810     0.000
   155.000     0.810     0.000
   165.000     0.810     0.000
   175.000     0.810     0.000
   185.000     0.810     0.000
  -185.000    10.798     0.000
  -175.000    10.798     0.000
  -165.000    10.798     0.000
  -155.000    10.798     0.000
  -145.000    10.798     0.000
  -135.000    10.798     0.000
  -125.000    10.798     0.000
  -115.000    10.798     0.000
  -105.000    10.798     0.000
   -95.000    10.798     0.000
   -85.000    10.798     0.000
   -75.000    10.798     0.000
   -65.000    10.798     0.000
   -55.000    10.798     0.000
   -45.000    10.798     0.000
   -35.000    10.798     0.000
   -25.000    10.798     0.000
   -15.000    10.798     0.000
    -5.000    10.798     0.000
     5.000    10.798     0.000
    15.000    10.798     0.000
    25.000    10.798     0.000
    35.000    10.798     0.000
    45.000    10.798     0.000
    55.000    10.798     0.000
    65.000    10.798     0.000
    75.000    10.798     0.000
    85.000    10.798     0.000
    95.000    10.798     0.000
   105.000    10.798     0.000
   115.000    10.798     0.000
   125.000    10.798     0.000
   135.000    10.798     0.000
   145.000    10.798     0.000
   155.000    10.798     0.000
   165.000    10.798     0.000
   175.000    10.798     0.000
   185.000    10.798     0.000
  -185.000    19.719     0.000
  -175.000    19.719     0.000
  -165.000    19.719     0.000
  -155.000    19.719     0.000
  -145.000    19.719     0.000
  -135.000    19.719     0.005
  -125.000    19.719     0.237
  -115.000    19.719     1.336
  -105.000    19.719     4.419
   -95.000    19.719     9.016
   -85.000    19.719     9.220
   -75.000    19.719     3.326
   -65.000    19.719     0.785
   -55.000    19.719     0.120
   -45.000    19.719     0.015
   -35.000    19.719     0.000
   -25.000    19.719     0.000
   -15.000    19.719     0.000
    -5.000    19.719     0.000
     5.000    19.719     0.000
    15.000    19.719     0.000
    25.000    19.719     0.000
    35.000    19.719     0.000
    45.000    19.719     0.003
    55.000    19.719     0.238
    65.000    19.719     1.090
    75.000    19.719     3.225
    85.000    19.719     6.979
    95.000    19.719     7.470
   105.000    19.719     4.277
   115.000    19.719     1.099
   125.000    19.719     0.208
   135.000    19.719     0.075
   145.000    19.719     0.005
   155.000    19.719     0.000
   165.000    19.719     0.000
   175.000    19.719     0.000
   185.000    19.719     0.000
  -185.000    28.966     0.000
  -175.000    28.966     0.000
  -165.000    28.966     0.000
  -155.000    28.966     0.002
  -145.000    28.966     0.007
  -135.000    28.966     0.185
  -125.000    28.966     1.815
  -115.000    28.966     3.447
  -105.000    28.966     4.147
   -95.000    28.966     4.140
   -85.000    28.966     4.863
   -75.000    28.966     4.208
   -65.000    28.966     4.132
   -55.000    28.966     2.095
   -45.000    28.966     0.241
   -35.000    28.966     0.009
   -25.000    28.966     0.004
   -15.000    28.966     0.000
    -5.000    28.966     0.000
     5.000    28.966     0.000
    15.000    28.966     0.000
    25.000    28.966     0.004
    35.000    28.966     0.058
    45.000    28.966     0.473
    55.000    28.966     2.762
    65.000    28.966     3.804
    75.000    28.966     3.867
    85.000    28.966     3.988
    95.000    28.966     4.689
   105.000    28.966     4.860
   115.000    28.966     3.685
   125.000    28.966     2.173
   135.000    28.966     0.563
   145.000    28.966     0.048
   155.000    28.966     0.004
   165.000    28.966     0.000
   175.000    28.966     0.000
   185.000    28.966     0.000
  -185.000    38.303     0.000
  -175.000    38.303     0.000
  -165.000    38.303     0.000
  -155.000    38.303     0.068
  -145.000    38.303     0.576
  -135.000    38.303     1.518
  -125.000    38.303     1.814
  -115.000    38.303     2.432
  -105.000    38.303     1.484
   -95.000    38.303     1.113
   -85.000    38.303     1.250
   -75.000    38.303     1.832
   -65.000    38.303     3.624
   -55.000    38.303     3.268
   -45.000    38.303     1.233
   -35.000    38.303     0.419
   -25.000    38.303     0.134
   -15.000    38.303     0.000
    -5.000    38.303     0.000
     5.000    38.303     0.025
    15.000    38.303     0.048
    25.000    38.303     0.004
    35.000    38.303     0.373
    45.000    38.303     1.174
    55.000    38.303     1.740
    65.000    38.303     2.455
    75.000    38.303     1.708
    85.000    38.303     1.112
    95.000    38.303     1.186
   105.000    38.303     1.301
   115.000    38.303     2.785
   125.000    38.303     3.226
   135.000    38.303     1.755
   145.000    38.303     0.439
   155.000    38.303     0.012
   165.000    38.303     0.000
   175.000    38.303     0.000
   185.000    38.303     0.000
  -185.000    47.678     0.094
  -175.000    47.678     0.121
  -165.000    47.678     0.009
  -155.000    47.678     0.481
  -145.000    47.678     1.801
  -135.000    47.678     2.143
  -125.000    47.678     1.621
  -115.000    47.678     0.318
  -105.000    47.678     0.005
   -95.000    47.678     0.000
   -85.000    47.678     0.000
   -75.000    47.678     0.016
   -65.000    47.678     0.633
   -55.000    47.678     1.570
   -45.000    47.678     1.904
   -35.000    47.678     1.969
   -25.000    47.678     0.558
   -15.000    47.678     0.122
    -5.000    47.678     0.031
     5.000    47.678     0.078
    15.000    47.678     0.198
    25.000    47.678     0.686
    35.000    47.678     2.122
    45.000    47.678     2.155
    55.000    47.678     1.432
    65.000    47.678     0.279
    75.000    47.678     0.008
    85.000    47.678     0.000
    95.000    47.678     0.000
   105.000    47.678     0.012
   115.000    47.678     0.184
   125.000    47.678     0.951
   135.000    47.678     1.814
   145.000    47.678     1.445
   155.000    47.678     0.431
   165.000    47.678     0.040
   175.000    47.678     0.094
   185.000    47.678     0.121
  -185.000    57.071     0.158
  -175.000    57.071     0.222
  -165.000    57.071     0.869
  -155.000    57.071     2.770
  -145.000    57.071     1.316
  -135.000    57.071     0.443
  -125.000    57.071     0.188
  -115.000    57.071     0.000
  -105.000    57.071     0.000
   -95.000    57.071     0.000
   -85.000    57.071     0.000
   -75.000    57.071     0.000
   -65.000    57.071     0.015
   -55.000    57.071     0.069
   -45.000    57.071     0.648
   -35.000    57.071     1.835
   -25.000    57.071     2.274
   -15.000    57.071     0.737
    -5.000    57.071     0.433
     5.000    57.071     0.421
    15.000    57.071     1.190
    25.000    57.071     3.547
    35.000    57.071     1.807
    45.000    57.071     0.577
    55.000    57.071     0.211
    65.000    57.071     0.012
    75.000    57.071     0.000
    85.000    57.071     0.000
