text_01.dat                                                                     
poles     1  1  1
       phi     theta      int
  -185.000     0.810     4.466
  -175.000     0.810     4.466
  -165.000     0.810     4.466
  -155.000     0.810     4.466
  -145.000     0.810     4.466
  -135.000     0.810     4.466
  -125.000     0.810     4.466
  -115.000     0.810     4.466
  -105.000     0.810     4.466
   -95.000     0.810     4.466
   -85.000     0.810     4.466
   -75.000     0.810     4.466
   -65.000     0.810     4.466
   -55.000     0.810     4.466
   -45.000     0.810     4.466
   -35.000     0.810     4.466
   -25.000     0.810     4.466
   -15.000     0.810     4.466
    -5.000     0.810     4.466
     5.000     0.810     4.466
    15.000     0.810     4.466
    25.000     0.810     4.466
    35.000     0.810     4.466
    45.000     0.810     4.466
    55.000     0.810     4.466
    65.000     0.810     4.466
    75.000     0.810     4.466
    85.000     0.810     4.466
    95.000     0.810     4.466
   105.000     0.810     4.466
   115.000     0.810     4.466
   125.000     0.810     4.466
   135.000     0.810     4.466
   145.000     0.810     4.466
   155.000     0.810     4.466
   165.000     0.810     4.466
   175.000     0.810     4.466
   185.000     0.810     4.466
  -185.000    10.798     3.662
  -175.000    10.798     3.738
  -165.000    10.798     3.785
  -155.000    10.798     3.796
  -145.000    10.798     3.763
  -135.000    10.798     3.705
  -125.000    10.798     3.643
  -115.000    10.798     3.590
  -105.000    10.798     3.565
   -95.000    10.798     3.552
   -85.000    10.798     3.539
   -75.000    10.798     3.544
   -65.000    10.798     3.551
   -55.000    10.798     3.565
   -45.000    10.798     3.604
   -35.000    10.798     3.618
   -25.000    10.798     3.586
   -15.000    10.798     3.526
    -5.000    10.798     3.425
     5.000    10.798     3.305
    15.000    10.798     3.186
    25.000    10.798     3.043
    35.000    10.798     2.882
    45.000    10.798     2.731
    55.000    10.798     2.599
    65.000    10.798     2.516
    75.000    10.798     2.486
    85.000    10.798     2.484
    95.000    10.798     2.520
   105.000    10.798     2.589
   115.000    10.798     2.691
   125.000    10.798     2.841
   135.000    10.798     3.031
   145.000    10.798     3.235
   155.000    10.798     3.417
   165.000    10.798     3.557
   175.000    10.798     3.662
   185.000    10.798     3.738
  -185.000    19.719     2.013
  -175.000    19.719     2.043
  -165.000    19.719     2.004
  -155.000    19.719     1.910
  -145.000    19.719     1.783
  -135.000    19.719     1.653
  -125.000    19.719     1.538
  -115.000    19.719     1.452
  -105.000    19.719     1.396
   -95.000    19.719     1.372
   -85.000    19.719     1.384
   -75.000    19.719     1.425
   -65.000    19.719     1.500
   -55.000    19.719     1.600
   -45.000    19.719     1.703
   -35.000    19.719     1.796
   -25.000    19.719     1.853
   -15.000    19.719     1.854
    -5.000    19.719     1.798
     5.000    19.719     1.687
    15.000    19.719     1.535
    25.000    19.719     1.359
    35.000    19.719     1.183
    45.000    19.719     1.026
    55.000    19.719     0.898
    65.000    19.719     0.805
    75.000    19.719     0.751
    85.000    19.719     0.740
    95.000    19.719     0.766
   105.000    19.719     0.832
   115.000    19.719     0.940
   125.000    19.719     1.092
   135.000    19.719     1.287
   145.000    19.719     1.508
   155.000    19.719     1.727
   165.000    19.719     1.906
   175.000    19.719     2.013
   185.000    19.719     2.043
  -185.000    28.966     0.866
  -175.000    28.966     0.867
  -165.000    28.966     0.804
  -155.000    28.966     0.705
  -145.000    28.966     0.595
  -135.000    28.966     0.491
  -125.000    28.966     0.404
  -115.000    28.966     0.343
  -105.000    28.966     0.307
   -95.000    28.966     0.292
   -85.000    28.966     0.299
   -75.000    28.966     0.331
   -65.000    28.966     0.389
   -55.000    28.966     0.466
   -45.000    28.966     0.553
   -35.000    28.966     0.638
   -25.000    28.966     0.711
   -15.000    28.966     0.754
    -5.000    28.966     0.747
     5.000    28.966     0.682
    15.000    28.966     0.576
    25.000    28.966     0.459
    35.000    28.966     0.359
    45.000    28.966     0.284
    55.000    28.966     0.230
    65.000    28.966     0.194
    75.000    28.966     0.179
    85.000    28.966     0.186
    95.000    28.966     0.205
   105.000    28.966     0.227
   115.000    28.966     0.257
   125.000    28.966     0.309
   135.000    28.966     0.397
   145.000    28.966     0.521
   155.000    28.966     0.664
   165.000    28.966     0.791
   175.000    28.966     0.866
   185.000    28.966     0.867
  -185.000    38.303     0.431
  -175.000    38.303     0.426
  -165.000    38.303     0.392
  -155.000    38.303     0.348
  -145.000    38.303     0.299
  -135.000    38.303     0.246
  -125.000    38.303     0.202
  -115.000    38.303     0.177
  -105.000    38.303     0.167
   -95.000    38.303     0.161
   -85.000    38.303     0.157
   -75.000    38.303     0.161
   -65.000    38.303     0.178
   -55.000    38.303     0.205
   -45.000    38.303     0.238
   -35.000    38.303     0.282
   -25.000    38.303     0.338
   -15.000    38.303     0.388
    -5.000    38.303     0.406
     5.000    38.303     0.376
    15.000    38.303     0.310
    25.000    38.303     0.243
    35.000    38.303     0.205
    45.000    38.303     0.196
    55.000    38.303     0.198
    65.000    38.303     0.203
    75.000    38.303     0.224
    85.000    38.303     0.262
    95.000    38.303     0.286
   105.000    38.303     0.274
   115.000    38.303     0.241
   125.000    38.303     0.218
   135.000    38.303     0.224
   145.000    38.303     0.267
   155.000    38.303     0.335
   165.000    38.303     0.398
   175.000    38.303     0.431
   185.000    38.303     0.426
  -185.000    47.678     0.367
  -175.000    47.678     0.351
  -165.000    47.678     0.355
  -155.000    47.678     0.375
  -145.000    47.678     0.389
  -135.000    47.678     0.370
  -125.000    47.678     0.359
  -115.000    47.678     0.401
  -105.000    47.678     0.481
   -95.000    47.678     0.544
   -85.000    47.678     0.525
   -75.000    47.678     0.439
   -65.000    47.678     0.366
   -55.000    47.678     0.335
   -45.000    47.678     0.328
   -35.000    47.678     0.341
   -25.000    47.678     0.384
   -15.000    47.678     0.424
    -5.000    47.678     0.436
     5.000    47.678     0.428
    15.000    47.678     0.420
    25.000    47.678     0.427
    35.000    47.678     0.454
    45.000    47.678     0.494
    55.000    47.678     0.539
    65.000    47.678     0.601
    75.000    47.678     0.699
    85.000    47.678     0.798
    95.000    47.678     0.798
   105.000    47.678     0.682
   115.000    47.678     0.558
   125.000    47.678     0.477
   135.000    47.678     0.437
   145.000    47.678     0.437
   155.000    47.678     0.437
   165.000    47.678     0.405
   175.000    47.678     0.367
   185.000    47.678     0.351
  -185.000    57.071     0.578
  -175.000    57.071     0.561
  -165.000    57.071     0.626
  -155.000    57.071     0.706
  -145.000    57.071     0.765
  -135.000    57.071     0.762
  -125.000    57.071     0.781
  -115.000    57.071     0.955
  -105.000    57.071     1.268
   -95.000    57.071     1.533
   -85.000    57.071     1.473
   -75.000    57.071     1.143
   -65.000    57.071     0.854
   -55.000    57.071     0.738
   -45.000    57.071     0.712
   -35.000    57.071     0.712
   -25.000    57.071     0.740
   -15.000    57.071     0.742
    -5.000    57.071     0.725
     5.000    57.071     0.748
    15.000    57.071     0.844
    25.000    57.071     0.984
    35.000    57.071     1.099
    45.000    57.071     1.135
    55.000    57.071     1.150
    65.000    57.071     1.253
    75.000    57.071     1.459
    85.000    57.071     1.649
    95.000    57.071     1.611
   105.000    57.071     1.351
   115.000    57.071     1.134
   125.000    57.071     1.031
   135.000    57.071     0.979
   145.000    57.071     0.953
   155.000    57.071     0.864
   165.000    57.071     0.703
   175.000    57.071     0.578
   185.000    57.071     0.561
  -185.000    66.474     0.915
  -175.000    66.474     0.891
  -165.000    66.474     1.013
  -155.000    66.474     1.140
  -145.000    66.474     1.239
  -135.000    66.474     1.250
  -125.000    66.474     1.269
  -115.000    66.474     1.494
  -105.000    66.474     1.897
   -95.000    66.474     2.246
   -85.000    66.474     2.161
   -75.000    66.474     1.690
   -65.000    66.474     1.287
   -55.000    66.474     1.154
   -45.000    66.474     1.154
   -35.000    66.474     1.173
   -25.000    66.474     1.176
   -15.000    66.474     1.095
    -5.000    66.474     1.048
     5.000    66.474     1.116
    15.000    66.474     1.296
    25.000    66.474     1.540
    35.000    66.474     1.646
    45.000    66.474     1.535
    55.000    66.474     1.398
    65.000    66.474     1.412
    75.000    66.474     1.575
    85.000    66.474     1.748
    95.000    66.474     1.737
   105.000    66.474     1.545
   115.000    66.474     1.421
   125.000    66.474     1.414
   135.000    66.474     1.467
   145.000    66.474     1.511
   155.000    66.474     1.380
   165.000    66.474     1.123
   175.000    66.474     0.915
   185.000    66.474     0.891
  -185.000    75.882     1.059
  -175.000    75.882     1.013
  -165.000    75.882     1.180
  -155.000    75.882     1.329
  -145.000    75.882     1.414
  -135.000    75.882     1.375
  -125.000    75.882     1.294
  -115.000    75.882     1.340
  -105.000    75.882     1.492
   -95.000    75.882     1.659
   -85.000    75.882     1.628
   -75.000    75.882     1.370
   -65.000    75.882     1.160
   -55.000    75.882     1.162
   -45.000    75.882     1.262
   -35.000    75.882     1.383
   -25.000    75.882     1.418
   -15.000    75.882     1.240
    -5.000    75.882     1.125
     5.000    75.882     1.210
    15.000    75.882     1.410
    25.000    75.882     1.623
    35.000    75.882     1.574
    45.000    75.882     1.269
    55.000    75.882     1.004
    65.000    75.882     0.887
    75.000    75.882     0.897
    85.000    75.882     0.958
    95.000    75.882     0.980
   105.000    75.882     0.975
   115.000    75.882     1.024
   125.000    75.882     1.169
   135.000    75.882     1.433
   145.000    75.882     1.667
   155.000    75.882     1.621
   165.000    75.882     1.341
   175.000    75.882     1.059
   185.000    75.882     1.013
  -185.000    85.294     0.932
  -175.000    85.294     0.909
  -165.000    85.294     1.093
  -155.000    85.294     1.198
  -145.000    85.294     1.138
  -135.000    85.294     0.964
  -125.000    85.294     0.781
  -115.000    85.294     0.662
  -105.000    85.294     0.605
   -95.000    85.294     0.612
   -85.000    85.294     0.620
   -75.000    85.294     0.591
   -65.000    85.294     0.607
   -55.000    85.294     0.760
   -45.000    85.294     0.997
   -35.000    85.294     1.264
   -25.000    85.294     1.383
   -15.000    85.294     1.177
    -5.000    85.294     0.957
     5.000    85.294     0.993
    15.000    85.294     1.177
    25.000    85.294     1.287
    35.000    85.294     1.136
    45.000    85.294     0.829
    55.000    85.294     0.589
    65.000    85.294     0.441
    75.000    85.294     0.369
    85.000    85.294     0.360
    95.000    85.294     0.377
   105.000    85.294     0.414
   115.000    85.294     0.501
   125.000    85.294     0.702
   135.000    85.294     1.034
   145.000    85.294     1.364
   155.000    85.294     1.453
   165.000    85.294     1.219
   175.000    85.294     0.932
   185.000    85.294     0.909
  -185.000    94.706     0.957
  -175.000    94.706     0.993
  -165.000    94.706     1.177
  -155.000    94.706     1.287
  -145.000    94.706     1.136
  -135.000    94.706     0.829
  -125.000    94.706     0.589
  -115.000    94.706     0.441
  -105.000    94.706     0.369
   -95.000    94.706     0.360
   -85.000    94.706     0.377
   -75.000    94.706     0.414
   -65.000    94.706     0.501
   -55.000    94.706     0.702
   -45.000    94.706     1.034
   -35.000    94.706     1.364
   -25.000    94.706     1.453
   -15.000    94.706     1.219
    -5.000    94.706     0.932
     5.000    94.706     0.909
    15.000    94.706     1.093
    25.000    94.706     1.198
    35.000    94.706     1.138
    45.000    94.706     0.964
    55.000    94.706     0.781
    65.000    94.706     0.662
    75.000    94.706     0.605
    85.000    94.706     0.612
    95.000    94.706     0.620
   105.000    94.706     0.591
   115.000    94.706     0.607
   125.000    94.706     0.760
   135.000    94.706     0.997
   145.000    94.706     1.264
   155.000    94.706     1.383
   165.000    94.706     1.177
   175.000    94.706     0.957
   185.000    94.706     0.993
text_02.dat                                                                     
poles     1  1  1
       phi     theta      int
  -185.000     0.810     3.969
  -175.000     0.810     3.969
  -165.000     0.810     3.969
  -155.000     0.810     3.969
  -145.000     0.810     3.969
  -135.000     0.810     3.969
  -125.000     0.810     3.969
  -115.000     0.810     3.969
  -105.000     0.810     3.969
   -95.000     0.810     3.969
   -85.000     0.810     3.969
   -75.000     0.810     3.969
   -65.000     0.810     3.969
   -55.000     0.810     3.969
   -45.000     0.810     3.969
   -35.000     0.810     3.969
   -25.000     0.810     3.969
   -15.000     0.810     3.969
    -5.000     0.810     3.969
     5.000     0.810     3.969
    15.000     0.810     3.969
    25.000     0.810     3.969
    35.000     0.810     3.969
    45.000     0.810     3.969
    55.000     0.810     3.969
    65.000     0.810     3.969
    75.000     0.810     3.969
    85.000     0.810     3.969
    95.000     0.810     3.969
   105.000     0.810     3.969
   115.000     0.810     3.969
   125.000     0.810     3.969
   135.000     0.810     3.969
   145.000     0.810     3.969
   155.000     0.810     3.969
   165.000     0.810     3.969
   175.000     0.810     3.969
   185.000     0.810     3.969
  -185.000    10.798     3.355
  -175.000    10.798     3.366
  -165.000    10.798     4.167
  -155.000    10.798     4.119
  -145.000    10.798     4.131
  -135.000    10.798     3.478
  -125.000    10.798     3.270
  -115.000    10.798     3.306
  -105.000    10.798     2.586
   -95.000    10.798     2.858
   -85.000    10.798     3.032
   -75.000    10.798     3.360
   -65.000    10.798     3.838
   -55.000    10.798     4.268
   -45.000    10.798     4.088
   -35.000    10.798     3.080
   -25.000    10.798     2.560
   -15.000    10.798     2.798
    -5.000    10.798     2.964
     5.000    10.798     2.800
    15.000    10.798     2.829
    25.000    10.798     2.482
    35.000    10.798     2.628
    45.000    10.798     2.712
    55.000    10.798     2.550
    65.000    10.798     2.765
    75.000    10.798     2.793
    85.000    10.798     2.402
    95.000    10.798     2.257
   105.000    10.798     2.022
   115.000    10.798     2.241
   125.000    10.798     2.201
   135.000    10.798     2.612
   145.000    10.798     2.613
   155.000    10.798     3.175
   165.000    10.798     3.443
   175.000    10.798     3.355
   185.000    10.798     3.366
  -185.000    19.719     2.201
  -175.000    19.719     2.157
  -165.000    19.719     1.988
  -155.000    19.719     1.705
  -145.000    19.719     1.875
  -135.000    19.719     1.643
  -125.000    19.719     1.984
  -115.000    19.719     1.454
  -105.000    19.719     1.239
   -95.000    19.719     1.258
   -85.000    19.719     1.493
   -75.000    19.719     1.475
   -65.000    19.719     1.586
   -55.000    19.719     1.781
   -45.000    19.719     1.830
   -35.000    19.719     1.545
   -25.000    19.719     1.832
   -15.000    19.719     1.686
    -5.000    19.719     1.687
     5.000    19.719     1.485
    15.000    19.719     1.315
    25.000    19.719     1.238
    35.000    19.719     1.290
    45.000    19.719     1.083
    55.000    19.719     1.086
    65.000    19.719     1.135
    75.000    19.719     0.849
    85.000    19.719     0.798
    95.000    19.719     0.731
   105.000    19.719     0.667
   115.000    19.719     1.177
   125.000    19.719     1.193
   135.000    19.719     1.298
   145.000    19.719     1.749
   155.000    19.719     1.703
   165.000    19.719     1.759
   175.000    19.719     2.201
   185.000    19.719     2.157
  -185.000    28.966     0.933
  -175.000    28.966     0.845
