text_01.dat                                                                     
poles     0  0  1
       phi     theta      int
  -185.000     0.810     2.321
  -175.000     0.810     2.321
  -165.000     0.810     2.321
  -155.000     0.810     2.321
  -145.000     0.810     2.321
  -135.000     0.810     2.321
  -125.000     0.810     2.321
  -115.000     0.810     2.321
  -105.000     0.810     2.321
   -95.000     0.810     2.321
   -85.000     0.810     2.321
   -75.000     0.810     2.321
   -65.000     0.810     2.321
   -55.000     0.810     2.321
   -45.000     0.810     2.321
   -35.000     0.810     2.321
   -25.000     0.810     2.321
   -15.000     0.810     2.321
    -5.000     0.810     2.321
     5.000     0.810     2.321
    15.000     0.810     2.321
    25.000     0.810     2.321
    35.000     0.810     2.321
    45.000     0.810     2.321
    55.000     0.810     2.321
    65.000     0.810     2.321
    75.000     0.810     2.321
    85.000     0.810     2.321
    95.000     0.810     2.321
   105.000     0.810     2.321
   115.000     0.810     2.321
   125.000     0.810     2.321
   135.000     0.810     2.321
   145.000     0.810     2.321
   155.000     0.810     2.321
   165.000     0.810     2.321
   175.000     0.810     2.321
   185.000     0.810     2.321
  -185.000    10.798     3.175
  -175.000    10.798     3.174
  -165.000    10.798     3.173
  -155.000    10.798     3.170
  -145.000    10.798     3.166
  -135.000    10.798     3.163
  -125.000    10.798     3.162
  -115.000    10.798     3.165
  -105.000    10.798     3.176
   -95.000    10.798     3.196
   -85.000    10.798     3.224
   -75.000    10.798     3.262
   -65.000    10.798     3.310
   -55.000    10.798     3.367
   -45.000    10.798     3.431
   -35.000    10.798     3.499
   -25.000    10.798     3.567
   -15.000    10.798     3.630
    -5.000    10.798     3.685
     5.000    10.798     3.725
    15.000    10.798     3.745
    25.000    10.798     3.743
    35.000    10.798     3.722
    45.000    10.798     3.685
    55.000    10.798     3.633
    65.000    10.798     3.570
    75.000    10.798     3.501
    85.000    10.798     3.434
    95.000    10.798     3.373
   105.000    10.798     3.319
   115.000    10.798     3.272
   125.000    10.798     3.234
   135.000    10.798     3.209
   145.000    10.798     3.192
   155.000    10.798     3.182
   165.000    10.798     3.177
   175.000    10.798     3.175
   185.000    10.798     3.174
  -185.000    19.719     3.361
  -175.000    19.719     3.354
  -165.000    19.719     3.345
  -155.000    19.719     3.332
  -145.000    19.719     3.319
  -135.000    19.719     3.311
  -125.000    19.719     3.307
  -115.000    19.719     3.311
  -105.000    19.719     3.329
   -95.000    19.719     3.367
   -85.000    19.719     3.428
   -75.000    19.719     3.507
   -65.000    19.719     3.606
   -55.000    19.719     3.727
   -45.000    19.719     3.869
   -35.000    19.719     4.025
   -25.000    19.719     4.186
   -15.000    19.719     4.345
    -5.000    19.719     4.487
     5.000    19.719     4.595
    15.000    19.719     4.651
    25.000    19.719     4.649
    35.000    19.719     4.601
    45.000    19.719     4.516
    55.000    19.719     4.395
    65.000    19.719     4.244
    75.000    19.719     4.084
    85.000    19.719     3.931
    95.000    19.719     3.793
   105.000    19.719     3.668
   115.000    19.719     3.564
   125.000    19.719     3.488
   135.000    19.719     3.437
   145.000    19.719     3.403
   155.000    19.719     3.382
   165.000    19.719     3.368
   175.000    19.719     3.361
   185.000    19.719     3.354
  -185.000    28.966     2.673
  -175.000    28.966     2.665
  -165.000    28.966     2.652
  -155.000    28.966     2.638
  -145.000    28.966     2.627
  -135.000    28.966     2.624
  -125.000    28.966     2.627
  -115.000    28.966     2.638
  -105.000    28.966     2.666
   -95.000    28.966     2.712
   -85.000    28.966     2.779
   -75.000    28.966     2.864
   -65.000    28.966     2.967
   -55.000    28.966     3.095
   -45.000    28.966     3.248
   -35.000    28.966     3.429
   -25.000    28.966     3.627
   -15.000    28.966     3.838
    -5.000    28.966     4.041
     5.000    28.966     4.201
    15.000    28.966     4.290
    25.000    28.966     4.303
    35.000    28.966     4.251
    45.000    28.966     4.143
    55.000    28.966     3.994
    65.000    28.966     3.810
    75.000    28.966     3.612
    85.000    28.966     3.420
    95.000    28.966     3.238
   105.000    28.966     3.076
   115.000    28.966     2.944
   125.000    28.966     2.845
   135.000    28.966     2.772
   145.000    28.966     2.727
   155.000    28.966     2.698
   165.000    28.966     2.682
   175.000    28.966     2.673
   185.000    28.966     2.665
  -185.000    38.303     1.542
  -175.000    38.303     1.532
  -165.000    38.303     1.529
  -155.000    38.303     1.532
  -145.000    38.303     1.544
  -135.000    38.303     1.567
  -125.000    38.303     1.599
  -115.000    38.303     1.637
  -105.000    38.303     1.687
   -95.000    38.303     1.741
   -85.000    38.303     1.801
   -75.000    38.303     1.866
   -65.000    38.303     1.931
   -55.000    38.303     2.002
   -45.000    38.303     2.086
   -35.000    38.303     2.199
   -25.000    38.303     2.343
   -15.000    38.303     2.517
    -5.000    38.303     2.700
     5.000    38.303     2.859
    15.000    38.303     2.967
    25.000    38.303     3.011
    35.000    38.303     2.996
    45.000    38.303     2.930
    55.000    38.303     2.823
    65.000    38.303     2.687
    75.000    38.303     2.533
    85.000    38.303     2.376
    95.000    38.303     2.215
   105.000    38.303     2.063
   115.000    38.303     1.931
   125.000    38.303     1.815
   135.000    38.303     1.722
   145.000    38.303     1.654
   155.000    38.303     1.601
   165.000    38.303     1.565
   175.000    38.303     1.542
   185.000    38.303     1.532
  -185.000    47.678     0.587
  -175.000    47.678     0.581
  -165.000    47.678     0.591
  -155.000    47.678     0.602
  -145.000    47.678     0.626
  -135.000    47.678     0.671
  -125.000    47.678     0.723
  -115.000    47.678     0.775
  -105.000    47.678     0.824
   -95.000    47.678     0.866
   -85.000    47.678     0.907
   -75.000    47.678     0.948
   -65.000    47.678     0.968
   -55.000    47.678     0.969
   -45.000    47.678     0.958
   -35.000    47.678     0.963
   -25.000    47.678     1.002
   -15.000    47.678     1.079
    -5.000    47.678     1.178
     5.000    47.678     1.287
    15.000    47.678     1.379
    25.000    47.678     1.440
    35.000    47.678     1.473
    45.000    47.678     1.479
    55.000    47.678     1.460
    65.000    47.678     1.414
    75.000    47.678     1.350
    85.000    47.678     1.271
    95.000    47.678     1.183
   105.000    47.678     1.077
   115.000    47.678     0.965
