   STRAIN    AVACS    MODE1
   0.0000   3.4939   1.0000
   0.0200   3.4825   1.0000
   0.0400   3.4892   1.0000
   0.0600   3.5095   1.0000
   0.0800   3.5377   1.0000
   0.1000   3.5337   1.0000
   0.1200   3.5414   1.0000
   0.1400   3.5512   1.0000
   0.1600   3.5375   1.0000
   0.1800   3.5471   1.0000
   0.2000   3.5027   1.0000
   0.2200   3.4966   1.0000
   0.2400   3.4671   1.0000
   0.2600   3.4446   1.0000
   0.2800   3.4226   1.0000
   0.3000   3.4108   1.0000
   0.3200   3.3873   1.0000
   0.3400   3.3706   1.0000
   0.3600   3.3489   1.0000
   0.3800   3.3240   1.0000
   0.4000   3.3215   1.0000
   0.4200   3.3391   1.0000
   0.4400   3.3104   1.0000
   0.4600   3.3000   1.0000
   0.4800   3.3166   1.0000
   0.5000   3.3136   1.0000
   0.5200   3.3028   1.0000
   0.5400   3.2523   1.0000
   0.5600   3.2404   1.0000
   0.5800   3.2009   1.0000
   0.6000   3.1846   1.0000
   0.6200   3.1860   1.0000
   0.6400   3.1629   1.0000
   0.6600   3.1677   1.0000
   0.6800   3.1405   1.0000
   0.7000   3.1293   1.0000
   0.7200   3.1266   1.0000
   0.7400   3.1042   1.0000
   0.7600   3.1017   1.0000
   0.7800   3.0868   1.0000
   0.8000   3.0882   1.0000
   0.8200   3.0599   1.0000
   0.8400   3.0540   1.0000
   0.8600   3.0544   1.0000
   0.8800   3.0571   1.0000
   0.9000   3.0385   1.0000
   0.9200   3.0251   1.0000
   0.9400   3.0152   1.0000
   0.9600   3.0097   1.0000
   0.9800   2.9894   1.0000
   1.0000   2.9719   1.0000
