          S1          S2          D1          D2      angS      angD      angN
 -0.3205E+00  0.5639E+01  0.5245E-05  0.1773E+00     93.25     90.00     92.70
 -0.1648E+00  0.5642E+01  0.1554E-01  0.1777E+00     91.67     85.00     88.94
  0.9983E-02  0.5632E+01  0.3129E-01  0.1775E+00     89.90     80.00     84.88
  0.2238E+00  0.5604E+01  0.4731E-01  0.1766E+00     87.71     75.00     80.18
  0.5364E+00  0.5530E+01  0.6357E-01  0.1747E+00     84.46     70.00     74.28
  0.1169E+01  0.5287E+01  0.7995E-01  0.1715E+00     77.53     65.00     67.06
  0.2855E+01  0.4384E+01  0.9571E-01  0.1658E+00     56.93     60.00     59.46
  0.3862E+01  0.3753E+01  0.1084E+00  0.1549E+00     44.18     55.00     54.47
  0.4172E+01  0.3522E+01  0.1195E+00  0.1424E+00     40.17     50.00     51.17
  0.4381E+01  0.3344E+01  0.1294E+00  0.1294E+00     37.35     45.00     47.32
  0.4536E+01  0.3192E+01  0.1386E+00  0.1163E+00     35.13     40.00     43.13
  0.4659E+01  0.3051E+01  0.1472E+00  0.1030E+00     33.21     35.00     38.64
  0.4763E+01  0.2909E+01  0.1552E+00  0.8961E-01     31.41     30.00     33.99
  0.4856E+01  0.2759E+01  0.1628E+00  0.7591E-01     29.60     25.00     29.42
  0.4944E+01  0.2587E+01  0.1699E+00  0.6185E-01     27.62     20.00     24.30
  0.5038E+01  0.2336E+01  0.1766E+00  0.4731E-01     24.88     15.00     18.60
  0.5200E+01  0.1655E+01  0.1821E+00  0.3208E-01     17.66      9.99     11.03
  0.5333E+01  0.6608E+00  0.1855E+00  0.1623E-01      7.06      5.00      4.95
  0.5370E+01 -0.5715E+00  0.1862E+00  0.2261E-05     -6.07      0.00     -1.60
  0.5305E+01 -0.1477E+01  0.1840E+00 -0.1609E-01    -15.56     -5.00     -6.21
  0.5242E+01 -0.1967E+01  0.1789E+00 -0.3154E-01    -20.57    -10.00     -8.97
  0.5178E+01 -0.2323E+01  0.1724E+00 -0.4618E-01    -24.17    -14.99    -11.59
  0.5112E+01 -0.2614E+01  0.1649E+00 -0.6001E-01    -27.09    -19.99    -15.33
  0.5037E+01 -0.2853E+01  0.1571E+00 -0.7322E-01    -29.52    -24.99    -20.76
  0.4954E+01 -0.3044E+01  0.1490E+00 -0.8602E-01    -31.57    -30.00    -26.34
  0.4863E+01 -0.3208E+01  0.1407E+00 -0.9848E-01    -33.41    -35.00    -31.46
  0.4756E+01 -0.3367E+01  0.1319E+00 -0.1108E+00    -35.30    -40.03    -37.04
  0.4609E+01 -0.3539E+01  0.1227E+00 -0.1228E+00    -37.51    -45.03    -42.94
  0.4398E+01 -0.3742E+01  0.1129E+00 -0.1346E+00    -40.39    -50.00    -48.44
  0.3972E+01 -0.4067E+01  0.1022E+00 -0.1461E+00    -45.68    -55.01    -54.38
