 ANGLE     YOUNG     LANKF       D(1,1)    D(2,2)    D(3,3)    D(1,2)       S(1,1)    S(1,2)
   0.0     224.2      1.26       0.8165   -0.4547   -0.3618    0.0000        7.455     0.003     2.976
  10.0     220.6      1.20       0.8165   -0.4459   -0.3706    0.0000        7.459    -0.138     2.979
  20.0     210.4      1.16       0.8165   -0.4389   -0.3776    0.0000        7.434    -0.254     2.971
  30.0     199.5      1.42       0.8165   -0.4794   -0.3371    0.0000        7.289    -0.337     2.901
  40.0     192.9      1.94       0.8165   -0.5384   -0.2781    0.0000        7.069    -0.131     2.781
  50.0     193.0      2.19       0.8165   -0.5607   -0.2558    0.0000        7.008     0.221     2.740
  60.0     199.9      2.09       0.8165   -0.5527   -0.2638    0.0000        7.153     0.297     2.803
  70.0     211.7      1.57       0.8165   -0.4984   -0.3181    0.0000        7.358     0.304     2.919
  80.0     223.7      1.32       0.8165   -0.4643   -0.3522    0.0000        7.627     0.265     3.041
  90.0     229.3      1.28       0.8165   -0.4579   -0.3586    0.0000        7.749     0.041     3.092
