 STRAIN  AVACS  MODE1
   0.0000   3.8284   1.0000
   0.0100   3.7827   1.0000
   0.0200   3.7616   1.0000
   0.0300   3.7281   1.0000
   0.0400   3.6974   1.0000
   0.0500   3.6539   1.0000
   0.0600   3.6012   1.0000
   0.0700   3.5596   1.0000
   0.0800   3.5366   1.0000
   0.0900   3.4915   1.0000
   0.1000   3.4546   1.0000
   0.1100   3.4089   1.0000
   0.1200   3.3896   1.0000
   0.1300   3.3724   1.0000
   0.1400   3.3326   1.0000
   0.1500   3.3012   1.0000
   0.1600   3.3141   1.0000
   0.1700   3.2847   1.0000
   0.1800   3.2526   1.0000
   0.1900   3.2258   1.0000
   0.2000   3.1984   1.0000
   0.2100   3.1785   1.0000
   0.2200   3.1756   1.0000
   0.2300   3.1990   1.0000
   0.2400   3.2498   1.0000
   0.2500   3.2483   1.0000
   0.2600   3.2258   1.0000
   0.2700   3.2268   1.0000
   0.2800   3.2213   1.0000
   0.2900   3.2103   1.0000
   0.3000   3.2308   1.0000
