          Evm          Svm          E11          E22          E33          E23          E13          E12             SCAU11       SCAU22       SCAU33       SCAU23       SCAU13       SCAU12      TEMP      TIME    TAYLAV      WORKAV
  0.00000E+00  0.26041E+01     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.00000E+00 -0.40155E-01  0.00000E+00 -0.21678E-01  0.16773E-01  0.15031E+01      298.      0.00     2.126  0.6630E-01
  0.28859E-01  0.27835E+01    -0.20496E-03  0.00000E+00  0.20496E-03  0.00000E+00  0.00000E+00  0.25000E-01     0.00000E+00 -0.50184E-01  0.00000E+00 -0.21196E-01  0.19744E-01  0.16065E+01      298.      0.05     2.127  0.1372E+00
  0.57717E-01  0.29624E+01    -0.38851E-03  0.00000E+00  0.38851E-03  0.00000E+00  0.00000E+00  0.50000E-01     0.00000E+00 -0.75340E-01  0.00000E+00 -0.20495E-01  0.22252E-01  0.17095E+01      298.      0.10     2.127  0.2126E+00
  0.86571E-01  0.31420E+01    -0.56902E-03  0.00000E+00  0.56902E-03  0.00000E+00  0.00000E+00  0.75000E-01     0.00000E+00 -0.11108E+00  0.00000E+00 -0.19439E-01  0.24088E-01  0.18126E+01      298.      0.15     2.128  0.2925E+00
  0.11542E+00  0.33210E+01    -0.75838E-03  0.00000E+00  0.75838E-03  0.00000E+00  0.00000E+00  0.10000E+00     0.00000E+00 -0.15299E+00  0.00000E+00 -0.17321E-01  0.25404E-01  0.19151E+01      298.      0.20     2.127  0.3770E+00
  0.14425E+00  0.34988E+01    -0.95761E-03  0.00000E+00  0.95761E-03  0.00000E+00  0.00000E+00  0.12500E+00     0.00000E+00 -0.20109E+00  0.00000E+00 -0.15017E-01  0.26605E-01  0.20164E+01      298.      0.25     2.126  0.4660E+00
  0.17307E+00  0.36755E+01    -0.11761E-02  0.00000E+00  0.11761E-02  0.00000E+00  0.00000E+00  0.15000E+00     0.00000E+00 -0.25938E+00  0.00000E+00 -0.12623E-01  0.28584E-01  0.21165E+01      298.      0.30     2.124  0.5594E+00
  0.20186E+00  0.38528E+01    -0.14374E-02  0.00000E+00  0.14374E-02  0.00000E+00  0.00000E+00  0.17500E+00     0.00000E+00 -0.32559E+00  0.00000E+00 -0.10910E-01  0.31424E-01  0.22162E+01      298.      0.35     2.121  0.6573E+00
  0.23062E+00  0.40299E+01    -0.17533E-02  0.00000E+00  0.17533E-02  0.00000E+00  0.00000E+00  0.20000E+00     0.00000E+00 -0.39602E+00  0.00000E+00 -0.95768E-02  0.34808E-01  0.23151E+01      298.      0.40     2.118  0.7598E+00
  0.25934E+00  0.42064E+01    -0.21215E-02  0.00000E+00  0.21215E-02  0.00000E+00  0.00000E+00  0.22500E+00     0.00000E+00 -0.46875E+00  0.00000E+00 -0.80876E-02  0.38118E-01  0.24131E+01      298.      0.45     2.115  0.8667E+00
  0.28803E+00  0.43823E+01    -0.25362E-02  0.00000E+00  0.25362E-02  0.00000E+00  0.00000E+00  0.25000E+00     0.00000E+00 -0.54175E+00  0.00000E+00 -0.50815E-02  0.41381E-01  0.25104E+01      298.      0.50     2.111  0.9780E+00
  0.31667E+00  0.45566E+01    -0.29913E-02  0.00000E+00  0.29913E-02  0.00000E+00  0.00000E+00  0.27500E+00     0.00000E+00 -0.61319E+00  0.00000E+00  0.99908E-04  0.44596E-01  0.26064E+01      298.      0.55     2.106  0.1094E+01
  0.34527E+00  0.47320E+01    -0.34840E-02  0.00000E+00  0.34840E-02  0.00000E+00  0.00000E+00  0.30000E+00     0.00000E+00 -0.68531E+00  0.00000E+00  0.56904E-02  0.48212E-01  0.27028E+01      298.      0.60     2.103  0.1213E+01
  0.37383E+00  0.49069E+01    -0.40083E-02  0.00000E+00  0.40083E-02  0.00000E+00  0.00000E+00  0.32500E+00     0.00000E+00 -0.75829E+00  0.00000E+00  0.10119E-01  0.52607E-01  0.27985E+01      298.      0.65     2.099  0.1338E+01
  0.40234E+00  0.50813E+01    -0.45591E-02  0.00000E+00  0.45591E-02  0.00000E+00  0.00000E+00  0.35000E+00     0.00000E+00 -0.83291E+00  0.00000E+00  0.13004E-01  0.57569E-01  0.28934E+01      298.      0.70     2.095  0.1466E+01
  0.43082E+00  0.52542E+01    -0.51306E-02  0.00000E+00  0.51306E-02  0.00000E+00  0.00000E+00  0.37500E+00     0.00000E+00 -0.90652E+00  0.00000E+00  0.15015E-01  0.61918E-01  0.29874E+01      298.      0.75     2.090  0.1599E+01
  0.45924E+00  0.54266E+01    -0.57196E-02  0.00000E+00  0.57196E-02  0.00000E+00  0.00000E+00  0.40000E+00     0.00000E+00 -0.97887E+00  0.00000E+00  0.15503E-01  0.65475E-01  0.30809E+01      298.      0.80     2.086  0.1736E+01
  0.48763E+00  0.55986E+01    -0.63199E-02  0.00000E+00  0.63199E-02  0.00000E+00  0.00000E+00  0.42500E+00     0.00000E+00 -0.10451E+01  0.00000E+00  0.15066E-01  0.69516E-01  0.31747E+01      298.      0.85     2.082  0.1877E+01
  0.51598E+00  0.57703E+01    -0.69221E-02  0.00000E+00  0.69221E-02  0.00000E+00  0.00000E+00  0.45000E+00     0.00000E+00 -0.11094E+01  0.00000E+00  0.14287E-01  0.74112E-01  0.32684E+01      298.      0.90     2.079  0.2022E+01
  0.54431E+00  0.59396E+01    -0.75225E-02  0.00000E+00  0.75225E-02  0.00000E+00  0.00000E+00  0.47500E+00     0.00000E+00 -0.11755E+01  0.00000E+00  0.13576E-01  0.79537E-01  0.33605E+01      298.      0.95     2.074  0.2172E+01
  0.57259E+00  0.61095E+01    -0.81228E-02  0.00000E+00  0.81228E-02  0.00000E+00  0.00000E+00  0.50000E+00     0.00000E+00 -0.12419E+01  0.00000E+00  0.13812E-01  0.84996E-01  0.34526E+01      298.      1.00     2.070  0.2326E+01
  0.60085E+00  0.62782E+01    -0.87204E-02  0.00000E+00  0.87204E-02  0.00000E+00  0.00000E+00  0.52500E+00     0.00000E+00 -0.13076E+01  0.00000E+00  0.15347E-01  0.90201E-01  0.35440E+01      298.      1.05     2.066  0.2483E+01
  0.62907E+00  0.64462E+01    -0.93103E-02  0.00000E+00  0.93103E-02  0.00000E+00  0.00000E+00  0.55000E+00     0.00000E+00 -0.13698E+01  0.00000E+00  0.17493E-01  0.95365E-01  0.36354E+01      298.      1.10     2.063  0.2646E+01
  0.65727E+00  0.66097E+01    -0.98839E-02  0.00000E+00  0.98839E-02  0.00000E+00  0.00000E+00  0.57500E+00     0.00000E+00 -0.14268E+01  0.00000E+00  0.18824E-01  0.10106E+00  0.37247E+01      298.      1.15     2.058  0.2812E+01
  0.68545E+00  0.67727E+01    -0.10437E-01  0.00000E+00  0.10437E-01  0.00000E+00  0.00000E+00  0.60000E+00     0.00000E+00 -0.14803E+01  0.00000E+00  0.18347E-01  0.10720E+00  0.38141E+01      298.      1.20     2.053  0.2983E+01
  0.71361E+00  0.69357E+01    -0.10967E-01  0.00000E+00  0.10967E-01  0.00000E+00  0.00000E+00  0.62500E+00     0.00000E+00 -0.15332E+01  0.00000E+00  0.16719E-01  0.11292E+00  0.39036E+01      298.      1.25     2.049  0.3158E+01
  0.74175E+00  0.70979E+01    -0.11470E-01  0.00000E+00  0.11470E-01  0.00000E+00  0.00000E+00  0.65000E+00     0.00000E+00 -0.15830E+01  0.00000E+00  0.13949E-01  0.11803E+00  0.39930E+01      298.      1.30     2.045  0.3337E+01
  0.76988E+00  0.72575E+01    -0.11948E-01  0.00000E+00  0.11948E-01  0.00000E+00  0.00000E+00  0.67500E+00     0.00000E+00 -0.16254E+01  0.00000E+00  0.10106E-01  0.12271E+00  0.40818E+01      298.      1.35     2.041  0.3521E+01
  0.79800E+00  0.74177E+01    -0.12399E-01  0.00000E+00  0.12399E-01  0.00000E+00  0.00000E+00  0.70000E+00     0.00000E+00 -0.16648E+01  0.00000E+00  0.66302E-02  0.12677E+00  0.41714E+01      298.      1.40     2.037  0.3709E+01
  0.82612E+00  0.75765E+01    -0.12823E-01  0.00000E+00  0.12823E-01  0.00000E+00  0.00000E+00  0.72500E+00     0.00000E+00 -0.17036E+01  0.00000E+00  0.36468E-02  0.13019E+00  0.42603E+01      298.      1.45     2.033  0.3901E+01
  0.85423E+00  0.77360E+01    -0.13220E-01  0.00000E+00  0.13220E-01  0.00000E+00  0.00000E+00  0.75000E+00     0.00000E+00 -0.17445E+01  0.00000E+00  0.88230E-03  0.13306E+00  0.43493E+01      298.      1.50     2.030  0.4097E+01
  0.88234E+00  0.78947E+01    -0.13590E-01  0.00000E+00  0.13590E-01  0.00000E+00  0.00000E+00  0.77500E+00     0.00000E+00 -0.17840E+01  0.00000E+00 -0.17510E-02  0.13603E+00  0.44380E+01      298.      1.55     2.026  0.4298E+01
  0.91045E+00  0.80509E+01    -0.13933E-01  0.00000E+00  0.13933E-01  0.00000E+00  0.00000E+00  0.80000E+00     0.00000E+00 -0.18192E+01  0.00000E+00 -0.44542E-02  0.13935E+00  0.45258E+01      298.      1.60     2.022  0.4503E+01
  0.93856E+00  0.82068E+01    -0.14247E-01  0.00000E+00  0.14247E-01  0.00000E+00  0.00000E+00  0.82500E+00     0.00000E+00 -0.18520E+01  0.00000E+00 -0.72529E-02  0.14269E+00  0.46138E+01      298.      1.65     2.019  0.4713E+01
  0.96667E+00  0.83612E+01    -0.14533E-01  0.00000E+00  0.14533E-01  0.00000E+00  0.00000E+00  0.85000E+00     0.00000E+00 -0.18823E+01  0.00000E+00 -0.10335E-01  0.14598E+00  0.47012E+01      298.      1.70     2.015  0.4927E+01
  0.99478E+00  0.85140E+01    -0.14792E-01  0.00000E+00  0.14792E-01  0.00000E+00  0.00000E+00  0.87500E+00     0.00000E+00 -0.19088E+01  0.00000E+00 -0.13623E-01  0.14906E+00  0.47881E+01      298.      1.75     2.011  0.5145E+01
  0.10229E+01  0.86658E+01    -0.15026E-01  0.00000E+00  0.15026E-01  0.00000E+00  0.00000E+00  0.90000E+00     0.00000E+00 -0.19276E+01  0.00000E+00 -0.16681E-01  0.15144E+00  0.48755E+01      298.      1.80     2.008  0.5368E+01
  0.10510E+01  0.88160E+01    -0.15237E-01  0.00000E+00  0.15237E-01  0.00000E+00  0.00000E+00  0.92500E+00     0.00000E+00 -0.19393E+01  0.00000E+00 -0.19189E-01  0.15253E+00  0.49628E+01      298.      1.85     2.004  0.5595E+01
  0.10792E+01  0.89655E+01    -0.15426E-01  0.00000E+00  0.15426E-01  0.00000E+00  0.00000E+00  0.95000E+00     0.00000E+00 -0.19420E+01  0.00000E+00 -0.21735E-01  0.15227E+00  0.50510E+01      298.      1.90     2.001  0.5826E+01
  0.11073E+01  0.91137E+01    -0.15594E-01  0.00000E+00  0.15594E-01  0.00000E+00  0.00000E+00  0.97500E+00     0.00000E+00 -0.19337E+01  0.00000E+00 -0.24615E-01  0.15195E+00  0.51397E+01      298.      1.95     1.999  0.6061E+01
  0.11355E+01  0.92605E+01    -0.15739E-01  0.00000E+00  0.15739E-01  0.00000E+00  0.00000E+00  0.10000E+01     0.00000E+00 -0.19161E+01  0.00000E+00 -0.27841E-01  0.15259E+00  0.52285E+01      298.      2.00     1.996  0.6301E+01

  0.11355E+01  0.92596E+01    -0.15739E-01  0.00000E+00  0.15739E-01  0.00000E+00  0.00000E+00  0.10000E+01     0.00000E+00 -0.19155E+01  0.00000E+00 -0.27713E-01  0.15270E+00  0.52281E+01      298.      2.00     1.996  0.1919E+02
  0.11638E+01  0.94062E+01    -0.15862E-01  0.00000E+00  0.15862E-01  0.00000E+00  0.00000E+00  0.10250E+01     0.00000E+00 -0.18945E+01  0.00000E+00 -0.31338E-01  0.15496E+00  0.53170E+01      298.      2.05     1.994  0.1943E+02
  0.11920E+01  0.95526E+01    -0.15965E-01  0.00000E+00  0.15965E-01  0.00000E+00  0.00000E+00  0.10500E+01     0.00000E+00 -0.18698E+01  0.00000E+00 -0.34548E-01  0.16010E+00  0.54061E+01      298.      2.10     1.992  0.1968E+02
  0.12203E+01  0.97141E+01    -0.16052E-01  0.00000E+00  0.16052E-01  0.00000E+00  0.00000E+00  0.10750E+01     0.00000E+00 -0.19500E+01  0.00000E+00 -0.34858E-01  0.16487E+00  0.54917E+01      298.      2.15     1.989  0.1994E+02
  0.12486E+01  0.98631E+01    -0.16147E-01  0.00000E+00  0.16147E-01  0.00000E+00  0.00000E+00  0.11000E+01     0.00000E+00 -0.19331E+01  0.00000E+00 -0.38218E-01  0.17032E+00  0.55813E+01      298.      2.20     1.987  0.2019E+02
  0.12769E+01  0.10012E+02    -0.16231E-01  0.00000E+00  0.16231E-01  0.00000E+00  0.00000E+00  0.11250E+01     0.00000E+00 -0.19174E+01  0.00000E+00 -0.42022E-01  0.17333E+00  0.56709E+01      298.      2.25     1.986  0.2045E+02
  0.13052E+01  0.10160E+02    -0.16307E-01  0.00000E+00  0.16307E-01  0.00000E+00  0.00000E+00  0.11500E+01     0.00000E+00 -0.18965E+01  0.00000E+00 -0.46130E-01  0.17533E+00  0.57602E+01      298.      2.30     1.984  0.2072E+02
  0.13336E+01  0.10311E+02    -0.16371E-01  0.00000E+00  0.16371E-01  0.00000E+00  0.00000E+00  0.11750E+01     0.00000E+00 -0.18710E+01  0.00000E+00 -0.50569E-01  0.17746E+00  0.58511E+01      298.      2.35     1.983  0.2099E+02
  0.13619E+01  0.10462E+02    -0.16427E-01  0.00000E+00  0.16427E-01  0.00000E+00  0.00000E+00  0.12000E+01     0.00000E+00 -0.18417E+01  0.00000E+00 -0.55348E-01  0.17937E+00  0.59432E+01      298.      2.40     1.983  0.2126E+02
  0.13903E+01  0.10613E+02    -0.16475E-01  0.00000E+00  0.16475E-01  0.00000E+00  0.00000E+00  0.12250E+01     0.00000E+00 -0.18093E+01  0.00000E+00 -0.59059E-01  0.18117E+00  0.60346E+01      298.      2.45     1.982  0.2154E+02
  0.14188E+01  0.10763E+02    -0.16517E-01  0.00000E+00  0.16517E-01  0.00000E+00  0.00000E+00  0.12500E+01     0.00000E+00 -0.17707E+01  0.00000E+00 -0.62270E-01  0.18223E+00  0.61262E+01      298.      2.50     1.982  0.2182E+02
  0.14472E+01  0.10912E+02    -0.16551E-01  0.00000E+00  0.16551E-01  0.00000E+00  0.00000E+00  0.12750E+01     0.00000E+00 -0.17221E+01  0.00000E+00 -0.66136E-01  0.18219E+00  0.62181E+01      298.      2.55     1.981  0.2211E+02
  0.14757E+01  0.11060E+02    -0.16578E-01  0.00000E+00  0.16578E-01  0.00000E+00  0.00000E+00  0.13000E+01     0.00000E+00 -0.16629E+01  0.00000E+00 -0.71346E-01  0.18186E+00  0.63101E+01      298.      2.60     1.981  0.2240E+02
  0.15042E+01  0.11211E+02    -0.16596E-01  0.00000E+00  0.16596E-01  0.00000E+00  0.00000E+00  0.13250E+01     0.00000E+00 -0.16009E+01  0.00000E+00 -0.77169E-01  0.18044E+00  0.64034E+01      298.      2.65     1.981  0.2270E+02
  0.15328E+01  0.11363E+02    -0.16607E-01  0.00000E+00  0.16607E-01  0.00000E+00  0.00000E+00  0.13500E+01     0.00000E+00 -0.15370E+01  0.00000E+00 -0.81604E-01  0.17705E+00  0.64970E+01      298.      2.70     1.981  0.2300E+02
  0.15614E+01  0.11518E+02    -0.16609E-01  0.00000E+00  0.16609E-01  0.00000E+00  0.00000E+00  0.13750E+01     0.00000E+00 -0.14794E+01  0.00000E+00 -0.85462E-01  0.17168E+00  0.65921E+01      298.      2.75     1.981  0.2331E+02
  0.15900E+01  0.11673E+02    -0.16605E-01  0.00000E+00  0.16605E-01  0.00000E+00  0.00000E+00  0.14000E+01     0.00000E+00 -0.14028E+01  0.00000E+00 -0.86814E-01  0.16635E+00  0.66876E+01      298.      2.80     1.982  0.2362E+02
  0.16187E+01  0.11832E+02    -0.16591E-01  0.00000E+00  0.16591E-01  0.00000E+00  0.00000E+00  0.14250E+01     0.00000E+00 -0.13294E+01  0.00000E+00 -0.84854E-01  0.16195E+00  0.67855E+01      298.      2.85     1.983  0.2393E+02
  0.16473E+01  0.11988E+02    -0.16569E-01  0.00000E+00  0.16569E-01  0.00000E+00  0.00000E+00  0.14500E+01     0.00000E+00 -0.12513E+01  0.00000E+00 -0.81543E-01  0.15742E+00  0.68809E+01      298.      2.90     1.983  0.2425E+02
  0.16760E+01  0.12148E+02    -0.16538E-01  0.00000E+00  0.16538E-01  0.00000E+00  0.00000E+00  0.14750E+01     0.00000E+00 -0.11771E+01  0.00000E+00 -0.75357E-01  0.14972E+00  0.69787E+01      298.      2.95     1.984  0.2458E+02
  0.17048E+01  0.12311E+02    -0.16503E-01  0.00000E+00  0.16503E-01  0.00000E+00  0.00000E+00  0.15000E+01     0.00000E+00 -0.10859E+01  0.00000E+00 -0.70008E-01  0.14232E+00  0.70781E+01      298.      3.00     1.986  0.2491E+02
  0.17335E+01  0.12475E+02    -0.16463E-01  0.00000E+00  0.16463E-01  0.00000E+00  0.00000E+00  0.15250E+01     0.00000E+00 -0.99542E+00  0.00000E+00 -0.66442E-01  0.13804E+00  0.71780E+01      298.      3.05     1.987  0.2524E+02
  0.17623E+01  0.12643E+02    -0.16418E-01  0.00000E+00  0.16418E-01  0.00000E+00  0.00000E+00  0.15500E+01     0.00000E+00 -0.90236E+00  0.00000E+00 -0.63505E-01  0.13764E+00  0.72795E+01      298.      3.10     1.989  0.2558E+02
  0.17911E+01  0.12812E+02    -0.16368E-01  0.00000E+00  0.16368E-01  0.00000E+00  0.00000E+00  0.15750E+01     0.00000E+00 -0.77842E+00  0.00000E+00 -0.60087E-01  0.13867E+00  0.73820E+01      298.      3.15     1.992  0.2593E+02
