          S1          S5          D1          D5      angS      angD      angN
 -0.1310E+01  0.6837E+01 -0.1130E-05  0.1463E+00    100.85     90.00     95.58
  0.1499E+01  0.6685E+01  0.1283E-01  0.1467E+00     77.36     85.00     80.85
  0.2490E+01  0.6487E+01  0.2544E-01  0.1444E+00     69.00     80.01     75.07
  0.2970E+01  0.6343E+01  0.3751E-01  0.1401E+00     64.91     75.01     70.96
  0.3299E+01  0.6218E+01  0.4901E-01  0.1348E+00     62.05     70.02     67.78
  0.3569E+01  0.6101E+01  0.5999E-01  0.1288E+00     59.67     65.03     64.82
  0.3815E+01  0.5977E+01  0.7049E-01  0.1223E+00     57.45     60.04     61.45
  0.4057E+01  0.5835E+01  0.8062E-01  0.1153E+00     55.19     55.04     57.84
  0.4312E+01  0.5662E+01  0.9033E-01  0.1078E+00     52.71     50.04     54.04
  0.4599E+01  0.5437E+01  0.9957E-01  0.9970E-01     49.78     45.04     49.91
  0.4946E+01  0.5118E+01  0.1082E+00  0.9085E-01     45.98     40.03     45.20
  0.5407E+01  0.4605E+01  0.1158E+00  0.8116E-01     40.42     35.02     39.23
  0.6079E+01  0.3626E+01  0.1223E+00  0.7067E-01     30.81     30.01     31.21
  0.6906E+01  0.1938E+01  0.1280E+00  0.5971E-01     15.67     25.00     20.02
  0.7217E+01  0.8879E+00  0.1326E+00  0.4828E-01      7.01     20.00     11.88
  0.7298E+01  0.4276E+00  0.1349E+00  0.3624E-01      3.35     15.04      7.67
  0.7330E+01  0.1303E+00  0.1360E+00  0.2407E-01      1.02     10.03      4.62
  0.7344E+01 -0.1069E+00  0.1363E+00  0.1203E-01     -0.83      5.04      1.68
  0.7345E+01 -0.3217E+00  0.1362E+00  0.1009E-03     -2.51      0.04     -1.40
  0.7334E+01 -0.5313E+00  0.1355E+00 -0.1176E-01     -4.14     -4.96     -4.50
  0.7310E+01 -0.7516E+00  0.1344E+00 -0.2364E-01     -5.87     -9.98     -7.52
  0.7270E+01 -0.1001E+01  0.1327E+00 -0.3550E-01     -7.84    -14.98    -10.40
  0.7201E+01 -0.1324E+01  0.1302E+00 -0.4735E-01    -10.42    -19.99    -13.57
  0.7052E+01 -0.1844E+01  0.1264E+00 -0.5894E-01    -14.65    -25.00    -18.30
  0.6599E+01 -0.2899E+01  0.1209E+00 -0.6979E-01    -23.71    -30.00    -26.89
  0.5455E+01 -0.4628E+01  0.1150E+00 -0.8053E-01    -40.31    -35.00    -39.75
  0.4850E+01 -0.5289E+01  0.1077E+00 -0.9034E-01    -47.48    -40.00    -45.00
  0.4514E+01 -0.5609E+01  0.9879E-01 -0.9877E-01    -51.17    -44.99    -48.24
  0.4251E+01 -0.5833E+01  0.8930E-01 -0.1064E+00    -53.91    -49.98    -51.90
  0.4017E+01 -0.6004E+01  0.7945E-01 -0.1134E+00    -56.22    -54.98    -55.97
  0.3795E+01 -0.6143E+01  0.6935E-01 -0.1199E+00    -58.29    -59.96    -59.77
  0.3569E+01 -0.6266E+01  0.5880E-01 -0.1261E+00    -60.34    -65.00    -63.44
  0.3329E+01 -0.6376E+01  0.4799E-01 -0.1318E+00    -62.43    -69.99    -67.20
  0.3055E+01 -0.6480E+01  0.3674E-01 -0.1370E+00    -64.76    -74.99    -70.89
  0.2719E+01 -0.6583E+01  0.2498E-01 -0.1416E+00    -67.56    -79.99    -74.36
  0.2245E+01 -0.6698E+01  0.1269E-01 -0.1450E+00    -71.47    -85.00    -78.12
  0.1310E+01 -0.6837E+01  0.1130E-05 -0.1463E+00    -79.15    -90.00    -84.42
 -0.1499E+01 -0.6685E+01 -0.1283E-01 -0.1467E+00   -102.64    -95.00    -99.15
 -0.2490E+01 -0.6487E+01 -0.2544E-01 -0.1444E+00   -111.00    -99.99   -104.93
 -0.2970E+01 -0.6343E+01 -0.3751E-01 -0.1401E+00   -115.09   -104.99   -109.04
