 STRAIN  AVACS  MODE1
   0.0000   3.4944   1.0000
   0.0250   3.4906   1.0000
   0.0500   3.4915   1.0000
   0.0750   3.5026   1.0000
   0.1000   3.5067   1.0000
   0.1250   3.5352   1.0000
   0.1500   3.5777   1.0000
   0.1750   3.5730   1.0000
   0.2000   3.5674   1.0000
   0.2250   3.5668   1.0000
   0.2500   3.5596   1.0000
   0.2750   3.5294   1.0000
   0.3000   3.5231   1.0000
   0.3250   3.4875   1.0000
   0.3500   3.4660   1.0000
   0.3750   3.4633   1.0000
   0.4000   3.4352   1.0000
   0.4250   3.4145   1.0000
   0.4500   3.4193   1.0000
   0.4750   3.3522   1.0000
   0.5000   3.3187   1.0000
   0.5250   3.2782   1.0000
   0.5500   3.2362   1.0000
   0.5750   3.2123   1.0000
   0.6000   3.1818   1.0000
   0.6250   3.1954   1.0000
   0.6500   3.1487   1.0000
   0.6750   3.1419   1.0000
   0.7000   3.1186   1.0000
   0.7250   3.1075   1.0000
   0.7500   3.1142   1.0000
   0.7750   3.0968   1.0000
   0.8000   3.0718   1.0000
   0.8250   3.0486   1.0000
   0.8500   3.0392   1.0000
   0.8750   3.0129   1.0000
   0.9000   3.0017   1.0000
   0.9250   2.9837   1.0000
   0.9500   2.9689   1.0000
   0.9750   2.9417   1.0000
   1.0000   2.9042   1.0000
    STEP   AVACS   MODE1
       1   2.923   1.000
       2   2.963   1.000
       3   3.259   1.000
       4   3.440   1.000
       5   3.500   1.000
       6   3.578   1.000
       7   3.633   1.000
       8   3.613   1.000
       9   3.592   1.000
      10   3.542   1.000
      11   3.442   1.000
      12   3.226   1.000
      13   2.919   1.000
      14   2.986   1.000
      15   3.290   1.000
      16   3.437   1.000
      17   3.546   1.000
      18   3.555   1.000
      19   3.552   1.000
      20   3.556   1.000
      21   3.531   1.000
      22   3.522   1.000
      23   3.440   1.000
      24   3.225   1.000
      25   3.106   1.000
      26   3.157   1.000
      27   3.433   1.000
      28   3.522   1.000
      29   3.529   1.000
      30   3.549   1.000
      31   3.582   1.000
      32   3.573   1.000
      33   3.515   1.000
      34   3.408   1.000
      35   3.324   1.000
      36   3.120   1.000
 STRAIN  AVACS  MODE1
   1.0000   2.9041   1.0000
   1.0250   2.8926   1.0000
   1.0500   2.8948   1.0000
   1.0750   2.8637   1.0000
   1.1000   2.8498   1.0000
   1.1250   2.8402   1.0000
   1.1500   2.8344   1.0000
   1.1750   2.8190   1.0000
   1.2000   2.8166   1.0000
   1.2250   2.7891   1.0000
   1.2500   2.7738   1.0000
   1.2750   2.7665   1.0000
   1.3000   2.7327   1.0000
   1.3250   2.7268   1.0000
   1.3500   2.7422   1.0000
   1.3750   2.7274   1.0000
   1.4000   2.7450   1.0000
   1.4250   2.7438   1.0000
   1.4500   2.7465   1.0000
   1.4750   2.7264   1.0000
   1.5000   2.7240   1.0000
   1.5250   2.7193   1.0000
   1.5500   2.7144   1.0000
   1.5750   2.7074   1.0000
   1.6000   2.6765   1.0000
   1.6250   2.6659   1.0000
   1.6500   2.6637   1.0000
   1.6750   2.6699   1.0000
   1.7000   2.6277   1.0000
   1.7250   2.6350   1.0000
   1.7500   2.6244   1.0000
   1.7750   2.6222   1.0000
   1.8000   2.6230   1.0000
   1.8250   2.6387   1.0000
   1.8500   2.6435   1.0000
   1.8750   2.6693   1.0000
   1.9000   2.7372   1.0000
   1.9250   2.7997   1.0000
   1.9500   2.8570   1.0000
   1.9750   2.8889   1.0000
   2.0000   2.9255   1.0000
    STEP   AVACS   MODE1
       1   2.927   1.000
       2   3.119   1.000
       3   3.285   1.000
       4   3.467   1.000
       5   3.654   1.000
       6   3.734   1.000
       7   3.765   1.000
       8   3.624   1.000
       9   3.522   1.000
      10   3.419   1.000
      11   3.273   1.000
      12   3.088   1.000
      13   2.965   1.000
      14   3.052   1.000
      15   3.234   1.000
      16   3.480   1.000
      17   3.519   1.000
      18   3.532   1.000
      19   3.551   1.000
      20   3.547   1.000
      21   3.509   1.000
      22   3.421   1.000
      23   3.166   1.000
      24   3.160   1.000
      25   3.001   1.000
      26   3.231   1.000
      27   3.260   1.000
      28   3.279   1.000
      29   3.242   1.000
      30   3.202   1.000
      31   3.184   1.000
      32   3.227   1.000
      33   3.090   1.000
      34   3.040   1.000
      35   2.992   1.000
      36   2.918   1.000
