 EPS   PHASE      AVAX1   AVAX2   AVAX3      SDAX1   SDAX2   SDAX3
  0.00     1      1.000   1.000   1.000      0.000   0.000   0.000
  0.03     1      1.000   1.026   0.974      0.001   0.005   0.005
  0.05     1      1.000   1.053   0.950      0.002   0.009   0.010
  0.08     1      1.000   1.080   0.925      0.004   0.014   0.014
  0.10     1      1.000   1.108   0.902      0.005   0.018   0.019
  0.12     1      1.000   1.137   0.879      0.006   0.023   0.024
  0.15     1      1.001   1.167   0.857      0.007   0.027   0.029
  0.17     1      1.001   1.197   0.835      0.008   0.032   0.034
  0.20     1      1.001   1.228   0.815      0.009   0.036   0.039
  0.22     1      1.001   1.259   0.794      0.010   0.040   0.043
  0.25     1      1.001   1.291   0.775      0.012   0.045   0.048
  0.27     1      1.001   1.324   0.756      0.013   0.049   0.053
  0.30     1      1.001   1.358   0.737      0.014   0.053   0.057
  0.33     1      1.002   1.391   0.719      0.015   0.057   0.061
  0.35     1      1.002   1.426   0.702      0.016   0.061   0.066
  0.38     1      1.002   1.461   0.685      0.017   0.065   0.070
  0.40     1      1.003   1.497   0.669      0.018   0.068   0.074
  0.43     1      1.003   1.533   0.654      0.019   0.072   0.078
  0.45     1      1.003   1.569   0.638      0.019   0.075   0.082
  0.48     1      1.004   1.607   0.624      0.020   0.078   0.085
  0.50     1      1.004   1.644   0.610      0.021   0.082   0.089
  0.53     1      1.005   1.682   0.596      0.022   0.084   0.092
  0.55     1      1.005   1.721   0.583      0.023   0.087   0.095
  0.58     1      1.005   1.760   0.570      0.024   0.090   0.098
  0.60     1      1.006   1.799   0.557      0.024   0.093   0.101
  0.63     1      1.006   1.839   0.545      0.025   0.095   0.104
  0.65     1      1.007   1.879   0.534      0.026   0.097   0.106
  0.68     1      1.007   1.920   0.522      0.027   0.099   0.109
  0.70     1      1.007   1.961   0.511      0.027   0.101   0.111
  0.73     1      1.008   2.002   0.501      0.028   0.103   0.113
  0.75     1      1.008   2.044   0.491      0.028   0.105   0.115
  0.78     1      1.009   2.086   0.481      0.029   0.107   0.117
  0.80     1      1.009   2.129   0.471      0.029   0.108   0.119
  0.83     1      1.009   2.171   0.462      0.030   0.110   0.120
  0.85     1      1.009   2.214   0.453      0.030   0.111   0.122
  0.88     1      1.010   2.258   0.444      0.031   0.112   0.123
  0.90     1      1.010   2.301   0.436      0.031   0.113   0.125
  0.93     1      1.010   2.345   0.428      0.031   0.114   0.126
  0.95     1      1.010   2.389   0.420      0.032   0.115   0.127
  0.98     1      1.011   2.434   0.412      0.032   0.116   0.129
  1.00     1      1.011   2.478   0.405      0.032   0.117   0.130
 EPS   PHASE      AVAX1   AVAX2   AVAX3      SDAX1   SDAX2   SDAX3
  1.00     1      1.011   2.478   0.405      0.032   0.117   0.130
  1.03     1      1.011   2.523   0.398      0.033   0.118   0.131
  1.05     1      1.011   2.569   0.391      0.033   0.119   0.132
  1.08     1      1.011   2.614   0.384      0.033   0.120   0.133
  1.10     1      1.012   2.660   0.377      0.033   0.121   0.134
  1.12     1      1.012   2.705   0.371      0.033   0.122   0.135
  1.15     1      1.012   2.751   0.365      0.034   0.122   0.136
  1.17     1      1.012   2.798   0.359      0.034   0.123   0.137
  1.20     1      1.012   2.844   0.353      0.034   0.124   0.138
  1.22     1      1.012   2.891   0.347      0.034   0.125   0.139
  1.25     1      1.012   2.937   0.342      0.034   0.125   0.139
  1.27     1      1.012   2.984   0.337      0.034   0.126   0.140
  1.30     1      1.013   3.031   0.331      0.035   0.127   0.141
  1.32     1      1.013   3.078   0.326      0.035   0.127   0.142
  1.35     1      1.013   3.126   0.321      0.035   0.128   0.142
  1.37     1      1.013   3.173   0.317      0.035   0.128   0.143
  1.40     1      1.013   3.221   0.312      0.035   0.129   0.143
  1.42     1      1.013   3.269   0.307      0.035   0.129   0.144
  1.45     1      1.013   3.317   0.303      0.035   0.130   0.144
  1.47     1      1.013   3.365   0.299      0.035   0.130   0.145
  1.50     1      1.013   3.413   0.294      0.035   0.131   0.145
  1.52     1      1.013   3.461   0.290      0.035   0.131   0.146
  1.55     1      1.013   3.510   0.286      0.035   0.132   0.146
  1.57     1      1.013   3.558   0.283      0.035   0.132   0.147
  1.60     1      1.013   3.607   0.279      0.035   0.133   0.147
  1.62     1      1.013   3.656   0.275      0.036   0.133   0.147
  1.65     1      1.013   3.705   0.271      0.036   0.133   0.148
  1.67     1      1.013   3.754   0.268      0.036   0.134   0.148
  1.70     1      1.013   3.803   0.264      0.036   0.134   0.149
  1.72     1      1.013   3.852   0.261      0.036   0.135   0.149
  1.75     1      1.013   3.902   0.258      0.036   0.135   0.149
  1.77     1      1.013   3.951   0.255      0.036   0.135   0.150
  1.80     1      1.013   4.001   0.252      0.036   0.136   0.150
  1.82     1      1.013   4.051   0.248      0.036   0.136   0.151
  1.85     1      1.013   4.101   0.245      0.036   0.137   0.151
  1.87     1      1.013   4.151   0.243      0.036   0.138   0.152
  1.90     1      1.013   4.201   0.240      0.036   0.138   0.152
  1.92     1      1.013   4.251   0.237      0.036   0.139   0.153
  1.95     1      1.013   4.301   0.234      0.036   0.140   0.154
  1.97     1      1.013   4.352   0.232      0.036   0.140   0.154
  2.00     1      1.013   4.402   0.229      0.036   0.141   0.155
