  EPS  PHASE      AVAX1   AVAX2   AVAX3      SDAX1   SDAX2   SDAX3
  0.00     1      1.000   1.000   1.000      0.000   0.000   0.000
  0.02     1      1.004   1.018   0.978      0.003   0.006   0.007
  0.04     1      1.008   1.037   0.957      0.006   0.012   0.014
  0.06     1      1.012   1.056   0.936      0.009   0.018   0.021
  0.08     1      1.016   1.075   0.915      0.012   0.024   0.029
  0.10     1      1.020   1.095   0.895      0.014   0.031   0.036
  0.12     1      1.024   1.115   0.875      0.017   0.038   0.043
  0.14     1      1.028   1.136   0.856      0.019   0.045   0.050
  0.16     1      1.032   1.157   0.837      0.022   0.052   0.057
  0.18     1      1.036   1.179   0.819      0.024   0.060   0.064
  0.20     1      1.040   1.201   0.801      0.026   0.067   0.072
  0.22     1      1.044   1.224   0.783      0.029   0.075   0.079
  0.24     1      1.049   1.247   0.765      0.031   0.082   0.086
  0.26     1      1.053   1.271   0.748      0.033   0.090   0.093
  0.28     1      1.058   1.296   0.732      0.035   0.097   0.100
  0.30     1      1.063   1.321   0.716      0.037   0.105   0.107
  0.32     1      1.068   1.346   0.699      0.039   0.113   0.114
  0.34     1      1.073   1.372   0.684      0.041   0.120   0.120
  0.36     1      1.078   1.399   0.668      0.043   0.128   0.127
  0.38     1      1.083   1.426   0.653      0.045   0.135   0.133
  0.40     1      1.089   1.453   0.638      0.047   0.143   0.139
  0.42     1      1.095   1.481   0.624      0.049   0.150   0.145
  0.44     1      1.101   1.510   0.610      0.051   0.157   0.151
  0.46     1      1.107   1.539   0.595      0.053   0.164   0.157
  0.48     1      1.114   1.569   0.582      0.055   0.171   0.163
  0.50     1      1.121   1.599   0.568      0.057   0.178   0.168
