   STRAIN    AVACS    MODE1    MODE2    MODE3    MODE4    MODE5
   0.0000   3.3051   0.3433   0.0176   0.3373   0.2535   0.0483
   0.0200   3.3872   0.3521   0.0194   0.3407   0.2337   0.0541
   0.0400   3.4619   0.3592   0.0208   0.3427   0.2183   0.0591
   0.0600   3.5371   0.3649   0.0220   0.3437   0.2059   0.0635
   0.0800   3.5873   0.3697   0.0230   0.3441   0.1957   0.0675
   0.1000   3.6072   0.3737   0.0239   0.3440   0.1871   0.0713
   0.1200   3.6392   0.3771   0.0247   0.3434   0.1799   0.0749
   0.1400   3.6631   0.3799   0.0255   0.3424   0.1738   0.0784
   0.1600   3.7114   0.3822   0.0262   0.3411   0.1685   0.0819
   0.1800   3.7636   0.3841   0.0270   0.3395   0.1640   0.0854
   0.2000   3.7910   0.3856   0.0279   0.3376   0.1600   0.0889
   0.2200   3.8430   0.3867   0.0288   0.3354   0.1567   0.0925
   0.2400   3.9215   0.3870   0.0299   0.3327   0.1540   0.0964
   0.2600   3.9316   0.3875   0.0309   0.3301   0.1514   0.1001
   0.2800   3.9773   0.3876   0.0320   0.3273   0.1492   0.1039
   0.3000   4.0256   0.3876   0.0331   0.3244   0.1471   0.1077
   0.3200   4.0675   0.3872   0.0344   0.3213   0.1453   0.1118
   0.3400   4.1233   0.3866   0.0358   0.3179   0.1438   0.1159
   0.3600   4.1846   0.3859   0.0372   0.3145   0.1423   0.1201
   0.3800   4.2417   0.3848   0.0388   0.3109   0.1410   0.1246
   0.4000   4.3131   0.3834   0.0406   0.3071   0.1398   0.1291
   0.4200   4.3988   0.3819   0.0425   0.3031   0.1387   0.1339
   0.4400   4.4477   0.3801   0.0445   0.2990   0.1376   0.1388
   0.4600   4.5167   0.3783   0.0466   0.2949   0.1365   0.1437
   0.4800   4.5973   0.3761   0.0490   0.2905   0.1355   0.1489
   0.5000   4.6749   0.3738   0.0515   0.2861   0.1345   0.1541
