        EPSvm          Svm        SDEV1    SDEV2    SDEV3    SDEV4    SDEV5    SDEV6        DDEV1    DDEV2    DDEV3    DDEV4    DDEV5    DDEV6
  0.00000E+00  0.38753E+01        0.236    0.308    0.273    0.260    0.248    0.000        0.282    0.391    0.335    0.319    0.296    0.000
  0.19966E-01  0.42353E+01        0.238    0.292    0.269    0.258    0.251    0.000        0.288    0.383    0.339    0.326    0.302    0.000
  0.39929E-01  0.45769E+01        0.240    0.279    0.265    0.257    0.252    0.000        0.293    0.379    0.345    0.335    0.308    0.000
  0.59890E-01  0.49078E+01        0.242    0.269    0.261    0.256    0.253    0.000        0.299    0.379    0.352    0.345    0.313    0.000
  0.79851E-01  0.52347E+01        0.242    0.261    0.258    0.255    0.253    0.000        0.304    0.382    0.361    0.357    0.317    0.000
  0.99814E-01  0.55620E+01        0.242    0.254    0.254    0.253    0.252    0.000        0.309    0.386    0.370    0.369    0.321    0.000
  0.11978E+00  0.58932E+01        0.242    0.248    0.250    0.251    0.250    0.000        0.313    0.391    0.380    0.382    0.324    0.000
  0.13975E+00  0.62313E+01        0.241    0.243    0.247    0.249    0.247    0.000        0.317    0.398    0.392    0.396    0.326    0.000
  0.15972E+00  0.65789E+01        0.239    0.238    0.243    0.246    0.244    0.000        0.320    0.404    0.404    0.410    0.328    0.000
  0.17969E+00  0.69390E+01        0.236    0.232    0.239    0.243    0.240    0.000        0.323    0.411    0.418    0.425    0.329    0.000
  0.19967E+00  0.73118E+01        0.233    0.227    0.236    0.239    0.236    0.000        0.325    0.418    0.433    0.440    0.329    0.000
  0.21965E+00  0.77001E+01        0.230    0.222    0.232    0.235    0.231    0.000        0.327    0.425    0.449    0.456    0.329    0.000
  0.23964E+00  0.81234E+01        0.226    0.216    0.228    0.231    0.226    0.000        0.328    0.430    0.465    0.472    0.328    0.000
  0.25962E+00  0.85455E+01        0.221    0.211    0.224    0.226    0.221    0.000        0.328    0.436    0.484    0.489    0.328    0.000
  0.27961E+00  0.89936E+01        0.216    0.205    0.220    0.221    0.215    0.000        0.328    0.441    0.503    0.507    0.326    0.000
  0.29960E+00  0.94431E+01        0.210    0.199    0.216    0.216    0.210    0.000        0.327    0.445    0.523    0.526    0.325    0.000
  0.31959E+00  0.99303E+01        0.204    0.193    0.211    0.211    0.204    0.000        0.325    0.448    0.544    0.546    0.323    0.000
  0.33958E+00  0.10439E+02        0.198    0.186    0.206    0.206    0.198    0.000        0.322    0.450    0.566    0.566    0.321    0.000
  0.35957E+00  0.10967E+02        0.191    0.180    0.201    0.201    0.192    0.000        0.319    0.452    0.588    0.588    0.319    0.000
  0.37957E+00  0.11521E+02        0.185    0.173    0.196    0.195    0.186    0.000        0.315    0.452    0.609    0.609    0.317    0.000
  0.39956E+00  0.12100E+02        0.178    0.167    0.190    0.189    0.180    0.000        0.311    0.452    0.631    0.630    0.314    0.000
  0.41955E+00  0.12703E+02        0.172    0.161    0.184    0.183    0.175    0.000        0.306    0.452    0.652    0.650    0.311    0.000
  0.43955E+00  0.13332E+02        0.165    0.156    0.178    0.177    0.169    0.000        0.301    0.451    0.673    0.670    0.307    0.000
  0.45954E+00  0.13965E+02        0.159    0.150    0.172    0.171    0.163    0.000        0.296    0.450    0.695    0.691    0.303    0.000
  0.47954E+00  0.14645E+02        0.152    0.144    0.166    0.164    0.157    0.000        0.290    0.446    0.716    0.710    0.298    0.000
  0.49953E+00  0.15349E+02        0.146    0.138    0.160    0.158    0.151    0.000        0.283    0.441    0.737    0.730    0.293    0.000
