 51    nsteps  
 step         L11         L12         L13         L21         L22         L23         L31         L32         L33         tincr
  1    0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.1000E+01     0.2000E-01
  2    0.1000E+01  0.0000E+00  0.1567E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1567E+00  0.0000E+00 -0.1000E+01     0.2000E-01
  3    0.1000E+01  0.0000E+00  0.3109E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.3109E+00  0.0000E+00 -0.1000E+01     0.2000E-01
  4    0.1000E+01  0.0000E+00  0.4602E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.4602E+00  0.0000E+00 -0.1000E+01     0.2000E-01
  5    0.1000E+01  0.0000E+00  0.6022E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.6022E+00  0.0000E+00 -0.1000E+01     0.2000E-01
  6    0.1000E+01  0.0000E+00  0.7347E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.7347E+00  0.0000E+00 -0.1000E+01     0.2000E-01
  7    0.1000E+01  0.0000E+00  0.8557E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.8557E+00  0.0000E+00 -0.1000E+01     0.2000E-01
  8    0.1000E+01  0.0000E+00  0.9631E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.9631E+00  0.0000E+00 -0.1000E+01     0.2000E-01
  9    0.1000E+01  0.0000E+00  0.1055E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.1055E+01  0.0000E+00 -0.1000E+01     0.2000E-01
 10    0.1000E+01  0.0000E+00  0.1131E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.1131E+01  0.0000E+00 -0.1000E+01     0.2000E-01
 11    0.1000E+01  0.0000E+00  0.1189E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.1189E+01  0.0000E+00 -0.1000E+01     0.2000E-01
 12    0.1000E+01  0.0000E+00  0.1228E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.1228E+01  0.0000E+00 -0.1000E+01     0.2000E-01
 13    0.1000E+01  0.0000E+00  0.1248E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.1248E+01  0.0000E+00 -0.1000E+01     0.2000E-01
 14    0.1000E+01  0.0000E+00  0.1248E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.1248E+01  0.0000E+00 -0.1000E+01     0.2000E-01
 15    0.1000E+01  0.0000E+00  0.1228E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.1228E+01  0.0000E+00 -0.1000E+01     0.2000E-01
 16    0.1000E+01  0.0000E+00  0.1189E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.1189E+01  0.0000E+00 -0.1000E+01     0.2000E-01
 17    0.1000E+01  0.0000E+00  0.1131E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.1131E+01  0.0000E+00 -0.1000E+01     0.2000E-01
 18    0.1000E+01  0.0000E+00  0.1055E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.1055E+01  0.0000E+00 -0.1000E+01     0.2000E-01
 19    0.1000E+01  0.0000E+00  0.9631E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.9631E+00  0.0000E+00 -0.1000E+01     0.2000E-01
 20    0.1000E+01  0.0000E+00  0.8557E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.8557E+00  0.0000E+00 -0.1000E+01     0.2000E-01
 21    0.1000E+01  0.0000E+00  0.7347E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.7347E+00  0.0000E+00 -0.1000E+01     0.2000E-01
 22    0.1000E+01  0.0000E+00  0.6022E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.6022E+00  0.0000E+00 -0.1000E+01     0.2000E-01
 23    0.1000E+01  0.0000E+00  0.4602E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.4602E+00  0.0000E+00 -0.1000E+01     0.2000E-01
 24    0.1000E+01  0.0000E+00  0.3109E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.3109E+00  0.0000E+00 -0.1000E+01     0.2000E-01
 25    0.1000E+01  0.0000E+00  0.1567E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1567E+00  0.0000E+00 -0.1000E+01     0.2000E-01
 26    0.1000E+01  0.0000E+00  0.1531E-15  0.0000E+00  0.0000E+00  0.0000E+00  0.1531E-15  0.0000E+00 -0.1000E+01     0.2000E-01
 27    0.1000E+01  0.0000E+00 -0.1567E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.1567E+00  0.0000E+00 -0.1000E+01     0.2000E-01
 28    0.1000E+01  0.0000E+00 -0.3109E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.3109E+00  0.0000E+00 -0.1000E+01     0.2000E-01
 29    0.1000E+01  0.0000E+00 -0.4602E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.4602E+00  0.0000E+00 -0.1000E+01     0.2000E-01
 30    0.1000E+01  0.0000E+00 -0.6022E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.6022E+00  0.0000E+00 -0.1000E+01     0.2000E-01
 31    0.1000E+01  0.0000E+00 -0.7347E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.7347E+00  0.0000E+00 -0.1000E+01     0.2000E-01
 32    0.1000E+01  0.0000E+00 -0.8557E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.8557E+00  0.0000E+00 -0.1000E+01     0.2000E-01
