   STRAIN    AVACS    MODE1
   0.0000   3.6426   1.0000
   0.0020   3.6395   1.0000
   0.0040   3.6378   1.0000
   0.0060   3.6318   1.0000
   0.0080   3.6280   1.0000
   0.0100   3.6240   1.0000
   0.0120   3.6236   1.0000
   0.0140   3.6184   1.0000
   0.0160   3.6173   1.0000
   0.0180   3.6133   1.0000
   0.0200   3.6105   1.0000
   0.0220   3.6045   1.0000
   0.0240   3.6009   1.0000
   0.0260   3.5900   1.0000
   0.0280   3.5847   1.0000
   0.0300   3.5826   1.0000
   0.0320   3.5817   1.0000
   0.0340   3.5810   1.0000
   0.0360   3.5780   1.0000
   0.0380   3.5716   1.0000
   0.0400   3.5664   1.0000
   0.0420   3.5615   1.0000
   0.0440   3.5569   1.0000
   0.0460   3.5530   1.0000
   0.0480   3.5506   1.0000
   0.0500   3.5491   1.0000
   0.0520   3.5464   1.0000
   0.0540   3.5427   1.0000
   0.0560   3.5416   1.0000
   0.0580   3.5373   1.0000
   0.0600   3.5395   1.0000
   0.0620   3.5411   1.0000
   0.0640   3.5416   1.0000
   0.0660   3.5422   1.0000
   0.0680   3.5392   1.0000
   0.0700   3.5379   1.0000
   0.0720   3.5336   1.0000
   0.0740   3.5318   1.0000
   0.0760   3.5298   1.0000
   0.0780   3.5276   1.0000
   0.0800   3.5272   1.0000
   0.0820   3.5258   1.0000
   0.0840   3.5227   1.0000
   0.0860   3.5226   1.0000
   0.0880   3.5218   1.0000
   0.0900   3.5214   1.0000
   0.0920   3.5184   1.0000
   0.0940   3.5190   1.0000
   0.0960   3.5160   1.0000
   0.0980   3.5143   1.0000
   0.1000   3.5112   1.0000
   0.1020   3.5070   1.0000
   0.1040   3.5028   1.0000
   0.1060   3.5010   1.0000
   0.1080   3.4970   1.0000
   0.1100   3.4941   1.0000
   0.1120   3.4901   1.0000
   0.1140   3.4862   1.0000
   0.1160   3.4861   1.0000
   0.1180   3.4858   1.0000
   0.1200   3.4883   1.0000
   0.1220   3.4857   1.0000
   0.1240   3.4820   1.0000
   0.1260   3.4736   1.0000
   0.1280   3.4728   1.0000
   0.1300   3.4686   1.0000
   0.1320   3.4673   1.0000
   0.1340   3.4619   1.0000
   0.1360   3.4653   1.0000
   0.1380   3.4647   1.0000
   0.1400   3.4637   1.0000
   0.1420   3.4614   1.0000
   0.1440   3.4594   1.0000
   0.1460   3.4588   1.0000
   0.1480   3.4582   1.0000
   0.1500   3.4575   1.0000
   0.1520   3.4565   1.0000
   0.1540   3.4555   1.0000
   0.1560   3.4555   1.0000
   0.1580   3.4545   1.0000
   0.1600   3.4549   1.0000
   0.1620   3.4528   1.0000
   0.1640   3.4488   1.0000
   0.1660   3.4459   1.0000
   0.1680   3.4441   1.0000
   0.1700   3.4423   1.0000
   0.1720   3.4384   1.0000
   0.1740   3.4344   1.0000
   0.1760   3.4278   1.0000
   0.1780   3.4231   1.0000
   0.1800   3.4210   1.0000
   0.1820   3.4175   1.0000
   0.1840   3.4166   1.0000
   0.1860   3.4188   1.0000
   0.1880   3.4186   1.0000
   0.1900   3.4200   1.0000
   0.1920   3.4181   1.0000
   0.1940   3.4151   1.0000
   0.1960   3.4135   1.0000
   0.1980   3.4101   1.0000
   0.2000   3.4078   1.0000
   0.2020   3.4058   1.0000
   0.2040   3.4071   1.0000
   0.2060   3.4066   1.0000
   0.2080   3.4021   1.0000
   0.2100   3.4049   1.0000
   0.2120   3.4038   1.0000
