    EPSACU   Rho_for_mod     Rho_deb     Rho_tot
  0.1500E+00  0.1406E+14  0.3283E+14  0.4689E+14
  0.1520E+00  0.1410E+14  0.3388E+14  0.4798E+14
  0.1540E+00  0.1414E+14  0.3494E+14  0.4908E+14
  0.1560E+00  0.1417E+14  0.3602E+14  0.5020E+14
  0.1580E+00  0.1421E+14  0.3712E+14  0.5133E+14
  0.1600E+00  0.1424E+14  0.3824E+14  0.5248E+14
  0.1620E+00  0.1427E+14  0.3937E+14  0.5365E+14
  0.1640E+00  0.1431E+14  0.4053E+14  0.5483E+14
  0.1660E+00  0.1434E+14  0.4169E+14  0.5603E+14
  0.1680E+00  0.1437E+14  0.4288E+14  0.5725E+14
  0.1700E+00  0.1441E+14  0.4408E+14  0.5849E+14
  0.1720E+00  0.1444E+14  0.4530E+14  0.5974E+14
  0.1740E+00  0.1447E+14  0.4654E+14  0.6100E+14
  0.1760E+00  0.1450E+14  0.4779E+14  0.6229E+14
  0.1780E+00  0.1453E+14  0.4906E+14  0.6359E+14
  0.1800E+00  0.1456E+14  0.5035E+14  0.6491E+14
  0.1820E+00  0.1459E+14  0.5165E+14  0.6624E+14
  0.1840E+00  0.1462E+14  0.5298E+14  0.6759E+14
  0.1860E+00  0.1464E+14  0.5432E+14  0.6896E+14
  0.1880E+00  0.1467E+14  0.5567E+14  0.7035E+14
  0.1900E+00  0.1470E+14  0.5705E+14  0.7175E+14
  0.1920E+00  0.1473E+14  0.5844E+14  0.7317E+14
  0.1940E+00  0.1476E+14  0.5985E+14  0.7460E+14
  0.1960E+00  0.1478E+14  0.6127E+14  0.7605E+14
  0.1980E+00  0.1481E+14  0.6271E+14  0.7752E+14
  0.2000E+00  0.1484E+14  0.6417E+14  0.7901E+14
  0.2020E+00  0.1486E+14  0.6565E+14  0.8051E+14
  0.2040E+00  0.1489E+14  0.6714E+14  0.8203E+14
  0.2060E+00  0.1491E+14  0.6866E+14  0.8357E+14
  0.2080E+00  0.1494E+14  0.7018E+14  0.8512E+14
  0.2100E+00  0.1496E+14  0.7173E+14  0.8669E+14
  0.2120E+00  0.1499E+14  0.7329E+14  0.8828E+14
  0.2140E+00  0.1501E+14  0.7487E+14  0.8988E+14
  0.2160E+00  0.1504E+14  0.7647E+14  0.9150E+14
  0.2180E+00  0.1506E+14  0.7808E+14  0.9314E+14
  0.2200E+00  0.1508E+14  0.7971E+14  0.9480E+14
  0.2220E+00  0.1511E+14  0.8136E+14  0.9647E+14
  0.2240E+00  0.1513E+14  0.8303E+14  0.9816E+14
  0.2260E+00  0.1515E+14  0.8471E+14  0.9986E+14
  0.2280E+00  0.1518E+14  0.8641E+14  0.1016E+15
  0.2300E+00  0.1520E+14  0.8813E+14  0.1033E+15
  0.2320E+00  0.1522E+14  0.8986E+14  0.1051E+15
  0.2340E+00  0.1524E+14  0.9161E+14  0.1069E+15
  0.2360E+00  0.1526E+14  0.9338E+14  0.1086E+15
  0.2380E+00  0.1529E+14  0.9517E+14  0.1105E+15
  0.2400E+00  0.1531E+14  0.9697E+14  0.1123E+15
  0.2420E+00  0.1533E+14  0.9879E+14  0.1141E+15
  0.2440E+00  0.1535E+14  0.1006E+15  0.1160E+15
  0.2460E+00  0.1537E+14  0.1025E+15  0.1179E+15
  0.2480E+00  0.1539E+14  0.1044E+15  0.1197E+15
  0.2500E+00  0.1541E+14  0.1062E+15  0.1217E+15
  0.2520E+00  0.1543E+14  0.1082E+15  0.1236E+15
  0.2540E+00  0.1546E+14  0.1101E+15  0.1255E+15
  0.2560E+00  0.1548E+14  0.1120E+15  0.1275E+15
  0.2580E+00  0.1550E+14  0.1140E+15  0.1295E+15
  0.2600E+00  0.1552E+14  0.1159E+15  0.1315E+15
  0.2620E+00  0.1554E+14  0.1179E+15  0.1335E+15
  0.2640E+00  0.1556E+14  0.1200E+15  0.1355E+15
  0.2660E+00  0.1558E+14  0.1220E+15  0.1376E+15
  0.2680E+00  0.1560E+14  0.1240E+15  0.1396E+15
  0.2700E+00  0.1562E+14  0.1261E+15  0.1417E+15
  0.2720E+00  0.1564E+14  0.1282E+15  0.1438E+15
  0.2740E+00  0.1565E+14  0.1303E+15  0.1459E+15
  0.2760E+00  0.1567E+14  0.1324E+15  0.1480E+15
  0.2780E+00  0.1569E+14  0.1345E+15  0.1502E+15
  0.2800E+00  0.1571E+14  0.1366E+15  0.1524E+15
  0.2820E+00  0.1573E+14  0.1388E+15  0.1545E+15
  0.2840E+00  0.1575E+14  0.1410E+15  0.1567E+15
  0.2860E+00  0.1577E+14  0.1432E+15  0.1590E+15
  0.2880E+00  0.1579E+14  0.1454E+15  0.1612E+15
  0.2900E+00  0.1581E+14  0.1476E+15  0.1635E+15
  0.2920E+00  0.1582E+14  0.1499E+15  0.1657E+15
  0.2940E+00  0.1584E+14  0.1522E+15  0.1680E+15
  0.2960E+00  0.1586E+14  0.1544E+15  0.1703E+15
  0.2980E+00  0.1588E+14  0.1568E+15  0.1726E+15
  0.3000E+00  0.1590E+14  0.1591E+15  0.1750E+15
  0.3020E+00  0.1592E+14  0.1614E+15  0.1773E+15
  0.3040E+00  0.1593E+14  0.1638E+15  0.1797E+15
  0.3060E+00  0.1595E+14  0.1661E+15  0.1821E+15
  0.3080E+00  0.1597E+14  0.1685E+15  0.1845E+15
  0.3100E+00  0.1599E+14  0.1709E+15  0.1869E+15
  0.3120E+00  0.1600E+14  0.1734E+15  0.1894E+15
  0.3140E+00  0.1602E+14  0.1758E+15  0.1918E+15
  0.3160E+00  0.1604E+14  0.1783E+15  0.1943E+15
  0.3180E+00  0.1606E+14  0.1807E+15  0.1968E+15
  0.3200E+00  0.1607E+14  0.1832E+15  0.1993E+15
  0.3220E+00  0.1609E+14  0.1857E+15  0.2018E+15
  0.3240E+00  0.1611E+14  0.1883E+15  0.2044E+15
  0.3260E+00  0.1613E+14  0.1908E+15  0.2069E+15
  0.3280E+00  0.1614E+14  0.1934E+15  0.2095E+15
  0.3300E+00  0.1616E+14  0.1960E+15  0.2121E+15
  0.3320E+00  0.1618E+14  0.1986E+15  0.2147E+15
  0.3340E+00  0.1619E+14  0.2012E+15  0.2174E+15
  0.3360E+00  0.1621E+14  0.2038E+15  0.2200E+15
  0.3380E+00  0.1623E+14  0.2064E+15  0.2227E+15
  0.3400E+00  0.1624E+14  0.2091E+15  0.2254E+15
  0.3420E+00  0.1626E+14  0.2118E+15  0.2281E+15
  0.3440E+00  0.1628E+14  0.2145E+15  0.2308E+15
  0.3460E+00  0.1629E+14  0.2172E+15  0.2335E+15
  0.3480E+00  0.1631E+14  0.2200E+15  0.2363E+15
  0.3500E+00  0.1632E+14  0.2227E+15  0.2390E+15
  0.3520E+00  0.1634E+14  0.2255E+15  0.2418E+15
  0.3540E+00  0.1636E+14  0.2283E+15  0.2446E+15
  0.3560E+00  0.1637E+14  0.2311E+15  0.2475E+15
  0.3580E+00  0.1639E+14  0.2339E+15  0.2503E+15
  0.3600E+00  0.1640E+14  0.2367E+15  0.2531E+15
  0.3620E+00  0.1642E+14  0.2396E+15  0.2560E+15
  0.3640E+00  0.1644E+14  0.2425E+15  0.2589E+15
  0.3660E+00  0.1645E+14  0.2454E+15  0.2618E+15
  0.3680E+00  0.1647E+14  0.2483E+15  0.2648E+15
  0.3700E+00  0.1648E+14  0.2512E+15  0.2677E+15
  0.3720E+00  0.1650E+14  0.2542E+15  0.2707E+15
  0.3740E+00  0.1651E+14  0.2571E+15  0.2736E+15
  0.3760E+00  0.1653E+14  0.2601E+15  0.2766E+15
  0.3780E+00  0.1655E+14  0.2631E+15  0.2797E+15
  0.3800E+00  0.1656E+14  0.2661E+15  0.2827E+15
  0.3820E+00  0.1658E+14  0.2692E+15  0.2857E+15
  0.3840E+00  0.1659E+14  0.2722E+15  0.2888E+15
  0.3860E+00  0.1661E+14  0.2753E+15  0.2919E+15
  0.3880E+00  0.1662E+14  0.2784E+15  0.2950E+15
  0.3900E+00  0.1664E+14  0.2815E+15  0.2981E+15
  0.3920E+00  0.1665E+14  0.2846E+15  0.3012E+15
  0.3940E+00  0.1667E+14  0.2877E+15  0.3044E+15
  0.3960E+00  0.1668E+14  0.2909E+15  0.3076E+15
  0.3980E+00  0.1670E+14  0.2941E+15  0.3108E+15
  0.4000E+00  0.1671E+14  0.2973E+15  0.3140E+15
